event_id,timestamp,event_type,severity,prediction,anomaly_score,threat_type,threat_level,threat_score,detection_reason,failed_login_attempts,malware_detected,cvss_score,threat_confidence_score,confidence_level,confidence_reason
EVT00011,2026-01-01 00:55:00,DNS Tunneling Detected,Medium,Normal,0.1296549107632945,DNS Tunneling,Low,1,No major suspicious indicators,0,No,1.4,14.9,Low,limited supporting security evidence
EVT00012,2026-01-01 01:00:00,SQL Injection Attempt,High,Normal,0.1048497687720165,SQL Injection,High,3,SQL injection indicator,0,No,6.8,32.76,Low,limited supporting security evidence
EVT00013,2026-01-01 01:05:00,Session Hijacking Attempt,High,Normal,0.0501855632083945,Session Hijacking,Medium,2,No major suspicious indicators,8,No,1.7,49.15,Moderate,moderate anomaly evidence + high failed-login activity
EVT00014,2026-01-01 01:10:00,Lateral Movement Detected,Medium,Normal,0.1516751200508288,Lateral Movement,Medium,2,No major suspicious indicators,0,No,8.0,24.37,Low,high CVSS
EVT00015,2026-01-01 01:15:00,DDoS Attempt,High,Normal,0.0763869909684491,DDoS,High,3,DDoS indicator,2,No,8.9,47.86,Moderate,moderate anomaly evidence + high CVSS
EVT00016,2026-01-01 01:20:00,Session Hijacking Attempt,Critical,Normal,0.0057315758155179,Session Hijacking,High,3,No major suspicious indicators,8,No,2.4,61.21,Moderate,moderate anomaly evidence + high failed-login activity
EVT00017,2026-01-01 01:25:00,Firewall Rule Change,High,Normal,0.1380856763120078,Security Configuration Change,Medium,2,No major suspicious indicators,0,No,5.6,22.25,Low,limited supporting security evidence
EVT00018,2026-01-01 01:30:00,Failed Login,High,Normal,0.1149046371523473,Brute Force,Medium,2,Authentication attack indicator,0,No,2.6,21.05,Low,limited supporting security evidence
EVT00019,2026-01-01 01:35:00,Web Shell Detected,Medium,Normal,0.0645975383517198,Web Shell,Medium,2,No major suspicious indicators,0,No,0.3,27.82,Low,moderate anomaly evidence
EVT00020,2026-01-01 01:40:00,Suspicious Process Execution,Critical,Normal,0.1082359999727686,Suspicious Process,High,3,No major suspicious indicators,0,No,4.1,25.96,Low,limited supporting security evidence
EVT00021,2026-01-01 01:45:00,Session Hijacking Attempt,Medium,Normal,0.1217765903202263,Session Hijacking,Low,1,No major suspicious indicators,0,No,8.3,32.1,Low,high CVSS
EVT00022,2026-01-01 01:50:00,Port Scan,Low,Normal,0.001032557854203,Port Scanning,High,3,Malware indicator present,0,Yes,2.2,50.76,Moderate,strong anomaly evidence + malware detected
EVT00023,2026-01-01 01:55:00,VPN Connection,High,Normal,0.13136756107981,VPN Activity,Medium,2,No major suspicious indicators,0,No,6.2,25.17,Low,limited supporting security evidence
EVT00024,2026-01-01 02:00:00,Phishing Email,High,Normal,0.0219463789005098,Phishing,High,3,Phishing indicator + Malware indicator present + Critical CVSS score (9.5),0,Yes,9.5,62.05,Moderate,moderate anomaly evidence + high CVSS + malware detected
EVT00025,2026-01-01 02:05:00,DNS Tunneling Detected,Critical,Normal,0.0520656978162538,DNS Tunneling,High,3,No major suspicious indicators,0,No,2.8,36.34,Low,moderate anomaly evidence
EVT00026,2026-01-01 02:10:00,Brute Force,Medium,Normal,0.1023622612612733,Brute Force,Low,1,Authentication attack indicator,0,No,8.5,37.13,Low,high CVSS
EVT00027,2026-01-01 02:15:00,Firewall Rule Change,High,Normal,0.0175761223610327,Security Configuration Change,High,3,Malware indicator present + Critical CVSS score (9.5),0,Yes,9.5,63.08,Moderate,moderate anomaly evidence + high CVSS + malware detected
EVT00028,2026-01-01 02:20:00,Phishing Email,Low,Normal,0.0978453715396796,Phishing,Medium,2,Phishing indicator + Critical CVSS score (9.2),0,No,9.2,39.75,Low,high CVSS
EVT00029,2026-01-01 02:25:00,Failed Login,Medium,Normal,0.021086308792993,Brute Force,High,3,Authentication attack indicator + Malware indicator present + Critical CVSS score (9.7),0,Yes,9.7,62.69,Moderate,moderate anomaly evidence + high CVSS + malware detected
EVT00030,2026-01-01 02:30:00,USB Device Connected,High,Normal,0.0704434445139107,Suspicious Device Activity,Medium,2,No major suspicious indicators,7,No,3.1,45.63,Moderate,moderate anomaly evidence + high failed-login activity
EVT00031,2026-01-01 02:35:00,Phishing Email,High,Normal,0.1286168877968002,Phishing,Medium,2,Phishing indicator,0,No,3.9,20.7,Low,limited supporting security evidence
EVT00032,2026-01-01 02:40:00,USB Device Connected,High,Normal,0.0935335232946238,Suspicious Device Activity,Medium,2,No major suspicious indicators,0,No,1.9,24.55,Low,limited supporting security evidence
EVT00033,2026-01-01 02:45:00,SQL Injection Attempt,Critical,Normal,0.0889658580518445,SQL Injection,High,3,SQL injection indicator,0,No,6.7,36.29,Low,limited supporting security evidence
EVT00034,2026-01-01 02:50:00,Configuration Change,High,Normal,0.1344492331738995,Configuration Change,Medium,2,No major suspicious indicators,0,No,6.7,25.55,Low,limited supporting security evidence
EVT00035,2026-01-01 02:55:00,Web Shell Detected,High,Normal,0.1250905021373342,Web Shell,Medium,2,No major suspicious indicators,0,No,6.1,26.43,Low,limited supporting security evidence
EVT00036,2026-01-01 03:00:00,Data Exfiltration Attempt,High,Normal,0.0129499677564718,Data Exfiltration,High,3,Malware indicator present,7,Yes,7.2,72.02,High,moderate anomaly evidence + high CVSS + high failed-login activity + malware detected
EVT00037,2026-01-01 03:05:00,Web Shell Detected,Critical,Normal,0.0592711256532687,Web Shell,Medium,2,No major suspicious indicators,0,No,1.9,32.64,Low,moderate anomaly evidence
EVT00038,2026-01-01 03:10:00,Configuration Change,Medium,Normal,0.1159459810550911,Configuration Change,Low,1,No major suspicious indicators,4,No,7.1,38.22,Low,high CVSS
EVT00039,2026-01-01 03:15:00,Data Exfiltration Attempt,Low,Normal,0.136021327887625,Data Exfiltration,Low,1,No major suspicious indicators,0,No,5.3,22.07,Low,limited supporting security evidence
EVT00040,2026-01-01 03:20:00,Login Success,High,Normal,0.1323641597036919,Normal Activity,Medium,2,No major suspicious indicators,0,No,1.6,14.71,Low,limited supporting security evidence
EVT00041,2026-01-01 03:25:00,Login Success,Medium,Normal,0.1213497554043719,Normal Activity,Normal,0,Critical CVSS score (9.7),0,No,9.7,35.31,Low,high CVSS
EVT00042,2026-01-01 03:30:00,File Access,High,Normal,0.1239348864335879,File Activity,Medium,2,No major suspicious indicators,0,No,6.3,27.14,Low,limited supporting security evidence
EVT00043,2026-01-01 03:35:00,Phishing Email,Medium,Normal,0.1414308033543715,Phishing,Medium,2,Phishing indicator,0,No,4.6,19.23,Low,limited supporting security evidence
EVT00044,2026-01-01 03:40:00,Brute Force,Low,Normal,0.1140385574537136,Brute Force,Low,1,Authentication attack indicator,0,No,3.7,23.7,Low,limited supporting security evidence
EVT00045,2026-01-01 03:45:00,Brute Force,High,Normal,0.0911638596501904,Brute Force,High,3,High failed login activity (7 attempts),7,No,5.3,45.62,Moderate,high failed-login activity
EVT00046,2026-01-01 03:50:00,Login Success,Low,Normal,0.0702823636460291,Normal Activity,Normal,0,No major suspicious indicators,1,No,2.4,33.0,Low,moderate anomaly evidence
EVT00047,2026-01-01 03:55:00,Suspicious Process Execution,Critical,Suspicious,-0.0196718781784346,Suspicious Process,Critical,4,ML anomaly detected + Malware indicator present,0,Yes,7.1,66.54,Moderate,strong anomaly evidence + high CVSS + malware detected
EVT00048,2026-01-01 04:00:00,Unauthorized Access,Critical,Normal,0.0227459882222981,Unauthorized Access,Critical,4,Malware indicator present,0,Yes,5.5,52.97,Moderate,moderate anomaly evidence + malware detected
EVT00049,2026-01-01 04:05:00,Ransomware Detected,High,Normal,0.1173209517317626,Ransomware,Critical,4,Ransomware event detected,0,No,4.8,25.37,Low,limited supporting security evidence
EVT00050,2026-01-01 04:10:00,Privilege Escalation,Medium,Normal,0.1533554893923995,Privilege Escalation,High,3,No major suspicious indicators,0,No,5.1,17.53,Low,limited supporting security evidence
EVT00051,2026-01-01 04:15:00,Configuration Change,High,Suspicious,-0.0015260573769003,Configuration Change,High,3,ML anomaly detected + Malware indicator present,0,Yes,3.9,55.15,Moderate,strong anomaly evidence + malware detected
EVT00052,2026-01-01 04:20:00,DDoS Attempt,Medium,Normal,0.0436919853439394,DDoS,High,3,DDoS indicator,7,No,6.6,59.73,Moderate,moderate anomaly evidence + high failed-login activity
EVT00053,2026-01-01 04:25:00,Account Lockout,Low,Normal,0.0655717483569917,Suspicious Activity,Low,1,No major suspicious indicators,0,No,7.1,42.71,Moderate,moderate anomaly evidence + high CVSS
EVT00054,2026-01-01 04:30:00,Port Scan,Low,Normal,0.1013846300738851,Port Scanning,Medium,2,No major suspicious indicators,0,No,3.1,25.36,Low,limited supporting security evidence
EVT00055,2026-01-01 04:35:00,Malware Detection,Critical,Normal,0.0751595673260757,Malware,High,3,Malware event detected,5,No,4.0,42.81,Moderate,moderate anomaly evidence
EVT00056,2026-01-01 04:40:00,Suspicious Process Execution,Low,Normal,0.1203076786159608,Suspicious Process,Low,1,No major suspicious indicators,0,No,4.5,24.0,Low,limited supporting security evidence
EVT00057,2026-01-01 04:45:00,SQL Injection Attempt,Medium,Normal,0.1588833003695806,SQL Injection,High,3,SQL injection indicator,0,No,5.7,17.56,Low,limited supporting security evidence
EVT00058,2026-01-01 04:50:00,Unauthorized Access,Medium,Normal,0.0542717649630503,Unauthorized Access,Low,1,Critical CVSS score (9.8),5,No,9.8,60.63,Moderate,moderate anomaly evidence + high CVSS
EVT00059,2026-01-01 04:55:00,Privilege Escalation,Medium,Normal,0.1361476968783054,Privilege Escalation,High,3,No major suspicious indicators,0,No,7.7,27.37,Low,high CVSS
EVT00060,2026-01-01 05:00:00,Unauthorized Access,Critical,Normal,0.0375977691225242,Unauthorized Access,High,3,No major suspicious indicators,0,No,7.5,50.2,Moderate,moderate anomaly evidence + high CVSS
EVT00061,2026-01-01 05:05:00,DDoS Attempt,High,Normal,0.122131686506842,DDoS,High,3,DDoS indicator,0,No,3.9,22.24,Low,limited supporting security evidence
EVT00062,2026-01-01 05:10:00,Ransomware Detected,Low,Normal,0.0500093221778189,Ransomware,Critical,4,Ransomware event detected + Malware indicator present,0,Yes,4.7,44.75,Moderate,moderate anomaly evidence + malware detected
EVT00063,2026-01-01 05:15:00,Credential Dumping,Low,Suspicious,-0.0569274116134665,Credential Theft,High,3,ML anomaly detected + Credential theft indicator + Malware indicator present,8,Yes,3.9,83.05,High,strong anomaly evidence + high failed-login activity + malware detected
EVT00064,2026-01-01 05:20:00,DNS Tunneling Detected,High,Normal,0.0030230258552665,DNS Tunneling,High,3,Malware indicator present,7,Yes,2.5,63.92,Moderate,strong anomaly evidence + high failed-login activity + malware detected
EVT00065,2026-01-01 05:25:00,Web Shell Detected,High,Normal,0.0388833728360616,Web Shell,Medium,2,No major suspicious indicators,0,No,1.7,37.01,Low,moderate anomaly evidence
EVT00066,2026-01-01 05:30:00,Ransomware Detected,High,Normal,0.0546461230207906,Ransomware,Critical,4,Ransomware event detected + Malware indicator present,0,Yes,5.0,44.32,Moderate,moderate anomaly evidence + malware detected
EVT00067,2026-01-01 05:35:00,Ransomware Detected,Critical,Normal,0.0950548667550214,Ransomware,Critical,4,Ransomware event detected,0,No,3.1,26.85,Low,limited supporting security evidence
EVT00068,2026-01-01 05:40:00,Phishing Email,Medium,Normal,0.1415210188836616,Phishing,Medium,2,Phishing indicator,0,No,7.1,24.77,Low,high CVSS
EVT00069,2026-01-01 05:45:00,Credential Dumping,Medium,Normal,0.0899312346770351,Credential Theft,High,3,Credential theft indicator,0,No,7.4,37.62,Low,high CVSS
EVT00070,2026-01-01 05:50:00,USB Device Connected,Low,Suspicious,-0.0214986311461047,Suspicious Device Activity,Critical,4,ML anomaly detected + Critical CVSS score (9.8),4,No,9.8,76.68,High,strong anomaly evidence + high CVSS
EVT00071,2026-01-01 05:55:00,File Access,Critical,Suspicious,-0.0152974263583334,File Activity,Medium,2,ML anomaly detected,7,No,7.2,74.99,High,strong anomaly evidence + high CVSS + high failed-login activity
EVT00072,2026-01-01 06:00:00,Credential Dumping,Low,Normal,0.0823930032507187,Credential Theft,High,3,Credential theft indicator + Critical CVSS score (9.2),0,No,9.2,43.4,Moderate,high CVSS
EVT00073,2026-01-01 06:05:00,DNS Tunneling Detected,High,Normal,0.0951565191335884,DNS Tunneling,Medium,2,No major suspicious indicators,0,No,2.1,24.61,Low,limited supporting security evidence
EVT00074,2026-01-01 06:10:00,Login Success,Critical,Normal,0.0690847668569246,Normal Activity,High,3,No major suspicious indicators,0,No,8.2,44.32,Moderate,moderate anomaly evidence + high CVSS
EVT00075,2026-01-01 06:15:00,File Access,High,Normal,0.0121899686356327,File Activity,High,3,Malware indicator present,0,Yes,0.0,43.24,Moderate,moderate anomaly evidence + malware detected
EVT00076,2026-01-01 06:20:00,SQL Injection Attempt,Low,Normal,0.0779548345509211,SQL Injection,High,3,SQL injection indicator,0,No,8.9,43.78,Moderate,moderate anomaly evidence + high CVSS
EVT00077,2026-01-01 06:25:00,USB Device Connected,Low,Normal,0.0669012034794426,Suspicious Device Activity,Low,1,No major suspicious indicators,0,No,3.2,33.73,Low,moderate anomaly evidence
EVT00078,2026-01-01 06:30:00,Firewall Rule Change,Critical,Normal,0.0066278950264436,Security Configuration Change,High,3,No major suspicious indicators,8,No,7.7,72.78,High,moderate anomaly evidence + high CVSS + high failed-login activity
EVT00079,2026-01-01 06:35:00,Failed Login,Critical,Normal,0.104380331535626,Brute Force,High,3,Authentication attack indicator,0,No,3.4,25.32,Low,limited supporting security evidence
EVT00080,2026-01-01 06:40:00,Account Lockout,High,Normal,0.1242663622354665,Suspicious Activity,Medium,2,No major suspicious indicators,0,No,8.2,31.29,Low,high CVSS
EVT00081,2026-01-01 06:45:00,Login Success,High,Normal,0.1688111199768294,Normal Activity,Medium,2,No major suspicious indicators,0,No,5.9,15.66,Low,limited supporting security evidence
EVT00082,2026-01-01 06:50:00,Phishing Email,High,Normal,0.1322105908905086,Phishing,Medium,2,Phishing indicator,0,No,4.0,20.08,Low,limited supporting security evidence
EVT00083,2026-01-01 06:55:00,Session Hijacking Attempt,High,Normal,0.1394339218005617,Session Hijacking,Medium,2,No major suspicious indicators,0,No,3.3,16.82,Low,limited supporting security evidence
EVT00084,2026-01-01 07:00:00,Account Lockout,Low,Normal,0.1090882894007242,Suspicious Activity,Low,1,No major suspicious indicators,0,No,4.1,25.76,Low,limited supporting security evidence
EVT00085,2026-01-01 07:05:00,DNS Tunneling Detected,Medium,Normal,0.1066444624223801,DNS Tunneling,Low,1,No major suspicious indicators,0,No,8.2,35.45,Low,high CVSS
EVT00086,2026-01-01 07:10:00,Privilege Escalation,Medium,Normal,0.1412049870087909,Privilege Escalation,High,3,Critical CVSS score (9.3),0,No,9.3,29.73,Low,high CVSS
EVT00087,2026-01-01 07:15:00,Ransomware Detected,High,Normal,0.1378493808571432,Ransomware,Critical,4,Ransomware event detected,3,No,6.4,29.64,Low,limited supporting security evidence
EVT00088,2026-01-01 07:20:00,Suspicious Process Execution,High,Normal,0.0896626436466143,Suspicious Process,Medium,2,No major suspicious indicators,2,No,3.0,31.61,Low,limited supporting security evidence
EVT00089,2026-01-01 07:25:00,Firewall Rule Change,Low,Normal,0.0980951598073105,Security Configuration Change,Low,1,No major suspicious indicators,0,No,7.8,36.58,Low,high CVSS
EVT00090,2026-01-01 07:30:00,Credential Dumping,High,Normal,0.0857256803377266,Credential Theft,High,3,Credential theft indicator + Critical CVSS score (9.8),0,No,9.8,43.95,Moderate,high CVSS
EVT00091,2026-01-01 07:35:00,Configuration Change,Critical,Normal,0.0406555185925486,Configuration Change,High,3,No major suspicious indicators,5,No,7.2,58.07,Moderate,moderate anomaly evidence + high CVSS
EVT00092,2026-01-01 07:40:00,Failed Login,Medium,Normal,0.0354925976346552,Brute Force,High,3,High failed login activity (8 attempts),8,No,1.3,51.74,Moderate,moderate anomaly evidence + high failed-login activity
EVT00093,2026-01-01 07:45:00,SQL Injection Attempt,Critical,Normal,0.0526912854344188,SQL Injection,High,3,SQL injection indicator,0,No,1.9,34.19,Low,moderate anomaly evidence
EVT00094,2026-01-01 07:50:00,Login Success,High,Normal,0.1399672533042909,Normal Activity,Medium,2,No major suspicious indicators,0,No,2.5,14.91,Low,limited supporting security evidence
EVT00095,2026-01-01 07:55:00,Suspicious Process Execution,Low,Normal,0.1068430129699564,Suspicious Process,Low,1,No major suspicious indicators,0,No,6.3,31.18,Low,limited supporting security evidence
EVT00096,2026-01-01 08:00:00,VPN Connection,Medium,Normal,0.1184285772286701,VPN Activity,Low,1,No major suspicious indicators,0,No,5.0,25.56,Low,limited supporting security evidence
EVT00097,2026-01-01 08:05:00,Login Success,Medium,Normal,0.1408162834612857,Normal Activity,Normal,0,Critical CVSS score (9.4),0,No,9.4,30.05,Low,high CVSS
EVT00098,2026-01-01 08:10:00,DNS Tunneling Detected,Critical,Normal,0.1088123518927134,DNS Tunneling,High,3,No major suspicious indicators,0,No,1.4,19.83,Low,limited supporting security evidence
EVT00099,2026-01-01 08:15:00,Phishing Email,Medium,Normal,0.1375030612582499,Phishing,Medium,2,Phishing indicator,0,No,8.4,28.61,Low,high CVSS
EVT00100,2026-01-01 08:20:00,Configuration Change,Medium,Normal,0.0909356757228289,Configuration Change,Low,1,No major suspicious indicators,3,No,1.3,29.38,Low,limited supporting security evidence
EVT00101,2026-01-01 08:25:00,Ransomware Detected,Low,Suspicious,-0.0119264251047909,Ransomware,Critical,4,ML anomaly detected + Ransomware event detected + Critical CVSS score (9.4),8,No,9.4,80.94,High,strong anomaly evidence + high CVSS + high failed-login activity
EVT00102,2026-01-01 08:30:00,Credential Dumping,High,Normal,0.152961717932421,Credential Theft,High,3,Credential theft indicator,0,No,4.9,17.18,Low,limited supporting security evidence
EVT00103,2026-01-01 08:35:00,Lateral Movement Detected,Low,Normal,0.134195248363592,Lateral Movement,Medium,2,No major suspicious indicators,0,No,4.2,20.05,Low,limited supporting security evidence
EVT00104,2026-01-01 08:40:00,Lateral Movement Detected,High,Normal,0.1453942559851037,Lateral Movement,Medium,2,No major suspicious indicators,0,No,4.8,18.74,Low,limited supporting security evidence
EVT00105,2026-01-01 08:45:00,VPN Connection,High,Normal,0.0737174180383245,VPN Activity,Medium,2,No major suspicious indicators,0,No,0.5,26.12,Low,moderate anomaly evidence
EVT00106,2026-01-01 08:50:00,Ransomware Detected,Medium,Normal,0.0920844523719458,Ransomware,Critical,4,Ransomware event detected,0,No,0.4,21.56,Low,limited supporting security evidence
EVT00107,2026-01-01 08:55:00,Suspicious Process Execution,High,Normal,0.1143315560070342,Suspicious Process,Medium,2,No major suspicious indicators,0,No,6.4,29.63,Low,limited supporting security evidence
EVT00108,2026-01-01 09:00:00,Phishing Email,Low,Normal,0.0556089823863068,Phishing,Medium,2,Phishing indicator,6,No,7.5,57.06,Moderate,moderate anomaly evidence + high CVSS + high failed-login activity
EVT00109,2026-01-01 09:05:00,Web Shell Detected,Low,Suspicious,-0.0044067668802078,Web Shell,High,3,ML anomaly detected + Malware indicator present,0,Yes,8.5,66.05,Moderate,strong anomaly evidence + high CVSS + malware detected
EVT00110,2026-01-01 09:10:00,Unauthorized Access,High,Normal,0.1234525638486946,Unauthorized Access,Medium,2,No major suspicious indicators,0,No,1.6,16.81,Low,limited supporting security evidence
EVT00111,2026-01-01 09:15:00,Web Shell Detected,Critical,Normal,0.070182503032262,Web Shell,Medium,2,No major suspicious indicators,0,No,6.1,39.39,Low,moderate anomaly evidence
EVT00112,2026-01-01 09:20:00,Brute Force,Low,Normal,0.0574047287004952,Brute Force,Low,1,Authentication attack indicator,0,No,7.9,46.41,Moderate,moderate anomaly evidence + high CVSS
EVT00113,2026-01-01 09:25:00,DNS Tunneling Detected,Medium,Normal,0.1728514980939409,DNS Tunneling,Low,1,No major suspicious indicators,0,No,5.1,12.92,Low,limited supporting security evidence
EVT00114,2026-01-01 09:30:00,VPN Connection,High,Normal,0.1242825806569167,VPN Activity,Medium,2,No major suspicious indicators,0,No,5.0,24.17,Low,limited supporting security evidence
EVT00115,2026-01-01 09:35:00,Firewall Rule Change,Low,Normal,0.0998339960119927,Security Configuration Change,Low,1,No major suspicious indicators,0,No,8.0,36.61,Low,high CVSS
EVT00116,2026-01-01 09:40:00,Unauthorized Access,Medium,Normal,0.1231961606262964,Unauthorized Access,Low,1,No major suspicious indicators,1,No,2.2,20.06,Low,limited supporting security evidence
EVT00117,2026-01-01 09:45:00,Suspicious Process Execution,Low,Normal,0.0594126199503576,Suspicious Process,Low,1,No major suspicious indicators,0,No,6.3,42.38,Moderate,moderate anomaly evidence
EVT00118,2026-01-01 09:50:00,DDoS Attempt,Critical,Normal,0.089221757964526,DDoS,High,3,DDoS indicator,0,No,7.2,37.34,Low,high CVSS
EVT00119,2026-01-01 09:55:00,Lateral Movement Detected,Critical,Suspicious,-0.0311971470412406,Lateral Movement,Critical,4,ML anomaly detected + Malware indicator present + Critical CVSS score (9.4),2,Yes,9.4,78.08,High,strong anomaly evidence + high CVSS + malware detected
EVT00120,2026-01-01 10:00:00,USB Device Connected,Critical,Normal,0.0223118034819458,Suspicious Device Activity,High,3,Critical CVSS score (9.7),2,No,9.7,62.4,Moderate,moderate anomaly evidence + high CVSS
EVT00121,2026-01-01 10:05:00,USB Device Connected,Medium,Normal,0.1178316658370615,Suspicious Device Activity,Low,1,No major suspicious indicators,0,No,6.1,28.14,Low,limited supporting security evidence
EVT00122,2026-01-01 10:10:00,Session Hijacking Attempt,Critical,Normal,0.0948387969580382,Session Hijacking,High,3,No major suspicious indicators,0,No,2.6,25.79,Low,limited supporting security evidence
EVT00123,2026-01-01 10:15:00,Failed Login,High,Normal,0.0444463962851873,Brute Force,High,3,High failed login activity (6 attempts),6,No,3.8,51.47,Moderate,moderate anomaly evidence + high failed-login activity
EVT00124,2026-01-01 10:20:00,Firewall Rule Change,Medium,Normal,0.0894142862638652,Security Configuration Change,Low,1,No major suspicious indicators,1,No,0.8,24.93,Low,limited supporting security evidence
EVT00125,2026-01-01 10:25:00,File Access,High,Normal,0.1499681467443288,File Activity,Medium,2,No major suspicious indicators,0,No,8.2,25.22,Low,high CVSS
EVT00126,2026-01-01 10:30:00,Malware Detection,High,Normal,0.104436242056909,Malware,Medium,2,Malware event detected,2,No,1.0,23.67,Low,limited supporting security evidence
EVT00127,2026-01-01 10:35:00,Privilege Escalation,High,Normal,0.040589020214244,Privilege Escalation,High,3,Malware indicator present,0,Yes,0.0,36.53,Low,moderate anomaly evidence + malware detected
EVT00128,2026-01-01 10:40:00,Firewall Rule Change,Critical,Normal,0.0374808422281613,Security Configuration Change,High,3,No major suspicious indicators,0,No,1.0,35.79,Low,moderate anomaly evidence
EVT00129,2026-01-01 10:45:00,Data Exfiltration Attempt,Critical,Normal,0.0692544316487546,Data Exfiltration,Critical,4,No major suspicious indicators,5,No,6.8,50.43,Moderate,moderate anomaly evidence
EVT00130,2026-01-01 10:50:00,Brute Force,High,Normal,0.0966712314526349,Brute Force,Medium,2,Authentication attack indicator,0,No,4.3,29.14,Low,limited supporting security evidence
EVT00131,2026-01-01 10:55:00,Credential Dumping,High,Normal,0.0401514983205391,Credential Theft,High,3,Credential theft indicator,7,No,5.9,59.01,Moderate,moderate anomaly evidence + high failed-login activity
EVT00132,2026-01-01 11:00:00,Malware Detection,Low,Normal,0.0257266363323633,Malware,Low,1,Malware event detected,7,No,7.0,64.86,Moderate,moderate anomaly evidence + high CVSS + high failed-login activity
EVT00133,2026-01-01 11:05:00,SQL Injection Attempt,Critical,Normal,0.0251807637909325,SQL Injection,High,3,SQL injection indicator,6,No,0.9,49.58,Moderate,moderate anomaly evidence + high failed-login activity
EVT00134,2026-01-01 11:10:00,VPN Connection,High,Normal,0.0290594685128514,VPN Activity,Medium,2,No major suspicious indicators,6,No,2.7,52.66,Moderate,moderate anomaly evidence + high failed-login activity
EVT00135,2026-01-01 11:15:00,Data Exfiltration Attempt,High,Normal,0.0373583696322465,Data Exfiltration,High,3,Malware indicator present,0,Yes,8.1,55.3,Moderate,moderate anomaly evidence + high CVSS + malware detected
EVT00136,2026-01-01 11:20:00,SQL Injection Attempt,Medium,Normal,0.0946419531989902,SQL Injection,High,3,SQL injection indicator,3,No,8.1,43.62,Moderate,high CVSS
EVT00137,2026-01-01 11:25:00,Configuration Change,High,Normal,0.0863080601900491,Configuration Change,Medium,2,No major suspicious indicators,0,No,5.5,34.25,Low,limited supporting security evidence
EVT00138,2026-01-01 11:30:00,Malware Detection,Critical,Normal,0.132246534841433,Malware,High,3,Malware event detected,0,No,7.8,28.51,Low,high CVSS
EVT00139,2026-01-01 11:35:00,VPN Connection,High,Normal,0.1233021325701611,VPN Activity,Medium,2,No major suspicious indicators,0,No,5.5,25.52,Low,limited supporting security evidence
EVT00140,2026-01-01 11:40:00,Session Hijacking Attempt,Critical,Suspicious,-0.0065566271962065,Session Hijacking,Medium,2,ML anomaly detected,8,No,8.7,78.11,High,strong anomaly evidence + high CVSS + high failed-login activity
EVT00141,2026-01-01 11:45:00,Phishing Email,High,Normal,0.1010131419699,Phishing,Medium,2,Phishing indicator,0,No,4.2,27.89,Low,limited supporting security evidence
EVT00142,2026-01-01 11:50:00,VPN Connection,High,Normal,0.1285192838995216,VPN Activity,Medium,2,No major suspicious indicators,0,No,6.7,26.95,Low,limited supporting security evidence
EVT00143,2026-01-01 11:55:00,Login Success,High,Normal,0.1136019365969238,Normal Activity,Medium,2,No major suspicious indicators,0,No,8.9,35.36,Low,high CVSS
EVT00144,2026-01-01 12:00:00,Ransomware Detected,High,Normal,0.0082485394427497,Ransomware,Critical,4,Ransomware event detected + Malware indicator present,0,Yes,2.8,50.39,Moderate,moderate anomaly evidence + malware detected
EVT00145,2026-01-01 12:05:00,USB Device Connected,Medium,Normal,0.0997249378993446,Suspicious Device Activity,Low,1,No major suspicious indicators,0,No,4.9,29.75,Low,limited supporting security evidence
