event_id,timestamp,source_ip,destination_ip,event_type,severity,status
EVT00045,2026-01-01 03:45:00,180.134.250.197,10.0.2.166,Brute Force,High,Failed
EVT00046,2026-01-01 03:50:00,51.147.204.120,10.0.3.44,Login Success,Low,Failed
EVT00047,2026-01-01 03:55:00,110.134.150.56,10.0.4.196,Suspicious Process Execution,Critical,Blocked
EVT00048,2026-01-01 04:00:00,169.59.32.126,10.0.3.19,Unauthorized Access,Critical,Success
EVT00049,2026-01-01 04:05:00,129.178.40.143,10.0.3.147,Ransomware Detected,High,Detected
EVT00050,2026-01-01 04:10:00,83.91.69.167,10.0.0.107,Privilege Escalation,Medium,Success
EVT00051,2026-01-01 04:15:00,216.17.141.251,10.0.8.246,Configuration Change,High,Detected
EVT00052,2026-01-01 04:20:00,125.209.158.175,10.0.2.15,DDoS Attempt,Medium,Failed
EVT00053,2026-01-01 04:25:00,70.16.62.163,10.0.5.230,Account Lockout,Low,Detected
EVT00054,2026-01-01 04:30:00,197.98.250.213,10.0.6.225,Port Scan,Low,Detected
EVT00055,2026-01-01 04:35:00,216.106.120.86,10.0.4.158,Malware Detection,Critical,Failed
EVT00056,2026-01-01 04:40:00,49.249.183.213,10.0.3.105,Suspicious Process Execution,Low,Success
EVT00057,2026-01-01 04:45:00,83.197.115.10,10.0.7.89,SQL Injection Attempt,Medium,Success
EVT00058,2026-01-01 04:50:00,222.236.78.121,10.0.0.222,Unauthorized Access,Medium,Failed
EVT00059,2026-01-01 04:55:00,215.155.138.0,10.0.1.237,Privilege Escalation,Medium,Success
EVT00060,2026-01-01 05:00:00,184.62.255.57,10.0.6.79,Unauthorized Access,Critical,Blocked
EVT00061,2026-01-01 05:05:00,223.255.56.38,10.0.9.102,DDoS Attempt,High,Detected
EVT00062,2026-01-01 05:10:00,209.1.70.16,10.0.0.11,Ransomware Detected,Low,Success
EVT00063,2026-01-01 05:15:00,212.212.127.159,10.0.7.129,Credential Dumping,Low,Failed
EVT00064,2026-01-01 05:20:00,181.131.44.236,10.0.0.85,DNS Tunneling Detected,High,Failed
EVT00065,2026-01-01 05:25:00,221.103.138.251,10.0.9.81,Web Shell Detected,High,Success
EVT00066,2026-01-01 05:30:00,191.194.104.78,10.0.7.131,Ransomware Detected,High,Detected
EVT00067,2026-01-01 05:35:00,208.24.25.46,10.0.4.158,Ransomware Detected,Critical,Success
EVT00068,2026-01-01 05:40:00,217.165.26.245,10.0.1.60,Phishing Email,Medium,Detected
EVT00069,2026-01-01 05:45:00,194.91.18.133,10.0.5.206,Credential Dumping,Medium,Blocked
EVT00070,2026-01-01 05:50:00,44.141.15.196,10.0.5.139,USB Device Connected,Low,Failed
EVT00071,2026-01-01 05:55:00,156.186.231.38,10.0.9.251,File Access,Critical,Failed
EVT00072,2026-01-01 06:00:00,197.123.164.153,10.0.4.68,Credential Dumping,Low,Blocked
EVT00073,2026-01-01 06:05:00,7.31.52.167,10.0.6.81,DNS Tunneling Detected,High,Success
EVT00074,2026-01-01 06:10:00,219.166.41.58,10.0.4.29,Login Success,Critical,Success
EVT00075,2026-01-01 06:15:00,172.146.143.106,10.0.9.190,File Access,High,Success
EVT00076,2026-01-01 06:20:00,210.53.74.4,10.0.7.229,SQL Injection Attempt,Low,Success
EVT00077,2026-01-01 06:25:00,77.253.94.155,10.0.1.191,USB Device Connected,Low,Success
EVT00078,2026-01-01 06:30:00,171.42.240.81,10.0.4.163,Firewall Rule Change,Critical,Failed
EVT00079,2026-01-01 06:35:00,129.186.200.144,10.0.5.158,Failed Login,Critical,Success
EVT00080,2026-01-01 06:40:00,189.132.72.167,10.0.6.36,Account Lockout,High,Failed
EVT00081,2026-01-01 06:45:00,13.73.79.217,10.0.4.93,Login Success,High,Failed
EVT00082,2026-01-01 06:50:00,126.53.144.76,10.0.7.27,Phishing Email,High,Success
EVT00083,2026-01-01 06:55:00,180.246.155.138,10.0.7.175,Session Hijacking Attempt,High,Success
EVT00084,2026-01-01 07:00:00,203.122.68.38,10.0.2.128,Account Lockout,Low,Detected
EVT00085,2026-01-01 07:05:00,145.164.246.119,10.0.3.237,DNS Tunneling Detected,Medium,Success
EVT00086,2026-01-01 07:10:00,16.15.255.8,10.0.9.46,Privilege Escalation,Medium,Detected
EVT00087,2026-01-01 07:15:00,211.202.81.4,10.0.1.233,Ransomware Detected,High,Failed
EVT00088,2026-01-01 07:20:00,124.137.44.171,10.0.8.20,Suspicious Process Execution,High,Failed
EVT00089,2026-01-01 07:25:00,219.95.254.253,10.0.0.85,Firewall Rule Change,Low,Failed
EVT00090,2026-01-01 07:30:00,207.238.52.68,10.0.3.94,Credential Dumping,High,Detected
EVT00091,2026-01-01 07:35:00,135.5.123.18,10.0.4.155,Configuration Change,Critical,Failed
EVT00092,2026-01-01 07:40:00,109.212.130.163,10.0.0.113,Failed Login,Medium,Failed
EVT00093,2026-01-01 07:45:00,172.169.101.181,10.0.0.90,SQL Injection Attempt,Critical,Success
EVT00094,2026-01-01 07:50:00,144.16.168.179,10.0.8.12,Login Success,High,Success
EVT00095,2026-01-01 07:55:00,167.23.209.28,10.0.8.226,Suspicious Process Execution,Low,Success
EVT00096,2026-01-01 08:00:00,153.249.254.80,10.0.5.146,VPN Connection,Medium,Success
EVT00097,2026-01-01 08:05:00,147.162.58.223,10.0.3.173,Login Success,Medium,Success
EVT00098,2026-01-01 08:10:00,162.155.107.253,10.0.5.214,DNS Tunneling Detected,Critical,Success
EVT00099,2026-01-01 08:15:00,199.83.48.100,10.0.5.241,Phishing Email,Medium,Success
EVT00100,2026-01-01 08:20:00,1.11.226.18,10.0.8.71,Configuration Change,Medium,Failed
EVT00101,2026-01-01 08:25:00,132.145.121.154,10.0.9.253,Ransomware Detected,Low,Failed
EVT00102,2026-01-01 08:30:00,156.124.80.208,10.0.5.127,Credential Dumping,High,Success
EVT00103,2026-01-01 08:35:00,5.47.67.153,10.0.1.121,Lateral Movement Detected,Low,Success
EVT00104,2026-01-01 08:40:00,173.111.176.97,10.0.6.111,Lateral Movement Detected,High,Failed
EVT00105,2026-01-01 08:45:00,144.159.15.26,10.0.2.54,VPN Connection,High,Blocked
EVT00106,2026-01-01 08:50:00,134.204.4.223,10.0.8.149,Ransomware Detected,Medium,Success
EVT00107,2026-01-01 08:55:00,16.91.205.199,10.0.0.124,Suspicious Process Execution,High,Detected
EVT00108,2026-01-01 09:00:00,223.229.23.19,10.0.8.59,Phishing Email,Low,Failed
EVT00109,2026-01-01 09:05:00,97.14.38.50,10.0.0.141,Web Shell Detected,Low,Blocked
EVT00110,2026-01-01 09:10:00,169.24.7.99,10.0.2.91,Unauthorized Access,High,Success
EVT00111,2026-01-01 09:15:00,216.14.109.226,10.0.1.81,Web Shell Detected,Critical,Success
EVT00112,2026-01-01 09:20:00,2.132.31.207,10.0.0.84,Brute Force,Low,Detected
EVT00113,2026-01-01 09:25:00,201.107.59.117,10.0.6.4,DNS Tunneling Detected,Medium,Success
EVT00114,2026-01-01 09:30:00,186.179.219.31,10.0.8.197,VPN Connection,High,Blocked
EVT00115,2026-01-01 09:35:00,133.200.191.33,10.0.8.128,Firewall Rule Change,Low,Success
EVT00116,2026-01-01 09:40:00,211.166.101.85,10.0.9.92,Unauthorized Access,Medium,Failed
EVT00117,2026-01-01 09:45:00,157.52.54.123,10.0.9.35,Suspicious Process Execution,Low,Success
EVT00118,2026-01-01 09:50:00,206.90.183.42,10.0.2.235,DDoS Attempt,Critical,Success
EVT00119,2026-01-01 09:55:00,210.208.227.163,10.0.5.192,Lateral Movement Detected,Critical,Failed
EVT00120,2026-01-01 10:00:00,130.160.229.189,10.0.1.31,USB Device Connected,Critical,Failed
EVT00121,2026-01-01 10:05:00,203.22.212.241,10.0.6.92,USB Device Connected,Medium,Detected
EVT00122,2026-01-01 10:10:00,121.68.189.217,10.0.0.148,Session Hijacking Attempt,Critical,Detected
EVT00123,2026-01-01 10:15:00,211.108.168.36,10.0.1.243,Failed Login,High,Failed
EVT00124,2026-01-01 10:20:00,121.184.94.71,10.0.9.81,Firewall Rule Change,Medium,Failed
EVT00125,2026-01-01 10:25:00,176.55.93.139,10.0.7.180,File Access,High,Success
EVT00126,2026-01-01 10:30:00,211.172.177.240,10.0.3.195,Malware Detection,High,Failed
EVT00127,2026-01-01 10:35:00,149.247.193.33,10.0.6.184,Privilege Escalation,High,Detected
EVT00128,2026-01-01 10:40:00,40.92.1.176,10.0.6.243,Firewall Rule Change,Critical,Success
EVT00129,2026-01-01 10:45:00,221.25.254.230,10.0.1.109,Data Exfiltration Attempt,Critical,Failed
EVT00130,2026-01-01 10:50:00,108.200.39.109,10.0.0.62,Brute Force,High,Success
EVT00131,2026-01-01 10:55:00,63.38.107.25,10.0.9.166,Credential Dumping,High,Failed
EVT00132,2026-01-01 11:00:00,163.87.28.109,10.0.4.3,Malware Detection,Low,Failed
EVT00133,2026-01-01 11:05:00,104.210.155.20,10.0.4.50,SQL Injection Attempt,Critical,Failed
EVT00134,2026-01-01 11:10:00,144.190.193.144,10.0.6.111,VPN Connection,High,Failed
EVT00135,2026-01-01 11:15:00,5.119.40.251,10.0.4.248,Data Exfiltration Attempt,High,Blocked
EVT00136,2026-01-01 11:20:00,201.199.233.224,10.0.6.157,SQL Injection Attempt,Medium,Failed
EVT00137,2026-01-01 11:25:00,103.201.146.105,10.0.3.202,Configuration Change,High,Detected
EVT00138,2026-01-01 11:30:00,179.7.186.240,10.0.7.148,Malware Detection,Critical,Success
EVT00139,2026-01-01 11:35:00,171.85.83.245,10.0.1.88,VPN Connection,High,Success
EVT00140,2026-01-01 11:40:00,144.36.123.21,10.0.2.250,Session Hijacking Attempt,Critical,Failed
EVT00141,2026-01-01 11:45:00,58.253.255.55,10.0.6.39,Phishing Email,High,Blocked
EVT00142,2026-01-01 11:50:00,211.103.41.162,10.0.9.194,VPN Connection,High,Success
EVT00143,2026-01-01 11:55:00,185.126.22.165,10.0.5.163,Login Success,High,Success
EVT00144,2026-01-01 12:00:00,170.63.116.35,10.0.6.93,Ransomware Detected,High,Success
EVT00145,2026-01-01 12:05:00,160.89.31.202,10.0.9.54,USB Device Connected,Medium,Blocked
EVT00146,2026-01-01 12:10:00,139.128.100.216,10.0.3.206,Account Lockout,Low,Failed
EVT00147,2026-01-01 12:15:00,216.253.119.30,10.0.0.176,SQL Injection Attempt,High,Blocked
EVT00148,2026-01-01 12:20:00,76.110.167.162,10.0.8.84,Web Shell Detected,Medium,Failed
EVT00149,2026-01-01 12:25:00,200.47.151.238,10.0.1.64,Ransomware Detected,Medium,Blocked
EVT00150,2026-01-01 12:30:00,39.61.177.239,10.0.6.192,File Access,Medium,Success
EVT00151,2026-01-01 12:35:00,79.229.129.25,10.0.6.240,Credential Dumping,Critical,Detected
EVT00152,2026-01-01 12:40:00,215.40.29.221,10.0.4.163,File Access,Low,Failed
EVT00153,2026-01-01 12:45:00,133.20.222.193,10.0.5.35,Brute Force,High,Blocked
EVT00154,2026-01-01 12:50:00,77.243.99.59,10.0.2.75,Suspicious Process Execution,Low,Detected
EVT00155,2026-01-01 12:55:00,49.97.28.30,10.0.9.38,Suspicious Process Execution,Low,Failed
EVT00156,2026-01-01 13:00:00,212.94.125.238,10.0.3.77,Login Success,Low,Blocked
EVT00157,2026-01-01 13:05:00,197.69.2.158,10.0.8.17,Lateral Movement Detected,Medium,Failed
EVT00158,2026-01-01 13:10:00,178.103.24.141,10.0.6.229,Brute Force,High,Failed
EVT00159,2026-01-01 13:15:00,148.140.68.170,10.0.2.29,Ransomware Detected,Critical,Success
EVT00160,2026-01-01 13:20:00,117.230.68.188,10.0.8.214,Configuration Change,Medium,Success
EVT00161,2026-01-01 13:25:00,178.5.99.251,10.0.8.35,Port Scan,Low,Detected
EVT00162,2026-01-01 13:30:00,32.41.229.250,10.0.1.177,Web Shell Detected,Critical,Failed
EVT00163,2026-01-01 13:35:00,203.109.176.202,10.0.7.94,VPN Connection,High,Blocked
EVT00164,2026-01-01 13:40:00,50.24.49.106,10.0.4.22,DNS Tunneling Detected,Low,Detected
EVT00165,2026-01-01 13:45:00,26.162.79.59,10.0.3.125,Unauthorized Access,Low,Success
EVT00166,2026-01-01 13:50:00,199.93.81.211,10.0.7.126,Unauthorized Access,Medium,Failed
EVT00167,2026-01-01 13:55:00,213.64.44.113,10.0.6.203,Firewall Rule Change,Critical,Failed
EVT00168,2026-01-01 14:00:00,220.197.171.255,10.0.8.52,USB Device Connected,High,Failed
EVT00169,2026-01-01 14:05:00,113.2.140.136,10.0.0.58,Credential Dumping,Low,Blocked
EVT00170,2026-01-01 14:10:00,134.218.154.196,10.0.2.202,Web Shell Detected,Medium,Failed
EVT00171,2026-01-01 14:15:00,153.229.31.223,10.0.1.209,DDoS Attempt,High,Failed
EVT00172,2026-01-01 14:20:00,174.101.246.232,10.0.0.161,Failed Login,Critical,Success
EVT00173,2026-01-01 14:25:00,179.211.249.90,10.0.0.132,Suspicious Process Execution,Critical,Failed
EVT00174,2026-01-01 14:30:00,27.76.22.189,10.0.1.44,Malware Detection,High,Failed
EVT00175,2026-01-01 14:35:00,39.10.78.49,10.0.9.46,Brute Force,High,Success
EVT00176,2026-01-01 14:40:00,201.55.22.155,10.0.1.246,Web Shell Detected,Low,Blocked
EVT00177,2026-01-01 14:45:00,91.233.147.128,10.0.7.215,Suspicious Process Execution,Critical,Detected
EVT00178,2026-01-01 14:50:00,9.215.152.64,10.0.8.142,Failed Login,Low,Failed
EVT00179,2026-01-01 14:55:00,55.171.34.200,10.0.0.181,Configuration Change,High,Success
EVT00180,2026-01-01 15:00:00,153.124.43.206,10.0.3.216,Phishing Email,Critical,Failed
EVT00181,2026-01-01 15:05:00,188.239.107.160,10.0.5.42,File Access,Medium,Failed
EVT00182,2026-01-01 15:10:00,14.23.148.209,10.0.9.222,Account Lockout,Low,Success
EVT00183,2026-01-01 15:15:00,126.199.149.251,10.0.9.146,USB Device Connected,Low,Detected
EVT00184,2026-01-01 15:20:00,154.177.85.31,10.0.0.36,USB Device Connected,High,Blocked
EVT00185,2026-01-01 15:25:00,102.192.219.254,10.0.9.134,Web Shell Detected,High,Blocked
EVT00186,2026-01-01 15:30:00,37.141.87.220,10.0.9.151,DDoS Attempt,High,Success
EVT00187,2026-01-01 15:35:00,45.87.236.212,10.0.0.192,Credential Dumping,Medium,Failed
EVT00188,2026-01-01 15:40:00,59.217.9.118,10.0.1.94,VPN Connection,Critical,Blocked
EVT00189,2026-01-01 15:45:00,66.57.166.220,10.0.1.126,Ransomware Detected,Critical,Blocked
EVT00190,2026-01-01 15:50:00,175.78.182.140,10.0.4.110,Login Success,Low,Success
EVT00191,2026-01-01 15:55:00,154.163.68.41,10.0.6.192,Ransomware Detected,Medium,Failed
EVT00192,2026-01-01 16:00:00,218.59.123.188,10.0.2.161,Ransomware Detected,Medium,Blocked
EVT00193,2026-01-01 16:05:00,172.127.216.80,10.0.2.205,Suspicious Process Execution,Medium,Blocked
EVT00194,2026-01-01 16:10:00,180.190.114.72,10.0.6.181,SQL Injection Attempt,Low,Success
EVT00195,2026-01-01 16:15:00,122.212.90.237,10.0.1.122,Credential Dumping,High,Success
EVT00196,2026-01-01 16:20:00,167.146.218.3,10.0.3.85,Phishing Email,High,Failed
EVT00197,2026-01-01 16:25:00,153.141.200.13,10.0.9.45,Port Scan,Medium,Failed
EVT00198,2026-01-01 16:30:00,200.172.128.16,10.0.5.62,Firewall Rule Change,Medium,Failed
EVT00199,2026-01-01 16:35:00,210.204.98.39,10.0.1.212,Web Shell Detected,Low,Blocked
EVT00200,2026-01-01 16:40:00,20.131.29.160,10.0.0.63,VPN Connection,Critical,Success
EVT00201,2026-01-01 16:45:00,13.237.205.56,10.0.6.187,Web Shell Detected,High,Failed
EVT00202,2026-01-01 16:50:00,202.44.179.75,10.0.6.148,Brute Force,Critical,Failed
EVT00203,2026-01-01 16:55:00,126.114.130.168,10.0.7.165,Configuration Change,Medium,Detected
EVT00204,2026-01-01 17:00:00,135.69.180.120,10.0.1.56,Session Hijacking Attempt,Low,Failed
EVT00205,2026-01-01 17:05:00,101.194.66.240,10.0.2.231,USB Device Connected,Low,Blocked
EVT00206,2026-01-01 17:10:00,190.80.43.97,10.0.9.248,Login Success,Medium,Success
EVT00207,2026-01-01 17:15:00,77.191.146.187,10.0.4.239,Brute Force,Medium,Detected
EVT00208,2026-01-01 17:20:00,153.192.17.143,10.0.6.221,Failed Login,High,Failed
EVT00209,2026-01-01 17:25:00,177.57.66.150,10.0.1.191,Failed Login,Critical,Detected
EVT00210,2026-01-01 17:30:00,166.125.193.221,10.0.2.62,Data Exfiltration Attempt,High,Blocked
EVT00211,2026-01-01 17:35:00,49.204.242.198,10.0.4.160,Ransomware Detected,Medium,Success
EVT00212,2026-01-01 17:40:00,219.161.119.94,10.0.4.34,Malware Detection,High,Failed
EVT00213,2026-01-01 17:45:00,142.114.242.50,10.0.3.29,Suspicious Process Execution,Medium,Success
EVT00214,2026-01-01 17:50:00,148.133.75.174,10.0.4.39,Lateral Movement Detected,Critical,Blocked
EVT00215,2026-01-01 17:55:00,15.214.176.248,10.0.0.207,Web Shell Detected,Medium,Detected
EVT00216,2026-01-01 18:00:00,192.98.164.236,10.0.7.238,Firewall Rule Change,High,Blocked
EVT00217,2026-01-01 18:05:00,221.196.192.209,10.0.2.216,DDoS Attempt,Critical,Success
EVT00218,2026-01-01 18:10:00,86.239.226.133,10.0.9.47,Malware Detection,Medium,Failed
EVT00219,2026-01-01 18:15:00,200.10.219.238,10.0.3.193,Failed Login,Medium,Success
EVT00220,2026-01-01 18:20:00,216.11.53.167,10.0.6.222,Unauthorized Access,Low,Failed
EVT00221,2026-01-01 18:25:00,90.64.49.117,10.0.2.75,Lateral Movement Detected,High,Failed
EVT00222,2026-01-01 18:30:00,119.230.244.188,10.0.8.2,Account Lockout,Critical,Failed
EVT00223,2026-01-01 18:35:00,62.230.37.227,10.0.9.246,File Access,Low,Failed
EVT00224,2026-01-01 18:40:00,109.4.106.227,10.0.1.228,Brute Force,Medium,Failed
EVT00225,2026-01-01 18:45:00,44.218.152.144,10.0.1.25,Privilege Escalation,Low,Blocked
EVT00226,2026-01-01 18:50:00,152.222.13.102,10.0.6.252,Suspicious Process Execution,High,Success
EVT00227,2026-01-01 18:55:00,147.187.217.48,10.0.8.222,Data Exfiltration Attempt,Critical,Failed
EVT00228,2026-01-01 19:00:00,50.129.244.105,10.0.7.27,Credential Dumping,Medium,Failed
EVT00229,2026-01-01 19:05:00,8.155.189.44,10.0.9.148,DDoS Attempt,Critical,Success
EVT00230,2026-01-01 19:10:00,204.134.136.136,10.0.0.213,Firewall Rule Change,Critical,Failed
EVT00231,2026-01-01 19:15:00,151.102.6.137,10.0.3.17,File Access,Medium,Success
EVT00232,2026-01-01 19:20:00,153.50.232.232,10.0.5.96,Session Hijacking Attempt,Critical,Success
EVT00233,2026-01-01 19:25:00,220.248.25.0,10.0.9.31,USB Device Connected,Medium,Success
EVT00234,2026-01-01 19:30:00,206.19.66.79,10.0.9.206,Failed Login,Medium,Blocked
EVT00235,2026-01-01 19:35:00,115.151.41.40,10.0.9.49,Web Shell Detected,High,Blocked
EVT00236,2026-01-01 19:40:00,204.39.134.83,10.0.8.127,Port Scan,High,Failed
EVT00237,2026-01-01 19:45:00,216.227.187.248,10.0.9.20,USB Device Connected,Low,Failed
EVT00238,2026-01-01 19:50:00,60.132.187.34,10.0.2.82,Phishing Email,Critical,Success
EVT00239,2026-01-01 19:55:00,142.146.252.57,10.0.1.3,Account Lockout,Medium,Success
EVT00240,2026-01-01 20:00:00,158.61.29.84,10.0.2.50,Ransomware Detected,Medium,Success
EVT00241,2026-01-01 20:05:00,189.100.213.116,10.0.2.183,SQL Injection Attempt,Low,Success
EVT00242,2026-01-01 20:10:00,55.132.49.217,10.0.6.97,SQL Injection Attempt,Low,Success
EVT00243,2026-01-01 20:15:00,148.56.99.22,10.0.0.186,Privilege Escalation,Medium,Blocked
EVT00244,2026-01-01 20:20:00,49.184.43.23,10.0.9.127,Phishing Email,Low,Failed
EVT00245,2026-01-01 20:25:00,139.170.65.14,10.0.7.70,DDoS Attempt,High,Success
EVT00246,2026-01-01 20:30:00,201.202.84.230,10.0.6.209,Login Success,Medium,Success
EVT00247,2026-01-01 20:35:00,166.40.61.138,10.0.0.38,Malware Detection,Low,Success
EVT00248,2026-01-01 20:40:00,174.252.86.160,10.0.9.121,Account Lockout,High,Failed
EVT00249,2026-01-01 20:45:00,209.9.228.99,10.0.3.108,File Access,Medium,Success
EVT00250,2026-01-01 20:50:00,223.134.112.163,10.0.7.155,Data Exfiltration Attempt,Low,Failed
EVT00251,2026-01-01 20:55:00,221.15.76.61,10.0.9.123,Brute Force,High,Success
EVT00252,2026-01-01 21:00:00,50.245.162.17,10.0.9.147,DNS Tunneling Detected,High,Blocked
EVT00253,2026-01-01 21:05:00,222.4.152.10,10.0.2.9,Malware Detection,Critical,Failed
EVT00254,2026-01-01 21:10:00,91.211.216.71,10.0.3.152,Firewall Rule Change,Low,Success
EVT00255,2026-01-01 21:15:00,194.210.229.128,10.0.3.47,Credential Dumping,High,Failed
EVT00256,2026-01-01 21:20:00,160.244.152.183,10.0.0.121,Failed Login,Medium,Success
EVT00257,2026-01-01 21:25:00,203.34.212.215,10.0.6.58,VPN Connection,Critical,Blocked
EVT00258,2026-01-01 21:30:00,223.137.198.220,10.0.1.173,Firewall Rule Change,High,Failed
EVT00259,2026-01-01 21:35:00,48.162.18.136,10.0.3.204,Malware Detection,Critical,Failed
EVT00260,2026-01-01 21:40:00,186.132.80.242,10.0.0.154,Unauthorized Access,Low,Success
EVT00261,2026-01-01 21:45:00,209.17.17.95,10.0.9.131,Brute Force,Low,Blocked
EVT00262,2026-01-01 21:50:00,223.214.109.84,10.0.0.92,Web Shell Detected,High,Success
EVT00263,2026-01-01 21:55:00,139.219.83.253,10.0.4.6,Session Hijacking Attempt,Critical,Failed
EVT00264,2026-01-01 22:00:00,182.172.109.29,10.0.0.110,Ransomware Detected,Low,Failed
EVT00265,2026-01-01 22:05:00,199.121.251.218,10.0.6.197,Privilege Escalation,Medium,Success
EVT00266,2026-01-01 22:10:00,223.91.107.38,10.0.7.11,SQL Injection Attempt,Low,Success
EVT00267,2026-01-01 22:15:00,182.229.180.65,10.0.8.235,Suspicious Process Execution,Critical,Detected
EVT00268,2026-01-01 22:20:00,146.255.13.84,10.0.5.112,Session Hijacking Attempt,High,Detected
EVT00269,2026-01-01 22:25:00,204.161.209.183,10.0.9.75,Phishing Email,Low,Failed
EVT00270,2026-01-01 22:30:00,157.255.79.237,10.0.5.133,Port Scan,Medium,Success
EVT00271,2026-01-01 22:35:00,166.89.36.254,10.0.2.127,USB Device Connected,Low,Failed
EVT00272,2026-01-01 22:40:00,222.229.161.116,10.0.5.32,Brute Force,Low,Success
EVT00273,2026-01-01 22:45:00,215.240.153.173,10.0.2.65,Phishing Email,Low,Failed
EVT00274,2026-01-01 22:50:00,212.190.80.24,10.0.1.40,Unauthorized Access,Medium,Success
EVT00275,2026-01-01 22:55:00,157.116.61.175,10.0.0.165,DDoS Attempt,Medium,Blocked
EVT00276,2026-01-01 23:00:00,1.122.168.127,10.0.9.117,Failed Login,Critical,Detected
