event_id,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,ml_prediction,ioc_status,asset_name,asset_criticality_label,asset_criticality_verified
EVT00025,0.4961,49.61,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774841+00:00,Critical,36.34,Normal,2.8,No IOC Match,,FIN-SRV-0093,Unknown,False,,0,Normal,No IOC Match,FIN-SRV-0093,Unknown,False
EVT00026,0.4848,48.48,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774878+00:00,Medium,37.13,Normal,8.5,No IOC Match,,HR-RTR-0013,Unknown,False,,0,Normal,No IOC Match,HR-RTR-0013,Unknown,False
EVT00027,0.669,66.9,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774914+00:00,High,63.08,Normal,9.5,No IOC Match,,HR-FW-0141,Unknown,False,,0,Normal,No IOC Match,HR-FW-0141,Unknown,False
EVT00028,0.4323,43.23,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774950+00:00,Low,39.75,Normal,9.2,No IOC Match,,SAL-SRV-0136,Unknown,False,,0,Normal,No IOC Match,SAL-SRV-0136,Unknown,False
EVT00029,0.5947,59.47,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774985+00:00,Medium,62.69,Normal,9.7,No IOC Match,,OPS-FW-0115,Unknown,False,,0,Normal,No IOC Match,OPS-FW-0115,Unknown,False
EVT00030,0.4545,45.45,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775020+00:00,High,45.63,Normal,3.1,No IOC Match,,MKT-PRT-0052,Unknown,False,,7,Normal,No IOC Match,MKT-PRT-0052,Unknown,False
EVT00031,0.3966,39.66,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775057+00:00,High,20.7,Normal,3.9,No IOC Match,,MKT-SRV-0003,Unknown,False,,0,Normal,No IOC Match,MKT-SRV-0003,Unknown,False
EVT00032,0.3586,35.86,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775092+00:00,High,24.55,Normal,1.9,No IOC Match,,LEG-IOT-0058,Unknown,False,,0,Normal,No IOC Match,LEG-IOT-0058,Unknown,False
EVT00033,0.5747,57.47,Moderate,Review When Possible,True,[],1.0,0.5,[],2026-09-02T05:58:31.775132+00:00,Critical,36.29,Normal,6.7,No IOC Match,,IT-PC-0095,Medium,True,0.5,0,Normal,No IOC Match,IT-PC-0095,Medium,True
EVT00034,0.4817,48.17,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775171+00:00,High,25.55,Normal,6.7,No IOC Match,,FIN-IOT-0022,Unknown,False,,0,Normal,No IOC Match,FIN-IOT-0022,Unknown,False
EVT00035,0.5756,57.56,Moderate,Review When Possible,True,[],1.0,1.0,['Critical asset'],2026-09-02T05:58:31.775210+00:00,High,26.43,Normal,6.1,No IOC Match,,HR-PRT-0029,Critical,True,1.0,0,Normal,No IOC Match,HR-PRT-0029,Critical,True
EVT00036,0.6394,63.94,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775248+00:00,High,72.02,Normal,7.2,No IOC Match,,MKT-DB-0126,Unknown,False,,7,Normal,No IOC Match,MKT-DB-0126,Unknown,False
EVT00037,0.462,46.2,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775284+00:00,Critical,32.64,Normal,1.9,No IOC Match,,SAL-IOT-0111,Unknown,False,,0,Normal,No IOC Match,SAL-IOT-0111,Unknown,False
EVT00038,0.4532,45.32,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775322+00:00,Medium,38.22,Normal,7.1,No IOC Match,,LEG-LAP-0032,Unknown,False,,4,Normal,No IOC Match,LEG-LAP-0032,Unknown,False
EVT00039,0.2796,27.96,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775359+00:00,Low,22.07,Normal,5.3,No IOC Match,,ENG-MOB-0140,Unknown,False,,0,Normal,No IOC Match,ENG-MOB-0140,Unknown,False
EVT00040,0.3203,32.03,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775397+00:00,High,14.71,Normal,1.6,No IOC Match,,SAL-LAP-0015,Unknown,False,,0,Normal,No IOC Match,SAL-LAP-0015,Unknown,False
EVT00041,0.5091,50.91,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.775459+00:00,Medium,35.31,Normal,9.7,No IOC Match,,FIN-FW-0005,Unknown,False,,0,Normal,No IOC Match,FIN-FW-0005,Unknown,False
EVT00042,0.4767,47.67,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775498+00:00,High,27.14,Normal,6.3,No IOC Match,,ENG-MOB-0038,Unknown,False,,0,Normal,No IOC Match,ENG-MOB-0038,Unknown,False
EVT00043,0.3313,33.13,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775534+00:00,Medium,19.23,Normal,4.6,No IOC Match,,MKT-SRV-0087,Unknown,False,,0,Normal,No IOC Match,MKT-SRV-0087,Unknown,False
EVT00044,0.2447,24.47,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775569+00:00,Low,23.7,Normal,3.7,No IOC Match,,OPS-SRV-0017,Unknown,False,,0,Normal,No IOC Match,OPS-SRV-0017,Unknown,False
EVT00045,0.5094,50.94,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775605+00:00,High,45.62,Normal,5.3,No IOC Match,,ENG-LAP-0056,Unknown,False,,7,Normal,No IOC Match,ENG-LAP-0056,Unknown,False
EVT00046,0.2412,24.12,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775641+00:00,Low,33.0,Normal,2.4,No IOC Match,,MKT-PRT-0077,Unknown,False,,1,Normal,No IOC Match,MKT-PRT-0077,Unknown,False
EVT00047,0.6979,69.79,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775677+00:00,Critical,66.54,Suspicious,7.1,No IOC Match,,IT-FW-0080,Unknown,False,,0,Suspicious,No IOC Match,IT-FW-0080,Unknown,False
EVT00048,0.6155,61.55,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775713+00:00,Critical,52.97,Normal,5.5,No IOC Match,,MKT-SRV-0091,Unknown,False,,0,Normal,No IOC Match,MKT-SRV-0091,Unknown,False
EVT00049,0.4337,43.37,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775749+00:00,High,25.37,Normal,4.8,No IOC Match,,OPS-FW-0057,Unknown,False,,0,Normal,No IOC Match,OPS-FW-0057,Unknown,False
EVT00050,0.3385,33.85,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775784+00:00,Medium,17.53,Normal,5.1,No IOC Match,,ENG-PRT-0025,Unknown,False,,0,Normal,No IOC Match,ENG-PRT-0025,Unknown,False
EVT00051,0.5042,50.42,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775819+00:00,High,55.15,Suspicious,3.9,No IOC Match,,LEG-MOB-0012,Unknown,False,,0,Suspicious,No IOC Match,LEG-MOB-0012,Unknown,False
EVT00052,0.5079,50.79,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775854+00:00,Medium,59.73,Normal,6.6,No IOC Match,,ENG-PRT-0061,Unknown,False,,7,Normal,No IOC Match,ENG-PRT-0061,Unknown,False
EVT00053,0.3891,38.91,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775889+00:00,Low,42.71,Normal,7.1,No IOC Match,,HR-SRV-0059,Unknown,False,,0,Normal,No IOC Match,HR-SRV-0059,Unknown,False
EVT00054,0.2349,23.49,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775924+00:00,Low,25.36,Normal,3.1,No IOC Match,,FIN-IOT-0057,Unknown,False,,0,Normal,No IOC Match,FIN-IOT-0057,Unknown,False
EVT00055,0.6088,60.88,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775960+00:00,Critical,42.81,Normal,4.0,Suspicious,Low,LEG-DB-0043,Unknown,False,,5,Normal,Suspicious,LEG-DB-0043,Unknown,False
EVT00056,0.2656,26.56,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775994+00:00,Low,24.0,Normal,4.5,No IOC Match,,HR-MOB-0079,Unknown,False,,0,Normal,No IOC Match,HR-MOB-0079,Unknown,False
EVT00057,0.3536,35.36,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776029+00:00,Medium,17.56,Normal,5.7,No IOC Match,,ENG-MOB-0127,Unknown,False,,0,Normal,No IOC Match,ENG-MOB-0127,Unknown,False
EVT00058,0.5907,59.07,Moderate,Review When Possible,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.776065+00:00,Medium,60.63,Normal,9.8,No IOC Match,,MKT-LAP-0079,Unknown,False,,5,Normal,No IOC Match,MKT-LAP-0079,Unknown,False
EVT00059,0.4343,43.43,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776101+00:00,Medium,27.37,Normal,7.7,No IOC Match,,LEG-MOB-0094,Unknown,False,,0,Normal,No IOC Match,LEG-MOB-0094,Unknown,False
EVT00060,0.6569,65.69,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776137+00:00,Critical,50.2,Normal,7.5,No IOC Match,,MKT-SW-0076,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0076,Unknown,False
EVT00061,0.4014,40.14,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776173+00:00,High,22.24,Normal,3.9,No IOC Match,,ENG-IOT-0021,Unknown,False,,0,Normal,No IOC Match,ENG-IOT-0021,Unknown,False
EVT00062,0.3355,33.55,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776208+00:00,Low,44.75,Normal,4.7,No IOC Match,,ENG-SW-0103,Unknown,False,,0,Normal,No IOC Match,ENG-SW-0103,Unknown,False
EVT00063,0.4352,43.52,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.776244+00:00,Low,83.05,Suspicious,3.9,No IOC Match,,FIN-LAP-0097,Unknown,False,,8,Suspicious,No IOC Match,FIN-LAP-0097,Unknown,False
EVT00064,0.4966,49.66,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.776279+00:00,High,63.92,Normal,2.5,No IOC Match,,IT-SRV-0134,Unknown,False,,7,Normal,No IOC Match,IT-SRV-0134,Unknown,False
EVT00065,0.3925,39.25,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776315+00:00,High,37.01,Normal,1.7,No IOC Match,,MKT-SW-0097,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0097,Unknown,False
EVT00066,0.4979,49.79,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776350+00:00,High,44.32,Normal,5.0,No IOC Match,,MKT-SRV-0032,Unknown,False,,0,Normal,No IOC Match,MKT-SRV-0032,Unknown,False
EVT00067,0.4739,47.39,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776385+00:00,Critical,26.85,Normal,3.1,No IOC Match,,IT-RTR-0049,Unknown,False,,0,Normal,No IOC Match,IT-RTR-0049,Unknown,False
EVT00068,0.4112,41.12,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776439+00:00,Medium,24.77,Normal,7.1,No IOC Match,,OPS-PRT-0075,Unknown,False,,0,Normal,No IOC Match,OPS-PRT-0075,Unknown,False
EVT00069,0.4588,45.88,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776701+00:00,Medium,37.62,Normal,7.4,No IOC Match,,LEG-SRV-0040,Unknown,False,,0,Normal,No IOC Match,LEG-SRV-0040,Unknown,False
EVT00070,0.5627,56.27,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.776782+00:00,Low,76.68,Suspicious,9.8,No IOC Match,,FIN-MOB-0070,Unknown,False,,4,Suspicious,No IOC Match,FIN-MOB-0070,Unknown,False
EVT00071,0.7268,72.68,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.776833+00:00,Critical,74.99,Suspicious,7.2,No IOC Match,,OPS-SW-0108,Unknown,False,,7,Suspicious,No IOC Match,OPS-SW-0108,Unknown,False
EVT00072,0.4437,44.37,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.776875+00:00,Low,43.4,Normal,9.2,No IOC Match,,OPS-SRV-0010,Unknown,False,,0,Normal,No IOC Match,OPS-SRV-0010,Unknown,False
EVT00073,0.3638,36.38,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776916+00:00,High,24.61,Normal,2.1,No IOC Match,,HR-FW-0071,Unknown,False,,0,Normal,No IOC Match,HR-FW-0071,Unknown,False
EVT00074,0.656,65.6,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.776954+00:00,Critical,44.32,Normal,8.2,No IOC Match,,SAL-MOB-0097,Unknown,False,,0,Normal,No IOC Match,SAL-MOB-0097,Unknown,False
EVT00075,0.3695,36.95,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776992+00:00,High,43.24,Normal,0.0,No IOC Match,,MKT-DB-0121,Unknown,False,,0,Normal,No IOC Match,MKT-DB-0121,Unknown,False
EVT00076,0.4374,43.74,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777029+00:00,Low,43.78,Normal,8.9,No IOC Match,,IT-SW-0107,Unknown,False,,0,Normal,No IOC Match,IT-SW-0107,Unknown,False
EVT00077,0.2635,26.35,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777065+00:00,Low,33.73,Normal,3.2,No IOC Match,,SAL-PRT-0019,Unknown,False,,0,Normal,No IOC Match,SAL-PRT-0019,Unknown,False
EVT00078,0.7324,73.24,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.777102+00:00,Critical,72.78,Normal,7.7,No IOC Match,,SAL-DB-0045,Unknown,False,,8,Normal,No IOC Match,SAL-DB-0045,Unknown,False
EVT00079,0.4766,47.66,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777139+00:00,Critical,25.32,Normal,3.4,No IOC Match,,MKT-IOT-0073,Unknown,False,,0,Normal,No IOC Match,MKT-IOT-0073,Unknown,False
EVT00080,0.5372,53.72,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777174+00:00,High,31.29,Normal,8.2,No IOC Match,,MKT-SW-0120,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0120,Unknown,False
EVT00081,0.4308,43.08,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777209+00:00,High,15.66,Normal,5.9,No IOC Match,,LEG-DB-0052,Unknown,False,,0,Normal,No IOC Match,LEG-DB-0052,Unknown,False
EVT00082,0.3971,39.71,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777244+00:00,High,20.08,Normal,4.0,No IOC Match,,FIN-PRT-0128,Unknown,False,,0,Normal,No IOC Match,FIN-PRT-0128,Unknown,False
EVT00083,0.3694,36.94,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777296+00:00,High,16.82,Normal,3.3,No IOC Match,,MKT-SW-0111,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0111,Unknown,False
EVT00084,0.2611,26.11,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777335+00:00,Low,25.76,Normal,4.1,No IOC Match,,LEG-PC-0064,Unknown,False,,0,Normal,No IOC Match,LEG-PC-0064,Unknown,False
EVT00085,0.472,47.2,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777372+00:00,Medium,35.45,Normal,8.2,No IOC Match,,IT-FW-0016,Unknown,False,,0,Normal,No IOC Match,IT-FW-0016,Unknown,False
EVT00086,0.4817,48.17,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777473+00:00,Medium,29.73,Normal,9.3,No IOC Match,,SAL-RTR-0074,Unknown,False,,0,Normal,No IOC Match,SAL-RTR-0074,Unknown,False
EVT00087,0.487,48.7,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777524+00:00,High,29.64,Normal,6.4,No IOC Match,,IT-RTR-0007,Unknown,False,,3,Normal,No IOC Match,IT-RTR-0007,Unknown,False
EVT00088,0.4082,40.82,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777563+00:00,High,31.61,Normal,3.0,No IOC Match,,LEG-SW-0055,Unknown,False,,2,Normal,No IOC Match,LEG-SW-0055,Unknown,False
EVT00089,0.3874,38.74,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777601+00:00,Low,36.58,Normal,7.8,No IOC Match,,FIN-FW-0124,Unknown,False,,0,Normal,No IOC Match,FIN-FW-0124,Unknown,False
EVT00090,0.6167,61.67,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777638+00:00,High,43.95,Normal,9.8,No IOC Match,,FIN-DB-0038,Unknown,False,,0,Normal,No IOC Match,FIN-DB-0038,Unknown,False
EVT00091,0.674,67.4,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.777675+00:00,Critical,58.07,Normal,7.2,No IOC Match,,FIN-RTR-0001,Unknown,False,,5,Normal,No IOC Match,FIN-RTR-0001,Unknown,False
EVT00092,0.3504,35.04,Medium,Monitor,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.777711+00:00,Medium,51.74,Normal,1.3,No IOC Match,,IT-RTR-0037,Unknown,False,,8,Normal,No IOC Match,IT-RTR-0037,Unknown,False
EVT00093,0.4668,46.68,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777747+00:00,Critical,34.19,Normal,1.9,No IOC Match,,FIN-LAP-0122,Unknown,False,,0,Normal,No IOC Match,FIN-LAP-0122,Unknown,False
EVT00094,0.3435,34.35,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777783+00:00,High,14.91,Normal,2.5,No IOC Match,,MKT-PRT-0085,Unknown,False,,0,Normal,No IOC Match,MKT-PRT-0085,Unknown,False
EVT00095,0.3331,33.31,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777818+00:00,Low,31.18,Normal,6.3,No IOC Match,,ENG-LAP-0080,Unknown,False,,0,Normal,No IOC Match,ENG-LAP-0080,Unknown,False
EVT00096,0.3611,36.11,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777854+00:00,Medium,25.56,Normal,5.0,No IOC Match,,SAL-FW-0091,Unknown,False,,0,Normal,No IOC Match,SAL-FW-0091,Unknown,False
EVT00097,0.4852,48.52,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777888+00:00,Medium,30.05,Normal,9.4,No IOC Match,,LEG-MOB-0010,Unknown,False,,0,Normal,No IOC Match,LEG-MOB-0010,Unknown,False
