rank,event_id,risk_score,risk_level,priority,status,reasons,input_ioc_status,input_asset_criticality_label,input_asset_criticality_verified
69,EVT08125,74.84,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
70,EVT06444,74.8,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
71,EVT09097,74.8,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,High,True
72,EVT01535,74.74,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
73,EVT08722,74.74,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
74,EVT08176,74.66,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
75,EVT00386,74.6,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
76,EVT09096,74.59,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
77,EVT04458,74.5,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
78,EVT00329,74.43,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
79,EVT02934,74.39,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
80,EVT09067,74.37,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
81,EVT01431,74.26,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
82,EVT08309,74.24,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
83,EVT06215,74.21,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
84,EVT03453,74.15,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
85,EVT08346,74.14,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
86,EVT07938,74.13,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
87,EVT07385,74.09,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
88,EVT03818,74.02,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
89,EVT07100,73.99,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
90,EVT03057,73.98,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
91,EVT06720,73.87,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
92,EVT07248,73.85,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
93,EVT08933,73.83,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
94,EVT05451,73.79,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
95,EVT04722,73.75,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
96,EVT00180,73.64,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
97,EVT02737,73.59,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
98,EVT05989,73.58,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
99,EVT07949,73.58,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
100,EVT01944,73.57,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
101,EVT00869,73.56,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
102,EVT04101,73.56,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
103,EVT03348,73.53,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
104,EVT00833,73.43,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
105,EVT03498,73.34,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
106,EVT03521,73.31,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
107,EVT05795,73.31,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
108,EVT01385,73.26,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
109,EVT09066,73.25,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
110,EVT00078,73.24,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
111,EVT07353,73.24,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
112,EVT07048,73.21,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
113,EVT07106,73.21,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
114,EVT03301,73.19,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
115,EVT03065,73.15,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
116,EVT01969,73.14,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
117,EVT01197,73.07,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
118,EVT02909,72.87,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
119,EVT07338,72.8,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
120,EVT04827,72.76,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
121,EVT00071,72.68,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
122,EVT01478,72.66,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
123,EVT01738,72.65,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
124,EVT00987,72.59,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
125,EVT04930,72.56,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
126,EVT03444,72.52,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
127,EVT03150,72.48,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
128,EVT02043,72.47,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
129,EVT06413,72.46,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
130,EVT06490,72.35,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,High,True
131,EVT06066,72.31,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
132,EVT07062,72.26,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
133,EVT09528,72.21,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
134,EVT01872,72.19,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
135,EVT07339,72.12,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
136,EVT07849,72.1,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
137,EVT05749,72.07,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
138,EVT09063,72.07,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
139,EVT00738,72.0,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
140,EVT04238,71.98,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
141,EVT06858,71.98,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
142,EVT02924,71.97,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
143,EVT01558,71.95,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
144,EVT01184,71.92,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
145,EVT07487,71.86,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
146,EVT01276,71.82,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
147,EVT01294,71.81,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
148,EVT01008,71.78,High,Investigate Soon,Open,"['High ML confidence', 'Multiple failed login attempts']",No IOC Match,Unknown,False
149,EVT01165,71.78,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
150,EVT01598,71.77,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
151,EVT06629,71.73,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Medium,True
152,EVT09010,71.73,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
153,EVT02789,71.71,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
154,EVT06418,71.66,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
155,EVT00845,71.62,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
156,EVT00367,71.54,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
157,EVT03631,71.51,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
158,EVT04630,71.44,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
159,EVT04857,71.38,High,Investigate Soon,Open,"['Critical asset', 'High CVSS vulnerability']",No IOC Match,Critical,True
160,EVT04369,71.37,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
161,EVT04431,71.37,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
162,EVT06196,71.37,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability']",No IOC Match,Low,True
163,EVT05338,71.33,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
164,EVT00761,71.3,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
165,EVT09548,71.26,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
166,EVT04644,71.17,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
167,EVT02700,71.16,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
168,EVT06997,71.16,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
169,EVT03165,71.15,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
170,EVT03009,71.1,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
171,EVT08909,71.1,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
172,EVT08340,71.09,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
173,EVT04791,71.08,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
174,EVT04387,71.05,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
175,EVT06352,71.05,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
176,EVT08510,71.04,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
177,EVT05277,70.97,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
178,EVT02615,70.9,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
179,EVT06167,70.9,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
180,EVT02394,70.86,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
181,EVT04782,70.85,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
182,EVT03993,70.83,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
183,EVT06466,70.74,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
184,EVT07988,70.73,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
185,EVT04341,70.7,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
186,EVT04181,70.68,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
187,EVT05522,70.66,High,Investigate Soon,Open,[],No IOC Match,Unknown,False
188,EVT04283,70.54,High,Investigate Soon,Open,[],No IOC Match,Unknown,False
189,EVT09473,70.53,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
190,EVT04724,70.51,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
191,EVT08702,70.51,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
192,EVT07935,70.47,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
193,EVT00236,70.45,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
194,EVT06985,70.45,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
195,EVT00151,70.44,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
196,EVT07095,70.44,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
197,EVT09857,70.44,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
198,EVT03308,70.43,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
199,EVT02766,70.42,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
200,EVT08956,70.42,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
201,EVT03300,70.33,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
202,EVT04696,70.27,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
203,EVT03179,70.22,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
204,EVT04037,70.22,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
205,EVT09796,70.2,High,Investigate Soon,Open,[],No IOC Match,Unknown,False
206,EVT01978,70.14,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
207,EVT06381,70.12,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
208,EVT04903,70.11,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
209,EVT05582,70.1,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
210,EVT07582,70.06,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
211,EVT07900,70.06,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
212,EVT06043,70.04,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
213,EVT00597,70.02,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
214,EVT05341,70.02,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
215,EVT02203,70.01,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
216,EVT09482,70.01,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
217,EVT00120,70.0,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Medium,True
218,EVT07129,69.99,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
219,EVT00842,69.98,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
220,EVT01269,69.93,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
221,EVT01469,69.92,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
222,EVT09841,69.92,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
223,EVT08483,69.89,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
224,EVT06736,69.86,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
225,EVT03326,69.84,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
226,EVT06570,69.82,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
227,EVT08287,69.8,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
228,EVT08943,69.8,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
229,EVT00047,69.79,High,Investigate Soon,Open,[],No IOC Match,Unknown,False
230,EVT06837,69.77,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
231,EVT00782,69.72,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
232,EVT08127,69.7,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
233,EVT09650,69.68,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
234,EVT02980,69.66,High,Investigate Soon,Open,[],No IOC Match,Unknown,False
235,EVT08038,69.64,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
236,EVT03830,69.62,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
237,EVT03956,69.61,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
238,EVT09269,69.61,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
239,EVT06318,69.59,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
240,EVT09940,69.58,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
241,EVT04488,69.57,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
242,EVT03008,69.56,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
243,EVT09878,69.54,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
244,EVT03469,69.52,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
