indicator,threat_type,confidence,mitre_id,technique_name,tactic
192.168.136.187,Credential Dumping,52,T1595,Active Scanning,Reconnaissance
192.168.137.194,Brute Force,83,T1110,Brute Force,Credential Access
192.168.138.201,Credential Dumping,80,T1595,Active Scanning,Reconnaissance
192.168.139.208,Brute Force,70,T1110,Brute Force,Credential Access
192.168.140.215,Ransomware,65,T1595,Active Scanning,Reconnaissance
192.168.141.222,Malware,56,T1204,User Execution,Execution
192.168.142.229,Credential Dumping,51,T1595,Active Scanning,Reconnaissance
192.168.143.236,Phishing,77,T1566,Phishing,Initial Access
192.168.144.243,Ransomware,61,T1595,Active Scanning,Reconnaissance
192.168.145.250,Ransomware,87,T1595,Active Scanning,Reconnaissance
192.168.146.2,Credential Dumping,79,T1595,Active Scanning,Reconnaissance
192.168.147.9,Brute Force,87,T1110,Brute Force,Credential Access
192.168.148.16,Phishing,62,T1566,Phishing,Initial Access
192.168.149.23,Malware,86,T1204,User Execution,Execution
192.168.150.30,Brute Force,50,T1110,Brute Force,Credential Access
192.168.151.37,Ransomware,99,T1595,Active Scanning,Reconnaissance
192.168.152.44,Malware,93,T1204,User Execution,Execution
192.168.153.51,Brute Force,100,T1110,Brute Force,Credential Access
192.168.154.58,Malware,70,T1204,User Execution,Execution
192.168.155.65,Malware,60,T1204,User Execution,Execution
192.168.156.72,Phishing,79,T1566,Phishing,Initial Access
192.168.157.79,Credential Dumping,100,T1595,Active Scanning,Reconnaissance
192.168.158.86,Credential Dumping,87,T1595,Active Scanning,Reconnaissance
192.168.159.93,Brute Force,51,T1110,Brute Force,Credential Access
192.168.160.100,Ransomware,90,T1595,Active Scanning,Reconnaissance
192.168.161.107,Credential Dumping,52,T1595,Active Scanning,Reconnaissance
192.168.162.114,Brute Force,84,T1110,Brute Force,Credential Access
192.168.163.121,Ransomware,76,T1595,Active Scanning,Reconnaissance
192.168.164.128,Ransomware,52,T1595,Active Scanning,Reconnaissance
192.168.165.135,Credential Dumping,56,T1595,Active Scanning,Reconnaissance
192.168.166.142,Brute Force,62,T1110,Brute Force,Credential Access
192.168.167.149,Brute Force,53,T1110,Brute Force,Credential Access
192.168.168.156,Ransomware,98,T1595,Active Scanning,Reconnaissance
192.168.169.163,Malware,100,T1204,User Execution,Execution
192.168.170.170,Malware,57,T1204,User Execution,Execution
192.168.171.177,Brute Force,87,T1110,Brute Force,Credential Access
192.168.172.184,Brute Force,83,T1110,Brute Force,Credential Access
192.168.173.191,Credential Dumping,78,T1595,Active Scanning,Reconnaissance
192.168.174.198,Ransomware,91,T1595,Active Scanning,Reconnaissance
192.168.175.205,Credential Dumping,81,T1595,Active Scanning,Reconnaissance
192.168.176.212,Brute Force,54,T1110,Brute Force,Credential Access
192.168.177.219,Credential Dumping,82,T1595,Active Scanning,Reconnaissance
192.168.178.226,Ransomware,78,T1595,Active Scanning,Reconnaissance
192.168.179.233,Credential Dumping,70,T1595,Active Scanning,Reconnaissance
192.168.180.240,Phishing,54,T1566,Phishing,Initial Access
192.168.181.247,Credential Dumping,58,T1595,Active Scanning,Reconnaissance
192.168.182.254,Brute Force,92,T1110,Brute Force,Credential Access
192.168.183.6,Phishing,56,T1566,Phishing,Initial Access
192.168.184.13,Credential Dumping,72,T1595,Active Scanning,Reconnaissance
192.168.185.20,Ransomware,85,T1595,Active Scanning,Reconnaissance
192.168.186.27,Ransomware,61,T1595,Active Scanning,Reconnaissance
192.168.187.34,Phishing,61,T1566,Phishing,Initial Access
192.168.188.41,Brute Force,55,T1110,Brute Force,Credential Access
192.168.189.48,Credential Dumping,60,T1595,Active Scanning,Reconnaissance
192.168.190.55,Ransomware,59,T1595,Active Scanning,Reconnaissance
192.168.191.62,Brute Force,92,T1110,Brute Force,Credential Access
192.168.192.69,Credential Dumping,98,T1595,Active Scanning,Reconnaissance
192.168.193.76,Brute Force,83,T1110,Brute Force,Credential Access
192.168.194.83,Credential Dumping,63,T1595,Active Scanning,Reconnaissance
192.168.195.90,Phishing,57,T1566,Phishing,Initial Access
192.168.196.97,Malware,84,T1204,User Execution,Execution
192.168.197.104,Brute Force,77,T1110,Brute Force,Credential Access
192.168.198.111,Phishing,95,T1566,Phishing,Initial Access
192.168.199.118,Credential Dumping,60,T1595,Active Scanning,Reconnaissance
192.168.200.125,Brute Force,65,T1110,Brute Force,Credential Access
192.168.201.132,Credential Dumping,64,T1595,Active Scanning,Reconnaissance
192.168.202.139,Ransomware,99,T1595,Active Scanning,Reconnaissance
192.168.203.146,Malware,66,T1204,User Execution,Execution
192.168.204.153,Brute Force,79,T1110,Brute Force,Credential Access
192.168.205.160,Ransomware,59,T1595,Active Scanning,Reconnaissance
192.168.206.167,Phishing,72,T1566,Phishing,Initial Access
192.168.207.174,Credential Dumping,73,T1595,Active Scanning,Reconnaissance
192.168.208.181,Ransomware,87,T1595,Active Scanning,Reconnaissance
192.168.209.188,Credential Dumping,88,T1595,Active Scanning,Reconnaissance
192.168.210.195,Credential Dumping,95,T1595,Active Scanning,Reconnaissance
192.168.211.202,Brute Force,78,T1110,Brute Force,Credential Access
192.168.212.209,Phishing,74,T1566,Phishing,Initial Access
192.168.213.216,Phishing,56,T1566,Phishing,Initial Access
192.168.214.223,Phishing,55,T1566,Phishing,Initial Access
192.168.215.230,Phishing,88,T1566,Phishing,Initial Access
192.168.216.237,Ransomware,58,T1595,Active Scanning,Reconnaissance
192.168.217.244,Credential Dumping,73,T1595,Active Scanning,Reconnaissance
192.168.218.251,Phishing,64,T1566,Phishing,Initial Access
192.168.219.3,Brute Force,99,T1110,Brute Force,Credential Access
192.168.220.10,Malware,94,T1204,User Execution,Execution
192.168.221.17,Credential Dumping,73,T1595,Active Scanning,Reconnaissance
192.168.222.24,Ransomware,64,T1595,Active Scanning,Reconnaissance
192.168.223.31,Malware,79,T1204,User Execution,Execution
192.168.224.38,Malware,66,T1204,User Execution,Execution
192.168.225.45,Ransomware,68,T1595,Active Scanning,Reconnaissance
192.168.226.52,Credential Dumping,55,T1595,Active Scanning,Reconnaissance
192.168.227.59,Brute Force,75,T1110,Brute Force,Credential Access
192.168.228.66,Brute Force,51,T1110,Brute Force,Credential Access
192.168.229.73,Malware,68,T1204,User Execution,Execution
192.168.230.80,Credential Dumping,55,T1595,Active Scanning,Reconnaissance
192.168.231.87,Ransomware,99,T1595,Active Scanning,Reconnaissance
192.168.232.94,Brute Force,90,T1110,Brute Force,Credential Access
192.168.233.101,Credential Dumping,95,T1595,Active Scanning,Reconnaissance
192.168.234.108,Ransomware,86,T1595,Active Scanning,Reconnaissance
192.168.235.115,Ransomware,83,T1595,Active Scanning,Reconnaissance
192.168.236.122,Credential Dumping,90,T1595,Active Scanning,Reconnaissance
192.168.237.129,Brute Force,72,T1110,Brute Force,Credential Access
192.168.238.136,Ransomware,52,T1595,Active Scanning,Reconnaissance
192.168.239.143,Credential Dumping,58,T1595,Active Scanning,Reconnaissance
192.168.240.150,Brute Force,52,T1110,Brute Force,Credential Access
192.168.241.157,Phishing,66,T1566,Phishing,Initial Access
192.168.242.164,Phishing,91,T1566,Phishing,Initial Access
192.168.243.171,Credential Dumping,74,T1595,Active Scanning,Reconnaissance
192.168.244.178,Credential Dumping,55,T1595,Active Scanning,Reconnaissance
192.168.245.185,Ransomware,70,T1595,Active Scanning,Reconnaissance
192.168.246.192,Phishing,60,T1566,Phishing,Initial Access
192.168.247.199,Brute Force,67,T1110,Brute Force,Credential Access
192.168.248.206,Brute Force,82,T1110,Brute Force,Credential Access
192.168.249.213,Malware,58,T1204,User Execution,Execution
192.168.250.220,Phishing,88,T1566,Phishing,Initial Access
192.168.251.227,Phishing,86,T1566,Phishing,Initial Access
192.168.252.234,Phishing,57,T1566,Phishing,Initial Access
192.168.253.241,Ransomware,66,T1595,Active Scanning,Reconnaissance
192.168.254.248,Ransomware,62,T1595,Active Scanning,Reconnaissance
192.168.0.0,Credential Dumping,55,T1595,Active Scanning,Reconnaissance
192.168.1.7,Phishing,69,T1566,Phishing,Initial Access
192.168.2.14,Phishing,62,T1566,Phishing,Initial Access
192.168.3.21,Brute Force,79,T1110,Brute Force,Credential Access
192.168.4.28,Brute Force,95,T1110,Brute Force,Credential Access
192.168.5.35,Credential Dumping,70,T1595,Active Scanning,Reconnaissance
192.168.6.42,Ransomware,99,T1595,Active Scanning,Reconnaissance
192.168.7.49,Malware,57,T1204,User Execution,Execution
192.168.8.56,Malware,72,T1204,User Execution,Execution
192.168.9.63,Phishing,58,T1566,Phishing,Initial Access
192.168.10.70,Ransomware,60,T1595,Active Scanning,Reconnaissance
192.168.11.77,Ransomware,55,T1595,Active Scanning,Reconnaissance
192.168.12.84,Malware,81,T1204,User Execution,Execution
192.168.13.91,Credential Dumping,69,T1595,Active Scanning,Reconnaissance
192.168.14.98,Malware,80,T1204,User Execution,Execution
192.168.15.105,Phishing,75,T1566,Phishing,Initial Access
192.168.16.112,Phishing,57,T1566,Phishing,Initial Access
192.168.17.119,Brute Force,74,T1110,Brute Force,Credential Access
192.168.18.126,Phishing,98,T1566,Phishing,Initial Access
192.168.19.133,Credential Dumping,51,T1595,Active Scanning,Reconnaissance
192.168.20.140,Malware,53,T1204,User Execution,Execution
192.168.21.147,Phishing,77,T1566,Phishing,Initial Access
192.168.22.154,Credential Dumping,75,T1595,Active Scanning,Reconnaissance
192.168.23.161,Phishing,74,T1566,Phishing,Initial Access
192.168.24.168,Ransomware,56,T1595,Active Scanning,Reconnaissance
192.168.25.175,Ransomware,62,T1595,Active Scanning,Reconnaissance
192.168.26.182,Brute Force,95,T1110,Brute Force,Credential Access
192.168.27.189,Malware,89,T1204,User Execution,Execution
192.168.28.196,Ransomware,95,T1595,Active Scanning,Reconnaissance
192.168.29.203,Phishing,76,T1566,Phishing,Initial Access
192.168.30.210,Ransomware,91,T1595,Active Scanning,Reconnaissance
192.168.31.217,Ransomware,83,T1595,Active Scanning,Reconnaissance
192.168.32.224,Malware,86,T1204,User Execution,Execution
192.168.33.231,Credential Dumping,59,T1595,Active Scanning,Reconnaissance
192.168.34.238,Ransomware,95,T1595,Active Scanning,Reconnaissance
192.168.35.245,Credential Dumping,61,T1595,Active Scanning,Reconnaissance
192.168.36.252,Ransomware,89,T1595,Active Scanning,Reconnaissance
192.168.37.4,Phishing,69,T1566,Phishing,Initial Access
192.168.38.11,Phishing,85,T1566,Phishing,Initial Access
192.168.39.18,Ransomware,72,T1595,Active Scanning,Reconnaissance
192.168.40.25,Brute Force,91,T1110,Brute Force,Credential Access
192.168.41.32,Malware,58,T1204,User Execution,Execution
192.168.42.39,Malware,90,T1204,User Execution,Execution
192.168.43.46,Phishing,93,T1566,Phishing,Initial Access
192.168.44.53,Credential Dumping,91,T1595,Active Scanning,Reconnaissance
192.168.45.60,Phishing,99,T1566,Phishing,Initial Access
192.168.46.67,Ransomware,76,T1595,Active Scanning,Reconnaissance
192.168.47.74,Credential Dumping,97,T1595,Active Scanning,Reconnaissance
192.168.48.81,Phishing,68,T1566,Phishing,Initial Access
192.168.49.88,Malware,62,T1204,User Execution,Execution
192.168.50.95,Phishing,97,T1566,Phishing,Initial Access
192.168.51.102,Malware,82,T1204,User Execution,Execution
192.168.52.109,Malware,70,T1204,User Execution,Execution
192.168.53.116,Malware,71,T1204,User Execution,Execution
192.168.54.123,Phishing,53,T1566,Phishing,Initial Access
192.168.55.130,Malware,94,T1204,User Execution,Execution
192.168.56.137,Phishing,58,T1566,Phishing,Initial Access
192.168.57.144,Credential Dumping,98,T1595,Active Scanning,Reconnaissance
192.168.58.151,Ransomware,54,T1595,Active Scanning,Reconnaissance
192.168.59.158,Ransomware,70,T1595,Active Scanning,Reconnaissance
192.168.60.165,Ransomware,82,T1595,Active Scanning,Reconnaissance
192.168.61.172,Malware,86,T1204,User Execution,Execution
192.168.62.179,Brute Force,50,T1110,Brute Force,Credential Access
192.168.63.186,Brute Force,94,T1110,Brute Force,Credential Access
192.168.64.193,Brute Force,68,T1110,Brute Force,Credential Access
192.168.65.200,Credential Dumping,78,T1595,Active Scanning,Reconnaissance
192.168.66.207,Phishing,84,T1566,Phishing,Initial Access
192.168.67.214,Brute Force,79,T1110,Brute Force,Credential Access
192.168.68.221,Ransomware,65,T1595,Active Scanning,Reconnaissance
192.168.69.228,Malware,92,T1204,User Execution,Execution
192.168.70.235,Malware,56,T1204,User Execution,Execution
192.168.71.242,Malware,78,T1204,User Execution,Execution
192.168.72.249,Malware,96,T1204,User Execution,Execution
192.168.73.1,Malware,92,T1204,User Execution,Execution
192.168.74.8,Phishing,90,T1566,Phishing,Initial Access
192.168.75.15,Brute Force,100,T1110,Brute Force,Credential Access
192.168.76.22,Credential Dumping,74,T1595,Active Scanning,Reconnaissance
192.168.77.29,Malware,95,T1204,User Execution,Execution
192.168.78.36,Ransomware,85,T1595,Active Scanning,Reconnaissance
192.168.79.43,Phishing,91,T1566,Phishing,Initial Access
192.168.80.50,Brute Force,67,T1110,Brute Force,Credential Access
192.168.81.57,Brute Force,80,T1110,Brute Force,Credential Access
192.168.82.64,Phishing,62,T1566,Phishing,Initial Access
192.168.83.71,Malware,65,T1204,User Execution,Execution
192.168.84.78,Credential Dumping,69,T1595,Active Scanning,Reconnaissance
192.168.85.85,Credential Dumping,98,T1595,Active Scanning,Reconnaissance
192.168.86.92,Phishing,86,T1566,Phishing,Initial Access
192.168.87.99,Phishing,59,T1566,Phishing,Initial Access
192.168.88.106,Ransomware,85,T1595,Active Scanning,Reconnaissance
192.168.89.113,Phishing,79,T1566,Phishing,Initial Access
192.168.90.120,Malware,61,T1204,User Execution,Execution
192.168.91.127,Ransomware,92,T1595,Active Scanning,Reconnaissance
192.168.92.134,Malware,95,T1204,User Execution,Execution
192.168.93.141,Phishing,92,T1566,Phishing,Initial Access
192.168.94.148,Brute Force,84,T1110,Brute Force,Credential Access
192.168.95.155,Malware,83,T1204,User Execution,Execution
192.168.96.162,Phishing,55,T1566,Phishing,Initial Access
192.168.97.169,Ransomware,69,T1595,Active Scanning,Reconnaissance
192.168.98.176,Brute Force,74,T1110,Brute Force,Credential Access
192.168.99.183,Brute Force,81,T1110,Brute Force,Credential Access
192.168.100.190,Ransomware,64,T1595,Active Scanning,Reconnaissance
192.168.101.197,Phishing,93,T1566,Phishing,Initial Access
192.168.102.204,Malware,63,T1204,User Execution,Execution
192.168.103.211,Brute Force,86,T1110,Brute Force,Credential Access
192.168.104.218,Ransomware,98,T1595,Active Scanning,Reconnaissance
192.168.105.225,Ransomware,56,T1595,Active Scanning,Reconnaissance
192.168.106.232,Phishing,51,T1566,Phishing,Initial Access
192.168.107.239,Credential Dumping,85,T1595,Active Scanning,Reconnaissance
192.168.108.246,Brute Force,95,T1110,Brute Force,Credential Access
192.168.109.253,Credential Dumping,70,T1595,Active Scanning,Reconnaissance
192.168.110.5,Phishing,98,T1566,Phishing,Initial Access
192.168.111.12,Malware,85,T1204,User Execution,Execution
192.168.112.19,Brute Force,85,T1110,Brute Force,Credential Access
192.168.113.26,Credential Dumping,76,T1595,Active Scanning,Reconnaissance
192.168.114.33,Ransomware,60,T1595,Active Scanning,Reconnaissance
192.168.115.40,Credential Dumping,60,T1595,Active Scanning,Reconnaissance
192.168.116.47,Credential Dumping,66,T1595,Active Scanning,Reconnaissance
192.168.117.54,Ransomware,56,T1595,Active Scanning,Reconnaissance
192.168.118.61,Phishing,78,T1566,Phishing,Initial Access
192.168.119.68,Phishing,80,T1566,Phishing,Initial Access
192.168.120.75,Phishing,86,T1566,Phishing,Initial Access
192.168.121.82,Credential Dumping,86,T1595,Active Scanning,Reconnaissance
192.168.122.89,Ransomware,95,T1595,Active Scanning,Reconnaissance
192.168.123.96,Brute Force,58,T1110,Brute Force,Credential Access
192.168.124.103,Malware,54,T1204,User Execution,Execution
192.168.125.110,Ransomware,84,T1595,Active Scanning,Reconnaissance
192.168.126.117,Ransomware,99,T1595,Active Scanning,Reconnaissance
192.168.127.124,Malware,98,T1204,User Execution,Execution
192.168.128.131,Brute Force,66,T1110,Brute Force,Credential Access
192.168.129.138,Credential Dumping,79,T1595,Active Scanning,Reconnaissance
192.168.130.145,Phishing,56,T1566,Phishing,Initial Access
192.168.131.152,Brute Force,69,T1110,Brute Force,Credential Access
192.168.132.159,Ransomware,80,T1595,Active Scanning,Reconnaissance
192.168.133.166,Phishing,52,T1566,Phishing,Initial Access
192.168.134.173,Brute Force,83,T1110,Brute Force,Credential Access
192.168.135.180,Ransomware,64,T1595,Active Scanning,Reconnaissance
192.168.136.187,Credential Dumping,97,T1595,Active Scanning,Reconnaissance
192.168.137.194,Ransomware,50,T1595,Active Scanning,Reconnaissance
192.168.138.201,Brute Force,73,T1110,Brute Force,Credential Access
192.168.139.208,Phishing,88,T1566,Phishing,Initial Access
192.168.140.215,Phishing,89,T1566,Phishing,Initial Access
192.168.141.222,Ransomware,70,T1595,Active Scanning,Reconnaissance
192.168.142.229,Malware,82,T1204,User Execution,Execution
192.168.143.236,Ransomware,61,T1595,Active Scanning,Reconnaissance
192.168.144.243,Ransomware,68,T1595,Active Scanning,Reconnaissance
192.168.145.250,Ransomware,50,T1595,Active Scanning,Reconnaissance
192.168.146.2,Ransomware,93,T1595,Active Scanning,Reconnaissance
192.168.147.9,Credential Dumping,86,T1595,Active Scanning,Reconnaissance
192.168.148.16,Phishing,64,T1566,Phishing,Initial Access
192.168.149.23,Ransomware,86,T1595,Active Scanning,Reconnaissance
192.168.150.30,Ransomware,84,T1595,Active Scanning,Reconnaissance
192.168.151.37,Malware,78,T1204,User Execution,Execution
192.168.152.44,Credential Dumping,63,T1595,Active Scanning,Reconnaissance
192.168.153.51,Ransomware,89,T1595,Active Scanning,Reconnaissance
192.168.154.58,Brute Force,88,T1110,Brute Force,Credential Access
192.168.155.65,Phishing,58,T1566,Phishing,Initial Access
192.168.156.72,Malware,59,T1204,User Execution,Execution
192.168.157.79,Credential Dumping,86,T1595,Active Scanning,Reconnaissance
192.168.158.86,Credential Dumping,90,T1595,Active Scanning,Reconnaissance
192.168.159.93,Phishing,70,T1566,Phishing,Initial Access
192.168.160.100,Credential Dumping,100,T1595,Active Scanning,Reconnaissance
192.168.161.107,Malware,70,T1204,User Execution,Execution
192.168.162.114,Ransomware,93,T1595,Active Scanning,Reconnaissance
192.168.163.121,Brute Force,78,T1110,Brute Force,Credential Access
192.168.164.128,Malware,60,T1204,User Execution,Execution
192.168.165.135,Phishing,92,T1566,Phishing,Initial Access
192.168.166.142,Phishing,91,T1566,Phishing,Initial Access
192.168.167.149,Malware,58,T1204,User Execution,Execution
192.168.168.156,Brute Force,57,T1110,Brute Force,Credential Access
192.168.169.163,Brute Force,55,T1110,Brute Force,Credential Access
192.168.170.170,Phishing,58,T1566,Phishing,Initial Access
192.168.171.177,Malware,89,T1204,User Execution,Execution
192.168.172.184,Malware,89,T1204,User Execution,Execution
192.168.173.191,Brute Force,98,T1110,Brute Force,Credential Access
192.168.174.198,Phishing,100,T1566,Phishing,Initial Access
192.168.175.205,Malware,92,T1204,User Execution,Execution
192.168.176.212,Credential Dumping,100,T1595,Active Scanning,Reconnaissance
