event_id,timestamp,source_ip,destination_ip,event_type,ioc_status,ioc_type,ioc_value,threat_name,threat_actor,ioc_confidence,ioc_severity,indicator_id,matched_from,enrichment_source
EVT00071,2026-01-01 05:55:00,156.186.231.38,10.0.9.251,File Access,No IOC Match,,,,,,,,,No Match
EVT00072,2026-01-01 06:00:00,197.123.164.153,10.0.4.68,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00073,2026-01-01 06:05:00,7.31.52.167,10.0.6.81,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00074,2026-01-01 06:10:00,219.166.41.58,10.0.4.29,Login Success,No IOC Match,,,,,,,,,No Match
EVT00075,2026-01-01 06:15:00,172.146.143.106,10.0.9.190,File Access,No IOC Match,,,,,,,,,No Match
EVT00076,2026-01-01 06:20:00,210.53.74.4,10.0.7.229,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00077,2026-01-01 06:25:00,77.253.94.155,10.0.1.191,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00078,2026-01-01 06:30:00,171.42.240.81,10.0.4.163,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00079,2026-01-01 06:35:00,129.186.200.144,10.0.5.158,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00080,2026-01-01 06:40:00,189.132.72.167,10.0.6.36,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT00081,2026-01-01 06:45:00,13.73.79.217,10.0.4.93,Login Success,No IOC Match,,,,,,,,,No Match
EVT00082,2026-01-01 06:50:00,126.53.144.76,10.0.7.27,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00083,2026-01-01 06:55:00,180.246.155.138,10.0.7.175,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00084,2026-01-01 07:00:00,203.122.68.38,10.0.2.128,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT00085,2026-01-01 07:05:00,145.164.246.119,10.0.3.237,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00086,2026-01-01 07:10:00,16.15.255.8,10.0.9.46,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT00087,2026-01-01 07:15:00,211.202.81.4,10.0.1.233,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00088,2026-01-01 07:20:00,124.137.44.171,10.0.8.20,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00089,2026-01-01 07:25:00,219.95.254.253,10.0.0.85,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00090,2026-01-01 07:30:00,207.238.52.68,10.0.3.94,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00091,2026-01-01 07:35:00,135.5.123.18,10.0.4.155,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00092,2026-01-01 07:40:00,109.212.130.163,10.0.0.113,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00093,2026-01-01 07:45:00,172.169.101.181,10.0.0.90,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00094,2026-01-01 07:50:00,144.16.168.179,10.0.8.12,Login Success,No IOC Match,,,,,,,,,No Match
EVT00095,2026-01-01 07:55:00,167.23.209.28,10.0.8.226,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00096,2026-01-01 08:00:00,153.249.254.80,10.0.5.146,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00097,2026-01-01 08:05:00,147.162.58.223,10.0.3.173,Login Success,No IOC Match,,,,,,,,,No Match
EVT00098,2026-01-01 08:10:00,162.155.107.253,10.0.5.214,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00099,2026-01-01 08:15:00,199.83.48.100,10.0.5.241,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00100,2026-01-01 08:20:00,1.11.226.18,10.0.8.71,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00101,2026-01-01 08:25:00,132.145.121.154,10.0.9.253,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00102,2026-01-01 08:30:00,156.124.80.208,10.0.5.127,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00103,2026-01-01 08:35:00,5.47.67.153,10.0.1.121,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT00104,2026-01-01 08:40:00,173.111.176.97,10.0.6.111,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT00105,2026-01-01 08:45:00,144.159.15.26,10.0.2.54,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00106,2026-01-01 08:50:00,134.204.4.223,10.0.8.149,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00107,2026-01-01 08:55:00,16.91.205.199,10.0.0.124,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00108,2026-01-01 09:00:00,223.229.23.19,10.0.8.59,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00109,2026-01-01 09:05:00,97.14.38.50,10.0.0.141,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00110,2026-01-01 09:10:00,169.24.7.99,10.0.2.91,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00111,2026-01-01 09:15:00,216.14.109.226,10.0.1.81,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00112,2026-01-01 09:20:00,2.132.31.207,10.0.0.84,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00113,2026-01-01 09:25:00,201.107.59.117,10.0.6.4,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00114,2026-01-01 09:30:00,186.179.219.31,10.0.8.197,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00115,2026-01-01 09:35:00,133.200.191.33,10.0.8.128,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00116,2026-01-01 09:40:00,211.166.101.85,10.0.9.92,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00117,2026-01-01 09:45:00,157.52.54.123,10.0.9.35,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00118,2026-01-01 09:50:00,206.90.183.42,10.0.2.235,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00119,2026-01-01 09:55:00,210.208.227.163,10.0.5.192,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT00120,2026-01-01 10:00:00,130.160.229.189,10.0.1.31,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00121,2026-01-01 10:05:00,203.22.212.241,10.0.6.92,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00122,2026-01-01 10:10:00,121.68.189.217,10.0.0.148,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00123,2026-01-01 10:15:00,211.108.168.36,10.0.1.243,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00124,2026-01-01 10:20:00,121.184.94.71,10.0.9.81,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00125,2026-01-01 10:25:00,176.55.93.139,10.0.7.180,File Access,No IOC Match,,,,,,,,,No Match
EVT00126,2026-01-01 10:30:00,211.172.177.240,10.0.3.195,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT00127,2026-01-01 10:35:00,149.247.193.33,10.0.6.184,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT00128,2026-01-01 10:40:00,40.92.1.176,10.0.6.243,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00129,2026-01-01 10:45:00,221.25.254.230,10.0.1.109,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT00130,2026-01-01 10:50:00,108.200.39.109,10.0.0.62,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00131,2026-01-01 10:55:00,63.38.107.25,10.0.9.166,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00132,2026-01-01 11:00:00,163.87.28.109,10.0.4.3,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT00133,2026-01-01 11:05:00,104.210.155.20,10.0.4.50,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00134,2026-01-01 11:10:00,144.190.193.144,10.0.6.111,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00135,2026-01-01 11:15:00,5.119.40.251,10.0.4.248,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT00136,2026-01-01 11:20:00,201.199.233.224,10.0.6.157,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00137,2026-01-01 11:25:00,103.201.146.105,10.0.3.202,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00138,2026-01-01 11:30:00,179.7.186.240,10.0.7.148,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT00139,2026-01-01 11:35:00,171.85.83.245,10.0.1.88,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00140,2026-01-01 11:40:00,144.36.123.21,10.0.2.250,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00141,2026-01-01 11:45:00,58.253.255.55,10.0.6.39,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00142,2026-01-01 11:50:00,211.103.41.162,10.0.9.194,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00143,2026-01-01 11:55:00,185.126.22.165,10.0.5.163,Login Success,No IOC Match,,,,,,,,,No Match
EVT00144,2026-01-01 12:00:00,170.63.116.35,10.0.6.93,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00145,2026-01-01 12:05:00,160.89.31.202,10.0.9.54,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00146,2026-01-01 12:10:00,139.128.100.216,10.0.3.206,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT00147,2026-01-01 12:15:00,216.253.119.30,10.0.0.176,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00148,2026-01-01 12:20:00,76.110.167.162,10.0.8.84,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00149,2026-01-01 12:25:00,200.47.151.238,10.0.1.64,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00150,2026-01-01 12:30:00,39.61.177.239,10.0.6.192,File Access,No IOC Match,,,,,,,,,No Match
EVT00151,2026-01-01 12:35:00,79.229.129.25,10.0.6.240,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00152,2026-01-01 12:40:00,215.40.29.221,10.0.4.163,File Access,No IOC Match,,,,,,,,,No Match
EVT00153,2026-01-01 12:45:00,133.20.222.193,10.0.5.35,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00154,2026-01-01 12:50:00,77.243.99.59,10.0.2.75,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00155,2026-01-01 12:55:00,49.97.28.30,10.0.9.38,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00156,2026-01-01 13:00:00,212.94.125.238,10.0.3.77,Login Success,No IOC Match,,,,,,,,,No Match
EVT00157,2026-01-01 13:05:00,197.69.2.158,10.0.8.17,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT00158,2026-01-01 13:10:00,178.103.24.141,10.0.6.229,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00159,2026-01-01 13:15:00,148.140.68.170,10.0.2.29,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00160,2026-01-01 13:20:00,117.230.68.188,10.0.8.214,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00161,2026-01-01 13:25:00,178.5.99.251,10.0.8.35,Port Scan,No IOC Match,,,,,,,,,No Match
EVT00162,2026-01-01 13:30:00,32.41.229.250,10.0.1.177,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00163,2026-01-01 13:35:00,203.109.176.202,10.0.7.94,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00164,2026-01-01 13:40:00,50.24.49.106,10.0.4.22,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00165,2026-01-01 13:45:00,26.162.79.59,10.0.3.125,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00166,2026-01-01 13:50:00,199.93.81.211,10.0.7.126,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00167,2026-01-01 13:55:00,213.64.44.113,10.0.6.203,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00168,2026-01-01 14:00:00,220.197.171.255,10.0.8.52,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00169,2026-01-01 14:05:00,113.2.140.136,10.0.0.58,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00170,2026-01-01 14:10:00,134.218.154.196,10.0.2.202,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00171,2026-01-01 14:15:00,153.229.31.223,10.0.1.209,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00172,2026-01-01 14:20:00,174.101.246.232,10.0.0.161,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00173,2026-01-01 14:25:00,179.211.249.90,10.0.0.132,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00174,2026-01-01 14:30:00,27.76.22.189,10.0.1.44,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT00175,2026-01-01 14:35:00,39.10.78.49,10.0.9.46,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00176,2026-01-01 14:40:00,201.55.22.155,10.0.1.246,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00177,2026-01-01 14:45:00,91.233.147.128,10.0.7.215,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00178,2026-01-01 14:50:00,9.215.152.64,10.0.8.142,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00179,2026-01-01 14:55:00,55.171.34.200,10.0.0.181,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00180,2026-01-01 15:00:00,153.124.43.206,10.0.3.216,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00181,2026-01-01 15:05:00,188.239.107.160,10.0.5.42,File Access,No IOC Match,,,,,,,,,No Match
EVT00182,2026-01-01 15:10:00,14.23.148.209,10.0.9.222,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT00183,2026-01-01 15:15:00,126.199.149.251,10.0.9.146,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00184,2026-01-01 15:20:00,154.177.85.31,10.0.0.36,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00185,2026-01-01 15:25:00,102.192.219.254,10.0.9.134,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00186,2026-01-01 15:30:00,37.141.87.220,10.0.9.151,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00187,2026-01-01 15:35:00,45.87.236.212,10.0.0.192,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00188,2026-01-01 15:40:00,59.217.9.118,10.0.1.94,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00189,2026-01-01 15:45:00,66.57.166.220,10.0.1.126,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00190,2026-01-01 15:50:00,175.78.182.140,10.0.4.110,Login Success,No IOC Match,,,,,,,,,No Match
EVT00191,2026-01-01 15:55:00,154.163.68.41,10.0.6.192,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00192,2026-01-01 16:00:00,218.59.123.188,10.0.2.161,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00193,2026-01-01 16:05:00,172.127.216.80,10.0.2.205,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00194,2026-01-01 16:10:00,180.190.114.72,10.0.6.181,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00195,2026-01-01 16:15:00,122.212.90.237,10.0.1.122,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00196,2026-01-01 16:20:00,167.146.218.3,10.0.3.85,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00197,2026-01-01 16:25:00,153.141.200.13,10.0.9.45,Port Scan,No IOC Match,,,,,,,,,No Match
EVT00198,2026-01-01 16:30:00,200.172.128.16,10.0.5.62,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00199,2026-01-01 16:35:00,210.204.98.39,10.0.1.212,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00200,2026-01-01 16:40:00,20.131.29.160,10.0.0.63,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00201,2026-01-01 16:45:00,13.237.205.56,10.0.6.187,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00202,2026-01-01 16:50:00,202.44.179.75,10.0.6.148,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00203,2026-01-01 16:55:00,126.114.130.168,10.0.7.165,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00204,2026-01-01 17:00:00,135.69.180.120,10.0.1.56,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00205,2026-01-01 17:05:00,101.194.66.240,10.0.2.231,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00206,2026-01-01 17:10:00,190.80.43.97,10.0.9.248,Login Success,No IOC Match,,,,,,,,,No Match
EVT00207,2026-01-01 17:15:00,77.191.146.187,10.0.4.239,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00208,2026-01-01 17:20:00,153.192.17.143,10.0.6.221,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00209,2026-01-01 17:25:00,177.57.66.150,10.0.1.191,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00210,2026-01-01 17:30:00,166.125.193.221,10.0.2.62,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT00211,2026-01-01 17:35:00,49.204.242.198,10.0.4.160,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00212,2026-01-01 17:40:00,219.161.119.94,10.0.4.34,Malware Detection,No IOC Match,,,,,,,,,No Match
EVT00213,2026-01-01 17:45:00,142.114.242.50,10.0.3.29,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00214,2026-01-01 17:50:00,148.133.75.174,10.0.4.39,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT00215,2026-01-01 17:55:00,15.214.176.248,10.0.0.207,Web Shell Detected,No IOC Match,,,,,,,,,No Match
