event_id,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at
EVT00019,Medium,27.82,Normal,0.3,No IOC Match,,IT-SW-0117,Unknown,False,,0,0.2507,25.07,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774617+00:00
EVT00020,Critical,25.96,Normal,4.1,No IOC Match,,OPS-DB-0092,Unknown,False,,0,0.4961,49.61,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774655+00:00
EVT00021,Medium,32.1,Normal,8.3,No IOC Match,,IT-SRV-0016,Unknown,False,,0,0.4641,46.41,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774693+00:00
EVT00022,Low,50.76,Normal,2.2,No IOC Match,,LEG-LAP-0079,Unknown,False,,0,0.2917,29.17,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774731+00:00
EVT00023,High,25.17,Normal,6.2,No IOC Match,,FIN-LAP-0086,Unknown,False,,0,0.468,46.8,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774767+00:00
EVT00024,High,62.05,Normal,9.5,Malicious,High,HR-SRV-0010,Unknown,False,,0,0.7908,79.08,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Malicious IOC']",2026-09-02T05:58:31.774805+00:00
EVT00025,Critical,36.34,Normal,2.8,No IOC Match,,FIN-SRV-0093,Unknown,False,,0,0.4961,49.61,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774841+00:00
EVT00026,Medium,37.13,Normal,8.5,No IOC Match,,HR-RTR-0013,Unknown,False,,0,0.4848,48.48,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774878+00:00
EVT00027,High,63.08,Normal,9.5,No IOC Match,,HR-FW-0141,Unknown,False,,0,0.669,66.9,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774914+00:00
EVT00028,Low,39.75,Normal,9.2,No IOC Match,,SAL-SRV-0136,Unknown,False,,0,0.4323,43.23,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774950+00:00
EVT00029,Medium,62.69,Normal,9.7,No IOC Match,,OPS-FW-0115,Unknown,False,,0,0.5947,59.47,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774985+00:00
EVT00030,High,45.63,Normal,3.1,No IOC Match,,MKT-PRT-0052,Unknown,False,,7,0.4545,45.45,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775020+00:00
EVT00031,High,20.7,Normal,3.9,No IOC Match,,MKT-SRV-0003,Unknown,False,,0,0.3966,39.66,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775057+00:00
EVT00032,High,24.55,Normal,1.9,No IOC Match,,LEG-IOT-0058,Unknown,False,,0,0.3586,35.86,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775092+00:00
EVT00033,Critical,36.29,Normal,6.7,No IOC Match,,IT-PC-0095,Medium,True,0.5,0,0.5747,57.47,Moderate,Review When Possible,True,[],1.0,0.5,[],2026-09-02T05:58:31.775132+00:00
EVT00034,High,25.55,Normal,6.7,No IOC Match,,FIN-IOT-0022,Unknown,False,,0,0.4817,48.17,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775171+00:00
EVT00035,High,26.43,Normal,6.1,No IOC Match,,HR-PRT-0029,Critical,True,1.0,0,0.5756,57.56,Moderate,Review When Possible,True,[],1.0,1.0,['Critical asset'],2026-09-02T05:58:31.775210+00:00
EVT00036,High,72.02,Normal,7.2,No IOC Match,,MKT-DB-0126,Unknown,False,,7,0.6394,63.94,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775248+00:00
EVT00037,Critical,32.64,Normal,1.9,No IOC Match,,SAL-IOT-0111,Unknown,False,,0,0.462,46.2,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775284+00:00
EVT00038,Medium,38.22,Normal,7.1,No IOC Match,,LEG-LAP-0032,Unknown,False,,4,0.4532,45.32,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775322+00:00
EVT00039,Low,22.07,Normal,5.3,No IOC Match,,ENG-MOB-0140,Unknown,False,,0,0.2796,27.96,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775359+00:00
EVT00040,High,14.71,Normal,1.6,No IOC Match,,SAL-LAP-0015,Unknown,False,,0,0.3203,32.03,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775397+00:00
EVT00041,Medium,35.31,Normal,9.7,No IOC Match,,FIN-FW-0005,Unknown,False,,0,0.5091,50.91,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.775459+00:00
EVT00042,High,27.14,Normal,6.3,No IOC Match,,ENG-MOB-0038,Unknown,False,,0,0.4767,47.67,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775498+00:00
EVT00043,Medium,19.23,Normal,4.6,No IOC Match,,MKT-SRV-0087,Unknown,False,,0,0.3313,33.13,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775534+00:00
EVT00044,Low,23.7,Normal,3.7,No IOC Match,,OPS-SRV-0017,Unknown,False,,0,0.2447,24.47,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775569+00:00
EVT00045,High,45.62,Normal,5.3,No IOC Match,,ENG-LAP-0056,Unknown,False,,7,0.5094,50.94,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775605+00:00
EVT00046,Low,33.0,Normal,2.4,No IOC Match,,MKT-PRT-0077,Unknown,False,,1,0.2412,24.12,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775641+00:00
EVT00047,Critical,66.54,Suspicious,7.1,No IOC Match,,IT-FW-0080,Unknown,False,,0,0.6979,69.79,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775677+00:00
EVT00048,Critical,52.97,Normal,5.5,No IOC Match,,MKT-SRV-0091,Unknown,False,,0,0.6155,61.55,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775713+00:00
EVT00049,High,25.37,Normal,4.8,No IOC Match,,OPS-FW-0057,Unknown,False,,0,0.4337,43.37,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775749+00:00
EVT00050,Medium,17.53,Normal,5.1,No IOC Match,,ENG-PRT-0025,Unknown,False,,0,0.3385,33.85,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775784+00:00
EVT00051,High,55.15,Suspicious,3.9,No IOC Match,,LEG-MOB-0012,Unknown,False,,0,0.5042,50.42,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775819+00:00
EVT00052,Medium,59.73,Normal,6.6,No IOC Match,,ENG-PRT-0061,Unknown,False,,7,0.5079,50.79,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775854+00:00
EVT00053,Low,42.71,Normal,7.1,No IOC Match,,HR-SRV-0059,Unknown,False,,0,0.3891,38.91,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775889+00:00
EVT00054,Low,25.36,Normal,3.1,No IOC Match,,FIN-IOT-0057,Unknown,False,,0,0.2349,23.49,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775924+00:00
EVT00055,Critical,42.81,Normal,4.0,Suspicious,Low,LEG-DB-0043,Unknown,False,,5,0.6088,60.88,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.775960+00:00
EVT00056,Low,24.0,Normal,4.5,No IOC Match,,HR-MOB-0079,Unknown,False,,0,0.2656,26.56,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.775994+00:00
EVT00057,Medium,17.56,Normal,5.7,No IOC Match,,ENG-MOB-0127,Unknown,False,,0,0.3536,35.36,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776029+00:00
EVT00058,Medium,60.63,Normal,9.8,No IOC Match,,MKT-LAP-0079,Unknown,False,,5,0.5907,59.07,Moderate,Review When Possible,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.776065+00:00
EVT00059,Medium,27.37,Normal,7.7,No IOC Match,,LEG-MOB-0094,Unknown,False,,0,0.4343,43.43,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776101+00:00
EVT00060,Critical,50.2,Normal,7.5,No IOC Match,,MKT-SW-0076,Unknown,False,,0,0.6569,65.69,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776137+00:00
EVT00061,High,22.24,Normal,3.9,No IOC Match,,ENG-IOT-0021,Unknown,False,,0,0.4014,40.14,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776173+00:00
EVT00062,Low,44.75,Normal,4.7,No IOC Match,,ENG-SW-0103,Unknown,False,,0,0.3355,33.55,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776208+00:00
EVT00063,Low,83.05,Suspicious,3.9,No IOC Match,,FIN-LAP-0097,Unknown,False,,8,0.4352,43.52,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.776244+00:00
EVT00064,High,63.92,Normal,2.5,No IOC Match,,IT-SRV-0134,Unknown,False,,7,0.4966,49.66,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.776279+00:00
EVT00065,High,37.01,Normal,1.7,No IOC Match,,MKT-SW-0097,Unknown,False,,0,0.3925,39.25,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776315+00:00
EVT00066,High,44.32,Normal,5.0,No IOC Match,,MKT-SRV-0032,Unknown,False,,0,0.4979,49.79,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776350+00:00
EVT00067,Critical,26.85,Normal,3.1,No IOC Match,,IT-RTR-0049,Unknown,False,,0,0.4739,47.39,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776385+00:00
EVT00068,Medium,24.77,Normal,7.1,No IOC Match,,OPS-PRT-0075,Unknown,False,,0,0.4112,41.12,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776439+00:00
EVT00069,Medium,37.62,Normal,7.4,No IOC Match,,LEG-SRV-0040,Unknown,False,,0,0.4588,45.88,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776701+00:00
EVT00070,Low,76.68,Suspicious,9.8,No IOC Match,,FIN-MOB-0070,Unknown,False,,4,0.5627,56.27,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.776782+00:00
EVT00071,Critical,74.99,Suspicious,7.2,No IOC Match,,OPS-SW-0108,Unknown,False,,7,0.7268,72.68,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.776833+00:00
EVT00072,Low,43.4,Normal,9.2,No IOC Match,,OPS-SRV-0010,Unknown,False,,0,0.4437,44.37,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.776875+00:00
EVT00073,High,24.61,Normal,2.1,No IOC Match,,HR-FW-0071,Unknown,False,,0,0.3638,36.38,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776916+00:00
EVT00074,Critical,44.32,Normal,8.2,No IOC Match,,SAL-MOB-0097,Unknown,False,,0,0.656,65.6,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.776954+00:00
EVT00075,High,43.24,Normal,0.0,No IOC Match,,MKT-DB-0121,Unknown,False,,0,0.3695,36.95,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.776992+00:00
EVT00076,Low,43.78,Normal,8.9,No IOC Match,,IT-SW-0107,Unknown,False,,0,0.4374,43.74,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777029+00:00
EVT00077,Low,33.73,Normal,3.2,No IOC Match,,SAL-PRT-0019,Unknown,False,,0,0.2635,26.35,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777065+00:00
EVT00078,Critical,72.78,Normal,7.7,No IOC Match,,SAL-DB-0045,Unknown,False,,8,0.7324,73.24,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.777102+00:00
EVT00079,Critical,25.32,Normal,3.4,No IOC Match,,MKT-IOT-0073,Unknown,False,,0,0.4766,47.66,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777139+00:00
EVT00080,High,31.29,Normal,8.2,No IOC Match,,MKT-SW-0120,Unknown,False,,0,0.5372,53.72,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777174+00:00
EVT00081,High,15.66,Normal,5.9,No IOC Match,,LEG-DB-0052,Unknown,False,,0,0.4308,43.08,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777209+00:00
EVT00082,High,20.08,Normal,4.0,No IOC Match,,FIN-PRT-0128,Unknown,False,,0,0.3971,39.71,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777244+00:00
EVT00083,High,16.82,Normal,3.3,No IOC Match,,MKT-SW-0111,Unknown,False,,0,0.3694,36.94,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777296+00:00
EVT00084,Low,25.76,Normal,4.1,No IOC Match,,LEG-PC-0064,Unknown,False,,0,0.2611,26.11,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777335+00:00
EVT00085,Medium,35.45,Normal,8.2,No IOC Match,,IT-FW-0016,Unknown,False,,0,0.472,47.2,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777372+00:00
EVT00086,Medium,29.73,Normal,9.3,No IOC Match,,SAL-RTR-0074,Unknown,False,,0,0.4817,48.17,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777473+00:00
EVT00087,High,29.64,Normal,6.4,No IOC Match,,IT-RTR-0007,Unknown,False,,3,0.487,48.7,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777524+00:00
EVT00088,High,31.61,Normal,3.0,No IOC Match,,LEG-SW-0055,Unknown,False,,2,0.4082,40.82,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777563+00:00
EVT00089,Low,36.58,Normal,7.8,No IOC Match,,FIN-FW-0124,Unknown,False,,0,0.3874,38.74,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777601+00:00
EVT00090,High,43.95,Normal,9.8,No IOC Match,,FIN-DB-0038,Unknown,False,,0,0.6167,61.67,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777638+00:00
EVT00091,Critical,58.07,Normal,7.2,No IOC Match,,FIN-RTR-0001,Unknown,False,,5,0.674,67.4,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.777675+00:00
EVT00092,Medium,51.74,Normal,1.3,No IOC Match,,IT-RTR-0037,Unknown,False,,8,0.3504,35.04,Medium,Monitor,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.777711+00:00
EVT00093,Critical,34.19,Normal,1.9,No IOC Match,,FIN-LAP-0122,Unknown,False,,0,0.4668,46.68,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777747+00:00
EVT00094,High,14.91,Normal,2.5,No IOC Match,,MKT-PRT-0085,Unknown,False,,0,0.3435,34.35,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777783+00:00
EVT00095,Low,31.18,Normal,6.3,No IOC Match,,ENG-LAP-0080,Unknown,False,,0,0.3331,33.31,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777818+00:00
EVT00096,Medium,25.56,Normal,5.0,No IOC Match,,SAL-FW-0091,Unknown,False,,0,0.3611,36.11,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777854+00:00
EVT00097,Medium,30.05,Normal,9.4,No IOC Match,,LEG-MOB-0010,Unknown,False,,0,0.4852,48.52,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777888+00:00
EVT00098,Critical,19.83,Normal,1.4,No IOC Match,,FIN-SW-0132,Unknown,False,,0,0.4095,40.95,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777922+00:00
EVT00099,Medium,28.61,Normal,8.4,No IOC Match,,MKT-SW-0050,Unknown,False,,0,0.4557,45.57,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.777957+00:00
EVT00100,Medium,29.38,Normal,1.3,No IOC Match,,LEG-MOB-0038,Unknown,False,,3,0.2806,28.06,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.777991+00:00
EVT00101,Low,80.94,Suspicious,9.4,No IOC Match,,LEG-RTR-0038,Unknown,False,,8,0.5661,56.61,Moderate,Review When Possible,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.778094+00:00
EVT00102,High,17.18,Normal,4.9,No IOC Match,,HR-RTR-0048,Unknown,False,,0,0.4106,41.06,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778140+00:00
EVT00103,Low,20.05,Normal,4.2,No IOC Match,,OPS-IOT-0041,Unknown,False,,0,0.2458,24.58,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778178+00:00
EVT00104,High,18.74,Normal,4.8,No IOC Match,,OPS-SW-0039,Medium,True,0.5,0,0.4304,43.04,Moderate,Review When Possible,True,[],1.0,0.5,[],2026-09-02T05:58:31.778218+00:00
EVT00105,High,26.12,Normal,0.5,No IOC Match,,HR-PRT-0026,Unknown,False,,0,0.3285,32.85,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778255+00:00
EVT00106,Medium,21.56,Normal,0.4,No IOC Match,,HR-LAP-0073,Unknown,False,,0,0.2336,23.36,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778292+00:00
EVT00107,High,29.63,Normal,6.4,No IOC Match,,ENG-RTR-0035,Unknown,False,,0,0.487,48.7,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778329+00:00
EVT00108,Low,57.06,Normal,7.5,No IOC Match,,MKT-SRV-0016,Unknown,False,,6,0.4439,44.39,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.778367+00:00
EVT00109,Low,66.05,Suspicious,8.5,No IOC Match,,IT-IOT-0003,Unknown,False,,0,0.497,49.7,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.778458+00:00
EVT00110,High,16.81,Normal,1.6,No IOC Match,,HR-RTR-0039,Unknown,False,,0,0.3269,32.69,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778507+00:00
EVT00111,Critical,39.39,Normal,6.1,No IOC Match,,MKT-DB-0062,Unknown,False,,0,0.5881,58.81,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778544+00:00
EVT00112,Low,46.41,Normal,7.9,No IOC Match,,ENG-PC-0044,Unknown,False,,0,0.4207,42.07,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778580+00:00
EVT00113,Medium,12.92,Normal,5.1,No IOC Match,,HR-PC-0110,Unknown,False,,0,0.3241,32.41,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778616+00:00
EVT00114,High,24.17,Normal,5.0,No IOC Match,,OPS-MOB-0093,Unknown,False,,0,0.4349,43.49,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778651+00:00
EVT00115,Low,36.61,Normal,8.0,No IOC Match,,MKT-SRV-0045,Unknown,False,,0,0.3925,39.25,Medium,Monitor,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.778685+00:00
EVT00116,Medium,20.06,Normal,2.2,No IOC Match,,OPS-PC-0082,Unknown,False,,1,0.2739,27.39,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778720+00:00
EVT00117,Low,42.38,Normal,6.3,No IOC Match,,OPS-SW-0091,Unknown,False,,0,0.3681,36.81,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778754+00:00
EVT00118,Critical,37.34,Normal,7.2,No IOC Match,,FIN-IOT-0093,Unknown,False,,0,0.6092,60.92,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778789+00:00
EVT00119,Critical,78.08,Suspicious,9.4,No IOC Match,,MKT-MOB-0082,Unknown,False,,2,0.7915,79.15,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.778824+00:00
EVT00120,Critical,62.4,Normal,9.7,No IOC Match,,HR-FW-0149,Medium,True,0.5,2,0.7,70.0,High,Investigate Soon,True,[],1.0,0.5,['High CVSS vulnerability'],2026-09-02T05:58:31.778860+00:00
EVT00121,Medium,28.14,Normal,6.1,No IOC Match,,LEG-PC-0092,Unknown,False,,0,0.3967,39.67,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778896+00:00
EVT00122,Critical,25.79,Normal,2.6,No IOC Match,,LEG-IOT-0089,Unknown,False,,0,0.4581,45.81,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.778931+00:00
