event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,attack_type,threat_indicator
EVT00029,2026-01-01 02:25:00,202.161.178.119,10.0.9.200,campbellellen,Failed Login,TCP,India,India,Device-652,Windows 10,Success,Medium,0,Yes,NO_CVE,9.7,OPS-FW-0115,Operations,Normal Activity,False
EVT00030,2026-01-01 02:30:00,212.117.126.63,10.0.9.166,hughesmary,USB Device Connected,FTP,India,India,Device-415,Windows 10,Failed,High,7,No,NO_CVE,3.1,MKT-PRT-0052,Marketing,Normal Activity,False
EVT00031,2026-01-01 02:35:00,133.15.132.42,10.0.8.83,kevin05,Phishing Email,SSH,India,India,Device-973,Linux,Detected,High,0,No,NO_CVE,3.9,MKT-SRV-0003,Legal,Normal Activity,False
EVT00032,2026-01-01 02:40:00,211.172.243.51,10.0.0.193,dean34,USB Device Connected,TCP,India,India,Device-158,Windows 10,Success,High,0,No,NO_CVE,1.9,LEG-IOT-0058,Operations,Normal Activity,False
EVT00033,2026-01-01 02:45:00,79.0.63.152,10.0.1.58,jason48,SQL Injection Attempt,HTTP,India,India,Device-968,Windows Server 2019,Success,Critical,0,No,NO_CVE,6.7,IT-PC-0095,Sales,Normal Activity,False
EVT00034,2026-01-01 02:50:00,222.27.14.181,10.0.6.26,denise39,Configuration Change,SSH,India,India,Device-864,Windows Server 2019,Success,High,0,No,CVE-2016-28922,6.7,FIN-IOT-0022,Marketing,Normal Activity,False
EVT00035,2026-01-01 02:55:00,193.28.232.215,10.0.6.9,travis96,Web Shell Detected,HTTPS,India,India,Device-227,Windows Server 2019,Blocked,High,0,No,CVE-2023-65412,6.1,HR-PRT-0029,Marketing,Normal Activity,False
EVT00036,2026-01-01 03:00:00,33.27.13.84,10.0.4.165,jjones,Data Exfiltration Attempt,HTTPS,India,India,Device-232,Windows 11,Failed,High,7,Yes,CVE-2015-67995,7.2,MKT-DB-0126,IT,Normal Activity,False
EVT00037,2026-01-01 03:05:00,167.241.73.214,10.0.1.173,stricklandkevin,Web Shell Detected,FTP,India,India,Device-557,Windows Server 2019,Detected,Critical,0,No,CVE-2017-59452,1.9,SAL-IOT-0111,Engineering,Normal Activity,False
EVT00038,2026-01-01 03:10:00,131.76.234.67,10.0.0.215,mary46,Configuration Change,HTTPS,India,India,Device-362,Windows Server 2019,Failed,Medium,4,No,CVE-2018-60090,7.1,LEG-LAP-0032,IT,Normal Activity,False
EVT00039,2026-01-01 03:15:00,217.10.48.39,10.0.4.3,phorne,Data Exfiltration Attempt,HTTPS,India,India,Device-462,Windows 11,Blocked,Low,0,No,CVE-2019-1496,5.3,ENG-MOB-0140,HR,Normal Activity,False
EVT00040,2026-01-01 03:20:00,100.133.98.234,10.0.4.12,greenjamie,Login Success,TCP,India,India,Device-878,Windows 10,Success,High,0,No,CVE-2026-9681,1.6,SAL-LAP-0015,Marketing,Normal Activity,False
EVT00041,2026-01-01 03:25:00,129.240.52.182,10.0.9.172,ybenton,Login Success,DNS,India,India,Device-911,Windows Server 2019,Detected,Medium,0,No,NO_CVE,9.7,FIN-FW-0005,Legal,Normal Activity,False
EVT00042,2026-01-01 03:30:00,192.87.70.117,10.0.1.42,ericlong,File Access,SMB,India,India,Device-749,Windows 10,Detected,High,0,No,NO_CVE,6.3,ENG-MOB-0038,Engineering,Normal Activity,False
EVT00043,2026-01-01 03:35:00,206.137.162.26,10.0.0.2,jnorton,Phishing Email,SSH,India,India,Device-733,macOS,Success,Medium,0,No,NO_CVE,4.6,MKT-SRV-0087,Legal,Normal Activity,False
EVT00044,2026-01-01 03:40:00,133.39.197.127,10.0.5.23,adam63,Brute Force,RDP,India,India,Device-108,Windows Server 2019,Success,Low,0,No,CVE-2016-69765,3.7,OPS-SRV-0017,Operations,Normal Activity,False
EVT00045,2026-01-01 03:45:00,180.134.250.197,10.0.2.166,christopher89,Brute Force,HTTP,India,India,Device-376,Windows 11,Failed,High,7,No,CVE-2016-39652,5.3,ENG-LAP-0056,IT,Normal Activity,False
EVT00046,2026-01-01 03:50:00,51.147.204.120,10.0.3.44,rachaelfigueroa,Login Success,DNS,India,India,Device-281,Windows Server 2019,Failed,Low,1,No,NO_CVE,2.4,MKT-PRT-0077,Engineering,Normal Activity,False
EVT00047,2026-01-01 03:55:00,110.134.150.56,10.0.4.196,alexanderhoward,Suspicious Process Execution,DNS,India,India,Device-651,Windows 10,Blocked,Critical,0,Yes,CVE-2026-9672,7.1,IT-FW-0080,Engineering,Normal Activity,False
EVT00048,2026-01-01 04:00:00,169.59.32.126,10.0.3.19,michael76,Unauthorized Access,HTTPS,India,India,Device-702,Windows Server 2019,Success,Critical,0,Yes,CVE-2022-74120,5.5,MKT-SRV-0091,HR,Normal Activity,False
EVT00049,2026-01-01 04:05:00,129.178.40.143,10.0.3.147,earmstrong,Ransomware Detected,SMB,India,India,Device-119,Linux,Detected,High,0,No,CVE-2016-92108,4.8,OPS-FW-0057,Operations,Normal Activity,False
EVT00050,2026-01-01 04:10:00,83.91.69.167,10.0.0.107,dylan59,Privilege Escalation,FTP,India,India,Device-724,Windows 11,Success,Medium,0,No,NO_CVE,5.1,ENG-PRT-0025,Operations,Normal Activity,False
EVT00051,2026-01-01 04:15:00,216.17.141.251,10.0.8.246,russellcristian,Configuration Change,DNS,India,India,Device-26,Linux,Detected,High,0,Yes,CVE-2018-31910,3.9,LEG-MOB-0012,Marketing,Normal Activity,False
EVT00052,2026-01-01 04:20:00,125.209.158.175,10.0.2.15,lfuller,DDoS Attempt,DNS,India,India,Device-277,Windows Server 2019,Failed,Medium,7,No,CVE-2021-99344,6.6,ENG-PRT-0061,Engineering,Normal Activity,False
EVT00053,2026-01-01 04:25:00,70.16.62.163,10.0.5.230,brianlamb,Account Lockout,TCP,India,India,Device-49,macOS,Detected,Low,0,No,NO_CVE,7.1,HR-SRV-0059,Legal,Normal Activity,False
EVT00054,2026-01-01 04:30:00,197.98.250.213,10.0.6.225,lopezjustin,Port Scan,SSH,India,India,Device-815,Linux,Detected,Low,0,No,NO_CVE,3.1,FIN-IOT-0057,HR,Normal Activity,False
EVT00055,2026-01-01 04:35:00,216.106.120.86,10.0.4.158,thompsonerin,Malware Detection,SSH,India,India,Device-687,Windows Server 2019,Failed,Critical,5,No,CVE-2017-79644,4.0,LEG-DB-0043,Legal,Normal Activity,False
EVT00056,2026-01-01 04:40:00,49.249.183.213,10.0.3.105,lambertvirginia,Suspicious Process Execution,HTTPS,India,India,Device-22,Windows 11,Success,Low,0,No,NO_CVE,4.5,HR-MOB-0079,Operations,Normal Activity,False
EVT00057,2026-01-01 04:45:00,83.197.115.10,10.0.7.89,uroberts,SQL Injection Attempt,HTTP,India,India,Device-967,Windows Server 2019,Success,Medium,0,No,NO_CVE,5.7,ENG-MOB-0127,IT,Normal Activity,False
EVT00058,2026-01-01 04:50:00,222.236.78.121,10.0.0.222,abowen,Unauthorized Access,SMB,India,India,Device-650,Windows 11,Failed,Medium,5,No,NO_CVE,9.8,MKT-LAP-0079,Operations,Normal Activity,False
EVT00059,2026-01-01 04:55:00,215.155.138.0,10.0.1.237,shawnryan,Privilege Escalation,DNS,India,India,Device-844,Windows 11,Success,Medium,0,No,CVE-2017-49752,7.7,LEG-MOB-0094,Finance,Normal Activity,False
EVT00060,2026-01-01 05:00:00,184.62.255.57,10.0.6.79,gregory44,Unauthorized Access,FTP,India,India,Device-523,Linux,Blocked,Critical,0,No,NO_CVE,7.5,MKT-SW-0076,Engineering,Normal Activity,False
EVT00061,2026-01-01 05:05:00,223.255.56.38,10.0.9.102,albert69,DDoS Attempt,DNS,India,India,Device-648,Windows 10,Detected,High,0,No,CVE-2019-37687,3.9,ENG-IOT-0021,Operations,Normal Activity,False
EVT00062,2026-01-01 05:10:00,209.1.70.16,10.0.0.11,rachaelfigueroa,Ransomware Detected,HTTP,India,India,Device-840,Windows 11,Success,Low,0,Yes,CVE-2025-84022,4.7,ENG-SW-0103,Sales,Normal Activity,False
EVT00063,2026-01-01 05:15:00,212.212.127.159,10.0.7.129,sanchezgabrielle,Credential Dumping,SSH,India,India,Device-163,macOS,Failed,Low,8,Yes,CVE-2023-31810,3.9,FIN-LAP-0097,HR,Normal Activity,False
EVT00064,2026-01-01 05:20:00,181.131.44.236,10.0.0.85,ericlong,DNS Tunneling Detected,RDP,India,India,Device-940,Windows Server 2019,Failed,High,7,Yes,CVE-2015-99374,2.5,IT-SRV-0134,IT,Normal Activity,False
EVT00065,2026-01-01 05:25:00,221.103.138.251,10.0.9.81,whouston,Web Shell Detected,TCP,India,India,Device-345,macOS,Success,High,0,No,CVE-2021-58755,1.7,MKT-SW-0097,Finance,Normal Activity,False
EVT00066,2026-01-01 05:30:00,191.194.104.78,10.0.7.131,ustewart,Ransomware Detected,RDP,India,India,Device-834,Windows 10,Detected,High,0,Yes,NO_CVE,5.0,MKT-SRV-0032,Legal,Normal Activity,False
EVT00067,2026-01-01 05:35:00,208.24.25.46,10.0.4.158,lopezjustin,Ransomware Detected,RDP,India,India,Device-172,Windows 11,Success,Critical,0,No,NO_CVE,3.1,IT-RTR-0049,Engineering,Normal Activity,False
EVT00068,2026-01-01 05:40:00,217.165.26.245,10.0.1.60,nancy35,Phishing Email,SMB,India,India,Device-729,macOS,Detected,Medium,0,No,CVE-2017-39961,7.1,OPS-PRT-0075,Legal,Normal Activity,False
EVT00069,2026-01-01 05:45:00,194.91.18.133,10.0.5.206,sandrabarnes,Credential Dumping,SSH,India,India,Device-293,Linux,Blocked,Medium,0,No,CVE-2020-74171,7.4,LEG-SRV-0040,Sales,Normal Activity,False
EVT00070,2026-01-01 05:50:00,44.141.15.196,10.0.5.139,awatson,USB Device Connected,DNS,India,India,Device-347,Linux,Failed,Low,4,No,CVE-2015-81353,9.8,FIN-MOB-0070,Sales,Normal Activity,False
EVT00071,2026-01-01 05:55:00,156.186.231.38,10.0.9.251,ericlong,File Access,DNS,India,India,Device-163,macOS,Failed,Critical,7,No,CVE-2018-12693,7.2,OPS-SW-0108,Sales,Normal Activity,False
EVT00072,2026-01-01 06:00:00,197.123.164.153,10.0.4.68,thansen,Credential Dumping,RDP,India,India,Device-174,Linux,Blocked,Low,0,No,CVE-2016-50295,9.2,OPS-SRV-0010,IT,Normal Activity,False
EVT00073,2026-01-01 06:05:00,7.31.52.167,10.0.6.81,leealexander,DNS Tunneling Detected,FTP,India,India,Device-37,macOS,Success,High,0,No,CVE-2019-39273,2.1,HR-FW-0071,Sales,Normal Activity,False
EVT00074,2026-01-01 06:10:00,219.166.41.58,10.0.4.29,walkermichelle,Login Success,TCP,India,India,Device-25,macOS,Success,Critical,0,No,CVE-2018-17242,8.2,SAL-MOB-0097,Operations,Normal Activity,False
EVT00075,2026-01-01 06:15:00,172.146.143.106,10.0.9.190,scortez,File Access,HTTP,India,India,Device-431,Linux,Success,High,0,Yes,CVE-2021-2819,0.0,MKT-DB-0121,Marketing,Normal Activity,False
EVT00076,2026-01-01 06:20:00,210.53.74.4,10.0.7.229,pdavis,SQL Injection Attempt,HTTPS,India,India,Device-251,Linux,Success,Low,0,No,NO_CVE,8.9,IT-SW-0107,Operations,Normal Activity,False
EVT00077,2026-01-01 06:25:00,77.253.94.155,10.0.1.191,ahamilton,USB Device Connected,DNS,India,India,Device-309,macOS,Success,Low,0,No,NO_CVE,3.2,SAL-PRT-0019,Finance,Normal Activity,False
EVT00078,2026-01-01 06:30:00,171.42.240.81,10.0.4.163,nancy35,Firewall Rule Change,RDP,India,India,Device-858,Linux,Failed,Critical,8,No,CVE-2023-82198,7.7,SAL-DB-0045,Engineering,Normal Activity,False
EVT00079,2026-01-01 06:35:00,129.186.200.144,10.0.5.158,fparrish,Failed Login,SSH,India,India,Device-644,macOS,Success,Critical,0,No,CVE-2024-4375,3.4,MKT-IOT-0073,IT,Normal Activity,False
EVT00080,2026-01-01 06:40:00,189.132.72.167,10.0.6.36,jscott,Account Lockout,SMB,India,India,Device-267,Windows Server 2019,Failed,High,0,No,CVE-2015-68497,8.2,MKT-SW-0120,IT,Normal Activity,False
EVT00081,2026-01-01 06:45:00,13.73.79.217,10.0.4.93,matthew20,Login Success,SMB,India,India,Device-244,Windows 10,Failed,High,0,No,NO_CVE,5.9,LEG-DB-0052,Legal,Normal Activity,False
EVT00082,2026-01-01 06:50:00,126.53.144.76,10.0.7.27,cruzgregory,Phishing Email,HTTPS,India,India,Device-918,macOS,Success,High,0,No,NO_CVE,4.0,FIN-PRT-0128,Marketing,Normal Activity,False
EVT00083,2026-01-01 06:55:00,180.246.155.138,10.0.7.175,alexander64,Session Hijacking Attempt,FTP,India,India,Device-759,Windows 11,Success,High,0,No,CVE-2025-21884,3.3,MKT-SW-0111,Finance,Normal Activity,False
EVT00084,2026-01-01 07:00:00,203.122.68.38,10.0.2.128,benjaminjennifer,Account Lockout,HTTP,India,India,Device-140,Windows Server 2019,Detected,Low,0,No,NO_CVE,4.1,LEG-PC-0064,IT,Normal Activity,False
EVT00085,2026-01-01 07:05:00,145.164.246.119,10.0.3.237,phood,DNS Tunneling Detected,DNS,India,India,Device-21,macOS,Success,Medium,0,No,NO_CVE,8.2,IT-FW-0016,Legal,Normal Activity,False
EVT00086,2026-01-01 07:10:00,16.15.255.8,10.0.9.46,chris97,Privilege Escalation,RDP,India,India,Device-172,Windows Server 2019,Detected,Medium,0,No,NO_CVE,9.3,SAL-RTR-0074,Legal,Normal Activity,False
EVT00087,2026-01-01 07:15:00,211.202.81.4,10.0.1.233,greengarrett,Ransomware Detected,HTTPS,India,India,Device-164,Windows 10,Failed,High,3,No,CVE-2021-54191,6.4,IT-RTR-0007,IT,Normal Activity,False
EVT00088,2026-01-01 07:20:00,124.137.44.171,10.0.8.20,russellcristian,Suspicious Process Execution,HTTPS,India,India,Device-508,Linux,Failed,High,2,No,NO_CVE,3.0,LEG-SW-0055,Marketing,Normal Activity,False
EVT00089,2026-01-01 07:25:00,219.95.254.253,10.0.0.85,woodtrevor,Firewall Rule Change,SSH,India,India,Device-168,Linux,Failed,Low,0,No,CVE-2026-70854,7.8,FIN-FW-0124,HR,Normal Activity,False
EVT00090,2026-01-01 07:30:00,207.238.52.68,10.0.3.94,christinebrown,Credential Dumping,FTP,India,India,Device-118,macOS,Detected,High,0,No,CVE-2016-54735,9.8,FIN-DB-0038,Legal,Normal Activity,False
EVT00091,2026-01-01 07:35:00,135.5.123.18,10.0.4.155,carmen16,Configuration Change,SMB,India,India,Device-693,macOS,Failed,Critical,5,No,CVE-2019-87524,7.2,FIN-RTR-0001,IT,Normal Activity,False
EVT00092,2026-01-01 07:40:00,109.212.130.163,10.0.0.113,michael89,Failed Login,SSH,India,India,Device-527,Windows Server 2019,Failed,Medium,8,No,CVE-2024-40618,1.3,IT-RTR-0037,Marketing,Normal Activity,False
EVT00093,2026-01-01 07:45:00,172.169.101.181,10.0.0.90,david11,SQL Injection Attempt,HTTPS,India,India,Device-956,Linux,Success,Critical,0,No,CVE-2016-35535,1.9,FIN-LAP-0122,Sales,Normal Activity,False
EVT00094,2026-01-01 07:50:00,144.16.168.179,10.0.8.12,rford,Login Success,TCP,India,India,Device-624,Windows 11,Success,High,0,No,NO_CVE,2.5,MKT-PRT-0085,Marketing,Normal Activity,False
EVT00095,2026-01-01 07:55:00,167.23.209.28,10.0.8.226,walkermichelle,Suspicious Process Execution,FTP,India,India,Device-733,Windows 11,Success,Low,0,No,CVE-2025-79656,6.3,ENG-LAP-0080,Finance,Normal Activity,False
EVT00096,2026-01-01 08:00:00,153.249.254.80,10.0.5.146,meghan20,VPN Connection,TCP,India,India,Device-715,Windows Server 2019,Success,Medium,0,No,CVE-2015-42297,5.0,SAL-FW-0091,HR,Normal Activity,False
EVT00097,2026-01-01 08:05:00,147.162.58.223,10.0.3.173,sbrown,Login Success,FTP,India,India,Device-805,Windows 11,Success,Medium,0,No,CVE-2021-55985,9.4,LEG-MOB-0010,Marketing,Normal Activity,False
EVT00098,2026-01-01 08:10:00,162.155.107.253,10.0.5.214,greenjamie,DNS Tunneling Detected,RDP,India,India,Device-131,Windows 11,Success,Critical,0,No,NO_CVE,1.4,FIN-SW-0132,Finance,Normal Activity,False
EVT00099,2026-01-01 08:15:00,199.83.48.100,10.0.5.241,wpatel,Phishing Email,SMB,India,India,Device-969,Windows 10,Success,Medium,0,No,NO_CVE,8.4,MKT-SW-0050,Finance,Normal Activity,False
EVT00100,2026-01-01 08:20:00,1.11.226.18,10.0.8.71,crystal13,Configuration Change,HTTPS,India,India,Device-821,Windows 10,Failed,Medium,3,No,NO_CVE,1.3,LEG-MOB-0038,Finance,Normal Activity,False
EVT00101,2026-01-01 08:25:00,132.145.121.154,10.0.9.253,carrieball,Ransomware Detected,SSH,India,India,Device-983,macOS,Failed,Low,8,No,CVE-2022-66132,9.4,LEG-RTR-0038,Operations,Normal Activity,False
EVT00102,2026-01-01 08:30:00,156.124.80.208,10.0.5.127,cjohnson,Credential Dumping,SMB,India,India,Device-793,Windows 11,Success,High,0,No,CVE-2017-66820,4.9,HR-RTR-0048,HR,Normal Activity,False
EVT00103,2026-01-01 08:35:00,5.47.67.153,10.0.1.121,cwest,Lateral Movement Detected,SMB,India,India,Device-792,Windows 10,Success,Low,0,No,NO_CVE,4.2,OPS-IOT-0041,Finance,Normal Activity,False
EVT00104,2026-01-01 08:40:00,173.111.176.97,10.0.6.111,annesmith,Lateral Movement Detected,FTP,India,India,Device-403,Windows 10,Failed,High,0,No,CVE-2019-43658,4.8,OPS-SW-0039,Finance,Normal Activity,False
EVT00105,2026-01-01 08:45:00,144.159.15.26,10.0.2.54,ybenton,VPN Connection,TCP,India,India,Device-801,Windows 11,Blocked,High,0,No,CVE-2018-69108,0.5,HR-PRT-0026,Operations,Normal Activity,False
EVT00106,2026-01-01 08:50:00,134.204.4.223,10.0.8.149,cindymoreno,Ransomware Detected,SMB,India,India,Device-88,Linux,Success,Medium,0,No,CVE-2016-48306,0.4,HR-LAP-0073,Finance,Normal Activity,False
EVT00107,2026-01-01 08:55:00,16.91.205.199,10.0.0.124,ojohnson,Suspicious Process Execution,TCP,India,India,Device-87,Windows 10,Detected,High,0,No,CVE-2022-55289,6.4,ENG-RTR-0035,Operations,Normal Activity,False
EVT00108,2026-01-01 09:00:00,223.229.23.19,10.0.8.59,gdouglas,Phishing Email,HTTPS,India,India,Device-365,Windows 10,Failed,Low,6,No,CVE-2018-34109,7.5,MKT-SRV-0016,Sales,Normal Activity,False
EVT00109,2026-01-01 09:05:00,97.14.38.50,10.0.0.141,justinburns,Web Shell Detected,SMB,India,India,Device-803,Windows Server 2019,Blocked,Low,0,Yes,CVE-2017-80235,8.5,IT-IOT-0003,Finance,Normal Activity,False
EVT00110,2026-01-01 09:10:00,169.24.7.99,10.0.2.91,jnorton,Unauthorized Access,RDP,India,India,Device-224,Windows Server 2019,Success,High,0,No,CVE-2016-12250,1.6,HR-RTR-0039,HR,Normal Activity,False
EVT00111,2026-01-01 09:15:00,216.14.109.226,10.0.1.81,kayla67,Web Shell Detected,RDP,India,India,Device-888,macOS,Success,Critical,0,No,CVE-2016-53956,6.1,MKT-DB-0062,Operations,Normal Activity,False
EVT00112,2026-01-01 09:20:00,2.132.31.207,10.0.0.84,jeremiah62,Brute Force,TCP,India,India,Device-874,Windows Server 2019,Detected,Low,0,No,NO_CVE,7.9,ENG-PC-0044,Engineering,Normal Activity,False
EVT00113,2026-01-01 09:25:00,201.107.59.117,10.0.6.4,ghernandez,DNS Tunneling Detected,HTTP,India,India,Device-619,Windows 11,Success,Medium,0,No,CVE-2019-41277,5.1,HR-PC-0110,Legal,Normal Activity,False
EVT00114,2026-01-01 09:30:00,186.179.219.31,10.0.8.197,ftodd,VPN Connection,SSH,India,India,Device-924,Windows 10,Blocked,High,0,No,CVE-2017-39090,5.0,OPS-MOB-0093,IT,Normal Activity,False
EVT00115,2026-01-01 09:35:00,133.200.191.33,10.0.8.128,sbrown,Firewall Rule Change,HTTP,India,India,Device-325,Linux,Success,Low,0,No,NO_CVE,8.0,MKT-SRV-0045,Marketing,Normal Activity,False
EVT00116,2026-01-01 09:40:00,211.166.101.85,10.0.9.92,lfuller,Unauthorized Access,SSH,India,India,Device-181,Windows 11,Failed,Medium,1,No,NO_CVE,2.2,OPS-PC-0082,Operations,Normal Activity,False
EVT00117,2026-01-01 09:45:00,157.52.54.123,10.0.9.35,travis96,Suspicious Process Execution,FTP,India,India,Device-87,Linux,Success,Low,0,No,CVE-2019-84904,6.3,OPS-SW-0091,Sales,Normal Activity,False
EVT00118,2026-01-01 09:50:00,206.90.183.42,10.0.2.235,teresaperez,DDoS Attempt,SSH,India,India,Device-916,Linux,Success,Critical,0,No,NO_CVE,7.2,FIN-IOT-0093,Marketing,Normal Activity,False
EVT00119,2026-01-01 09:55:00,210.208.227.163,10.0.5.192,bmarsh,Lateral Movement Detected,DNS,India,India,Device-243,Linux,Failed,Critical,2,Yes,CVE-2015-27866,9.4,MKT-MOB-0082,Operations,Normal Activity,False
