event_type,mitre_id,technique_name,tactic
Configuration Change,T1053.006,Systemd Timers,Persistence
Configuration Change,T1053.007,Container Orchestration Job,Persistence
Configuration Change,T1078,Valid Accounts,Persistence
Configuration Change,T1078.001,Default Accounts,Persistence
Configuration Change,T1078.002,Domain Accounts,Persistence
Configuration Change,T1078.003,Local Accounts,Persistence
Configuration Change,T1098,Account Manipulation,Persistence
Configuration Change,T1098.001,Additional Cloud Credentials,Persistence
Configuration Change,T1098.002,Additional Email Delegate Permissions,Persistence
Configuration Change,T1098.003,Additional Cloud Roles,Persistence
Configuration Change,T1098.004,SSH Authorized Keys,Persistence
Configuration Change,T1098.005,Device Registration,Persistence
Configuration Change,T1098.006,Additional Container Cluster Roles,Persistence
Configuration Change,T1098.007,Additional Local or Domain Groups,Persistence
Configuration Change,T1112,Modify Registry,Persistence
Configuration Change,T1133,External Remote Services,Persistence
Configuration Change,T1136,Create Account,Persistence
Configuration Change,T1136.001,Local Account,Persistence
Configuration Change,T1136.002,Domain Account,Persistence
Configuration Change,T1136.003,Cloud Account,Persistence
Configuration Change,T1137,Office Application Startup,Persistence
Configuration Change,T1137.001,Office Template Macros,Persistence
Configuration Change,T1137.002,Office Test,Persistence
Configuration Change,T1137.003,Outlook Forms,Persistence
Configuration Change,T1137.006,Add-ins,Persistence
Configuration Change,T1176,Software Extensions,Persistence
Configuration Change,T1197,BITS Jobs,Persistence
Configuration Change,T1205.001,Port Knocking,Persistence
Configuration Change,T1205.002,Socket Filters,Persistence
Configuration Change,T1505,Server Software Component,Persistence
Configuration Change,T1505.001,SQL Stored Procedures,Persistence
Configuration Change,T1505.003,Web Shell,Persistence
Configuration Change,T1505.004,IIS Components,Persistence
Configuration Change,T1505.005,Terminal Services DLL,Persistence
Configuration Change,T1505.006,vSphere Installation Bundles,Persistence
Configuration Change,T1542,Pre-OS Boot,Persistence
Configuration Change,T1542.001,System Firmware,Persistence
Configuration Change,T1542.005,TFTP Boot,Persistence
Configuration Change,T1543,Create or Modify System Process,Persistence
Configuration Change,T1543.001,Launch Agent,Persistence
Configuration Change,T1543.002,Systemd Service,Persistence
Configuration Change,T1543.003,Windows Service,Persistence
Configuration Change,T1543.004,Launch Daemon,Persistence
Configuration Change,T1543.005,Container Service,Persistence
Configuration Change,T1546.001,Change Default File Association,Persistence
Configuration Change,T1546.002,Screensaver,Persistence
Configuration Change,T1546.003,Windows Management Instrumentation Event Subscription,Persistence
Configuration Change,T1546.004,Unix Shell Configuration Modification,Persistence
Configuration Change,T1546.005,Trap,Persistence
Configuration Change,T1546.006,LC_LOAD_DYLIB Addition,Persistence
Configuration Change,T1546.009,AppCert DLLs,Persistence
Configuration Change,T1546.010,AppInit DLLs,Persistence
Configuration Change,T1546.011,Application Shimming,Persistence
Configuration Change,T1546.012,Image File Execution Options Injection,Persistence
Configuration Change,T1546.013,PowerShell Profile,Persistence
Configuration Change,T1546.015,Component Object Model Hijacking,Persistence
Configuration Change,T1546.016,Installer Packages,Persistence
Configuration Change,T1546.017,Udev Rules,Persistence
Configuration Change,T1546.018,Python Startup Hooks,Persistence
Configuration Change,T1547,Boot or Logon Autostart Execution,Persistence
Configuration Change,T1547.002,Authentication Package,Persistence
Configuration Change,T1547.003,Time Providers,Persistence
Configuration Change,T1547.004,Winlogon Helper DLL,Persistence
Configuration Change,T1547.006,Kernel Modules and Extensions,Persistence
Configuration Change,T1547.008,LSASS Driver,Persistence
Configuration Change,T1547.009,Shortcut Modification,Persistence
Configuration Change,T1547.010,Port Monitors,Persistence
Configuration Change,T1547.012,Print Processors,Persistence
Configuration Change,T1547.013,XDG Autostart Entries,Persistence
Configuration Change,T1547.014,Active Setup,Persistence
Configuration Change,T1547.015,Login Items,Persistence
Configuration Change,T1554,Compromise Host Software Binary,Persistence
Configuration Change,T1556,Modify Authentication Process,Persistence
Configuration Change,T1556.002,Password Filter DLL,Persistence
Configuration Change,T1556.003,Pluggable Authentication Modules,Persistence
Configuration Change,T1556.004,Network Device Authentication,Persistence
Configuration Change,T1556.005,Reversible Encryption,Persistence
Configuration Change,T1556.006,Multi-Factor Authentication,Persistence
Configuration Change,T1556.007,Hybrid Identity,Persistence
Configuration Change,T1556.008,Network Provider DLL,Persistence
Configuration Change,T1556.009,Conditional Access Policies,Persistence
Configuration Change,T1653,Power Settings,Persistence
Configuration Change,T1668,Exclusive Control,Persistence
Configuration Change,T1671,Cloud Application Integration,Persistence
DNS Tunneling Detected,T1001,Data Obfuscation,Command And Control
DNS Tunneling Detected,T1001.001,Junk Data,Command And Control
DNS Tunneling Detected,T1001.002,Steganography,Command And Control
DNS Tunneling Detected,T1001.003,Protocol or Service Impersonation,Command And Control
DNS Tunneling Detected,T1008,Fallback Channels,Command And Control
DNS Tunneling Detected,T1071,Application Layer Protocol,Command And Control
DNS Tunneling Detected,T1071.001,Web Protocols,Command And Control
DNS Tunneling Detected,T1071.002,File Transfer Protocols,Command And Control
DNS Tunneling Detected,T1071.003,Mail Protocols,Command And Control
DNS Tunneling Detected,T1071.004,DNS,Command And Control
DNS Tunneling Detected,T1071.005,Publish/Subscribe Protocols,Command And Control
DNS Tunneling Detected,T1090.001,Internal Proxy,Command And Control
DNS Tunneling Detected,T1090.002,External Proxy,Command And Control
DNS Tunneling Detected,T1090.003,Multi-hop Proxy,Command And Control
DNS Tunneling Detected,T1090.004,Domain Fronting,Command And Control
DNS Tunneling Detected,T1092,Communication Through Removable Media,Command And Control
DNS Tunneling Detected,T1102,Web Service,Command And Control
DNS Tunneling Detected,T1102.001,Dead Drop Resolver,Command And Control
DNS Tunneling Detected,T1102.002,Bidirectional Communication,Command And Control
DNS Tunneling Detected,T1104,Multi-Stage Channels,Command And Control
DNS Tunneling Detected,T1132,Data Encoding,Command And Control
DNS Tunneling Detected,T1132.001,Standard Encoding,Command And Control
DNS Tunneling Detected,T1132.002,Non-Standard Encoding,Command And Control
DNS Tunneling Detected,T1205,Traffic Signaling,Command And Control
DNS Tunneling Detected,T1205.001,Port Knocking,Command And Control
DNS Tunneling Detected,T1205.002,Socket Filters,Command And Control
DNS Tunneling Detected,T1219.001,IDE Tunneling,Command And Control
DNS Tunneling Detected,T1219.002,Remote Desktop Software,Command And Control
DNS Tunneling Detected,T1219.003,Remote Access Hardware,Command And Control
DNS Tunneling Detected,T1568,Dynamic Resolution,Command And Control
DNS Tunneling Detected,T1568.001,Fast Flux DNS,Command And Control
DNS Tunneling Detected,T1568.002,Domain Generation Algorithms,Command And Control
DNS Tunneling Detected,T1568.003,DNS Calculation,Command And Control
DNS Tunneling Detected,T1571,Non-Standard Port,Command And Control
DNS Tunneling Detected,T1573,Encrypted Channel,Command And Control
DNS Tunneling Detected,T1573.001,Symmetric Cryptography,Command And Control
DNS Tunneling Detected,T1573.002,Asymmetric Cryptography,Command And Control
DNS Tunneling Detected,T1659,Content Injection,Command And Control
DNS Tunneling Detected,T1665,Hide Infrastructure,Command And Control
Data Exfiltration Attempt,T1011,Exfiltration Over Other Network Medium,Exfiltration
Data Exfiltration Attempt,T1011.001,Exfiltration Over Bluetooth,Exfiltration
Data Exfiltration Attempt,T1020,Automated Exfiltration,Exfiltration
Data Exfiltration Attempt,T1020.001,Traffic Duplication,Exfiltration
Data Exfiltration Attempt,T1029,Scheduled Transfer,Exfiltration
Data Exfiltration Attempt,T1030,Data Transfer Size Limits,Exfiltration
Data Exfiltration Attempt,T1041,Exfiltration Over C2 Channel,Exfiltration
Data Exfiltration Attempt,T1048,Exfiltration Over Alternative Protocol,Exfiltration
Data Exfiltration Attempt,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration
Data Exfiltration Attempt,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration
Data Exfiltration Attempt,T1052,Exfiltration Over Physical Medium,Exfiltration
Data Exfiltration Attempt,T1052.001,Exfiltration over USB,Exfiltration
Data Exfiltration Attempt,T1537,Transfer Data to Cloud Account,Exfiltration
Data Exfiltration Attempt,T1567,Exfiltration Over Web Service,Exfiltration
Data Exfiltration Attempt,T1567.002,Exfiltration to Cloud Storage,Exfiltration
Data Exfiltration Attempt,T1567.004,Exfiltration Over Webhook,Exfiltration
File Access,T1005,Data from Local System,Collection
File Access,T1039,Data from Network Shared Drive,Collection
File Access,T1056,Input Capture,Collection
File Access,T1056.001,Keylogging,Collection
File Access,T1056.002,GUI Input Capture,Collection
File Access,T1056.003,Web Portal Capture,Collection
File Access,T1056.004,Credential API Hooking,Collection
File Access,T1074,Data Staged,Collection
File Access,T1074.001,Local Data Staging,Collection
File Access,T1074.002,Remote Data Staging,Collection
File Access,T1113,Screen Capture,Collection
File Access,T1114,Email Collection,Collection
File Access,T1114.003,Email Forwarding Rule,Collection
File Access,T1115,Clipboard Data,Collection
File Access,T1119,Automated Collection,Collection
File Access,T1123,Audio Capture,Collection
File Access,T1125,Video Capture,Collection
File Access,T1213.001,Confluence,Collection
File Access,T1213.002,Sharepoint,Collection
File Access,T1213.003,Code Repositories,Collection
File Access,T1213.004,Customer Relationship Management Software,Collection
File Access,T1213.005,Messaging Applications,Collection
File Access,T1213.006,Databases,Collection
File Access,T1530,Data from Cloud Storage,Collection
File Access,T1557,Adversary-in-the-Middle,Collection
File Access,T1557.001,Name Resolution Poisoning and SMB Relay,Collection
File Access,T1557.002,ARP Cache Poisoning,Collection
File Access,T1557.003,DHCP Spoofing,Collection
File Access,T1557.004,Evil Twin,Collection
File Access,T1560.001,Archive via Utility,Collection
File Access,T1560.002,Archive via Library,Collection
File Access,T1560.003,Archive via Custom Method,Collection
File Access,T1602,Data from Configuration Repository,Collection
File Access,T1602.001,SNMP (MIB Dump),Collection
Firewall Rule Change,T1112,Modify Registry,Defense Impairment
Firewall Rule Change,T1207,Rogue Domain Controller,Defense Impairment
Firewall Rule Change,T1222,File and Directory Permissions Modification,Defense Impairment
Firewall Rule Change,T1222.002,Linux and Mac Permissions,Defense Impairment
Firewall Rule Change,T1484,Domain or Tenant Policy Modification,Defense Impairment
Firewall Rule Change,T1484.001,Group Policy Modification,Defense Impairment
Firewall Rule Change,T1553.001,Gatekeeper Bypass,Defense Impairment
Firewall Rule Change,T1553.002,Code Signing,Defense Impairment
Firewall Rule Change,T1553.003,SIP and Trust Provider Hijacking,Defense Impairment
Firewall Rule Change,T1553.004,Install Root Certificate,Defense Impairment
Firewall Rule Change,T1553.006,Code Signing Policy Modification,Defense Impairment
Firewall Rule Change,T1556,Modify Authentication Process,Defense Impairment
Firewall Rule Change,T1556.001,Domain Controller Authentication,Defense Impairment
Firewall Rule Change,T1556.002,Password Filter DLL,Defense Impairment
Firewall Rule Change,T1556.003,Pluggable Authentication Modules,Defense Impairment
Firewall Rule Change,T1556.004,Network Device Authentication,Defense Impairment
Firewall Rule Change,T1556.005,Reversible Encryption,Defense Impairment
Firewall Rule Change,T1556.006,Multi-Factor Authentication,Defense Impairment
Firewall Rule Change,T1556.007,Hybrid Identity,Defense Impairment
Firewall Rule Change,T1556.008,Network Provider DLL,Defense Impairment
Firewall Rule Change,T1556.009,Conditional Access Policies,Defense Impairment
Firewall Rule Change,T1578,Modify Cloud Compute Infrastructure,Defense Impairment
Firewall Rule Change,T1578.001,Create Snapshot,Defense Impairment
Firewall Rule Change,T1578.002,Create Cloud Instance,Defense Impairment
Firewall Rule Change,T1578.003,Delete Cloud Instance,Defense Impairment
Firewall Rule Change,T1578.004,Revert Cloud Instance,Defense Impairment
Firewall Rule Change,T1578.005,Modify Cloud Compute Configurations,Defense Impairment
Firewall Rule Change,T1599,Network Boundary Bridging,Defense Impairment
Firewall Rule Change,T1599.001,Network Address Translation Traversal,Defense Impairment
Firewall Rule Change,T1600,Weaken Encryption,Defense Impairment
Firewall Rule Change,T1600.002,Disable Crypto Hardware,Defense Impairment
Firewall Rule Change,T1601.001,Patch System Image,Defense Impairment
Firewall Rule Change,T1647,Plist File Modification,Defense Impairment
Firewall Rule Change,T1666,Modify Cloud Resource Hierarchy,Defense Impairment
Firewall Rule Change,T1685,Disable or Modify Tools,Defense Impairment
Firewall Rule Change,T1685.001,Disable or Modify Windows Event Log,Defense Impairment
Firewall Rule Change,T1685.002,Disable or Modify Cloud Log,Defense Impairment
Firewall Rule Change,T1685.003,Modify or Spoof Tool UI,Defense Impairment
Firewall Rule Change,T1685.004,Disable or Modify Linux Audit System Log,Defense Impairment
Firewall Rule Change,T1685.005,Clear Windows Event Logs,Defense Impairment
Firewall Rule Change,T1685.006,Clear Linux or Mac System Logs,Defense Impairment
Firewall Rule Change,T1686.001,Cloud Firewall,Defense Impairment
Firewall Rule Change,T1686.002,Network Device Firewall,Defense Impairment
Firewall Rule Change,T1686.003,Windows Host Firewall,Defense Impairment
Firewall Rule Change,T1688,Safe Mode Boot,Defense Impairment
Firewall Rule Change,T1689,Downgrade Attack,Defense Impairment
Firewall Rule Change,T1690,Prevent Command History Logging,Defense Impairment
Lateral Movement Detected,T1021,Remote Services,Lateral Movement
Lateral Movement Detected,T1021.001,Remote Desktop Protocol,Lateral Movement
Lateral Movement Detected,T1021.002,SMB/Windows Admin Shares,Lateral Movement
Lateral Movement Detected,T1021.003,Distributed Component Object Model,Lateral Movement
Lateral Movement Detected,T1021.004,SSH,Lateral Movement
Lateral Movement Detected,T1021.006,Windows Remote Management,Lateral Movement
Lateral Movement Detected,T1021.007,Cloud Services,Lateral Movement
Lateral Movement Detected,T1021.008,Direct Cloud VM Connections,Lateral Movement
Lateral Movement Detected,T1072,Software Deployment Tools,Lateral Movement
Lateral Movement Detected,T1080,Taint Shared Content,Lateral Movement
Lateral Movement Detected,T1091,Replication Through Removable Media,Lateral Movement
Lateral Movement Detected,T1210,Exploitation of Remote Services,Lateral Movement
Lateral Movement Detected,T1534,Internal Spearphishing,Lateral Movement
Lateral Movement Detected,T1550,Use Alternate Authentication Material,Lateral Movement
Lateral Movement Detected,T1550.001,Application Access Token,Lateral Movement
Lateral Movement Detected,T1550.002,Pass the Hash,Lateral Movement
Lateral Movement Detected,T1550.004,Web Session Cookie,Lateral Movement
Lateral Movement Detected,T1563,Remote Service Session Hijacking,Lateral Movement
Lateral Movement Detected,T1563.001,SSH Hijacking,Lateral Movement
Lateral Movement Detected,T1563.002,RDP Hijacking,Lateral Movement
Malware Detection,T1047,Windows Management Instrumentation,Execution
Malware Detection,T1053,Scheduled Task/Job,Execution
Malware Detection,T1053.002,At,Execution
Malware Detection,T1053.003,Cron,Execution
Malware Detection,T1053.005,Scheduled Task,Execution
Malware Detection,T1053.006,Systemd Timers,Execution
Malware Detection,T1053.007,Container Orchestration Job,Execution
Malware Detection,T1059,Command and Scripting Interpreter,Execution
Malware Detection,T1059.001,PowerShell,Execution
Malware Detection,T1059.002,AppleScript,Execution
Malware Detection,T1059.003,Windows Command Shell,Execution
Malware Detection,T1059.006,Python,Execution
Malware Detection,T1059.007,JavaScript,Execution
Malware Detection,T1059.009,Cloud API,Execution
Malware Detection,T1059.010,AutoHotKey & AutoIT,Execution
Malware Detection,T1059.012,Hypervisor CLI,Execution
Malware Detection,T1059.013,Container CLI/API,Execution
Malware Detection,T1072,Software Deployment Tools,Execution
Malware Detection,T1106,Native API,Execution
Malware Detection,T1127,Trusted Developer Utilities Proxy Execution,Execution
Malware Detection,T1127.001,MSBuild,Execution
Malware Detection,T1127.002,ClickOnce,Execution
Malware Detection,T1127.003,JamPlus,Execution
Malware Detection,T1129,Shared Modules,Execution
Malware Detection,T1197,BITS Jobs,Execution
Malware Detection,T1203,Exploitation for Client Execution,Execution
Malware Detection,T1204,User Execution,Execution
Malware Detection,T1204.001,Malicious Link,Execution
Malware Detection,T1204.002,Malicious File,Execution
Malware Detection,T1204.003,Malicious Image,Execution
Malware Detection,T1204.004,Malicious Copy and Paste,Execution
Malware Detection,T1204.005,Malicious Library,Execution
Malware Detection,T1559,Inter-Process Communication,Execution
Malware Detection,T1559.002,Dynamic Data Exchange,Execution
Malware Detection,T1559.003,XPC Services,Execution
Malware Detection,T1569,System Services,Execution
Malware Detection,T1569.001,Launchctl,Execution
Malware Detection,T1569.002,Service Execution,Execution
Malware Detection,T1569.003,Systemctl,Execution
Malware Detection,T1574,Hijack Execution Flow,Execution
Malware Detection,T1574.001,DLL,Execution
Malware Detection,T1574.004,Dylib Hijacking,Execution
Malware Detection,T1574.005,Executable Installer File Permissions Weakness,Execution
Malware Detection,T1574.006,Dynamic Linker Hijacking,Execution
Malware Detection,T1574.007,Path Interception by PATH Environment Variable,Execution
Malware Detection,T1574.009,Path Interception by Unquoted Path,Execution
Malware Detection,T1574.010,Services File Permissions Weakness,Execution
Malware Detection,T1574.011,Services Registry Permissions Weakness,Execution
Malware Detection,T1574.012,COR_PROFILER,Execution
Malware Detection,T1574.014,AppDomainManager,Execution
Malware Detection,T1610,Deploy Container,Execution
Malware Detection,T1648,Serverless Execution,Execution
Malware Detection,T1651,Cloud Administration Command,Execution
Malware Detection,T1674,Input Injection,Execution
Malware Detection,T1675,ESXi Administration Command,Execution
Malware Detection,T1677,Poisoned Pipeline Execution,Execution
Phishing Email,T1078,Valid Accounts,Initial Access
Phishing Email,T1078.001,Default Accounts,Initial Access
Phishing Email,T1078.002,Domain Accounts,Initial Access
Phishing Email,T1078.003,Local Accounts,Initial Access
Phishing Email,T1078.004,Cloud Accounts,Initial Access
Phishing Email,T1133,External Remote Services,Initial Access
Phishing Email,T1189,Drive-by Compromise,Initial Access
Phishing Email,T1190,Exploit Public-Facing Application,Initial Access
Phishing Email,T1195,Supply Chain Compromise,Initial Access
Phishing Email,T1195.001,Compromise Software Dependencies and Development Tools,Initial Access
Phishing Email,T1195.003,Compromise Hardware Supply Chain,Initial Access
Phishing Email,T1200,Hardware Additions,Initial Access
Phishing Email,T1566.001,Spearphishing Attachment,Initial Access
Phishing Email,T1566.003,Spearphishing via Service,Initial Access
Phishing Email,T1566.004,Spearphishing Voice,Initial Access
Phishing Email,T1659,Content Injection,Initial Access
Phishing Email,T1669,Wi-Fi Networks,Initial Access
Port Scan,T1007,System Service Discovery,Discovery
Port Scan,T1010,Application Window Discovery,Discovery
Port Scan,T1012,Query Registry,Discovery
Port Scan,T1016,System Network Configuration Discovery,Discovery
Port Scan,T1016.001,Internet Connection Discovery,Discovery
Port Scan,T1018,Remote System Discovery,Discovery
Port Scan,T1040,Network Sniffing,Discovery
Port Scan,T1046,Network Service Discovery,Discovery
Port Scan,T1049,System Network Connections Discovery,Discovery
Port Scan,T1057,Process Discovery,Discovery
Port Scan,T1069,Permission Groups Discovery,Discovery
Port Scan,T1069.001,Local Groups,Discovery
Port Scan,T1069.002,Domain Groups,Discovery
Port Scan,T1069.003,Cloud Groups,Discovery
Port Scan,T1082,System Information Discovery,Discovery
Port Scan,T1083,File and Directory Discovery,Discovery
Port Scan,T1087,Account Discovery,Discovery
Port Scan,T1087.001,Local Account,Discovery
Port Scan,T1087.002,Domain Account,Discovery
Port Scan,T1087.003,Email Account,Discovery
Port Scan,T1087.004,Cloud Account,Discovery
Port Scan,T1120,Peripheral Device Discovery,Discovery
Port Scan,T1124,System Time Discovery,Discovery
Port Scan,T1135,Network Share Discovery,Discovery
Port Scan,T1201,Password Policy Discovery,Discovery
Port Scan,T1217,Browser Information Discovery,Discovery
Port Scan,T1482,Domain Trust Discovery,Discovery
Port Scan,T1497,Virtualization/Sandbox Evasion,Discovery
Port Scan,T1497.001,System Checks,Discovery
Port Scan,T1497.002,User Activity Based Checks,Discovery
Port Scan,T1518,Software Discovery,Discovery
Port Scan,T1518.002,Backup Software Discovery,Discovery
Port Scan,T1526,Cloud Service Discovery,Discovery
Port Scan,T1538,Cloud Service Dashboard,Discovery
Port Scan,T1580,Cloud Infrastructure Discovery,Discovery
Port Scan,T1589,Gather Victim Identity Information,Reconnaissance
Port Scan,T1589.001,Credentials,Reconnaissance
Port Scan,T1589.002,Email Addresses,Reconnaissance
Port Scan,T1589.003,Employee Names,Reconnaissance
Port Scan,T1590,Gather Victim Network Information,Reconnaissance
Port Scan,T1590.001,Domain Properties,Reconnaissance
Port Scan,T1590.002,DNS,Reconnaissance
Port Scan,T1590.003,Network Trust Dependencies,Reconnaissance
Port Scan,T1590.004,Network Topology,Reconnaissance
Port Scan,T1590.005,IP Addresses,Reconnaissance
Port Scan,T1590.006,Network Security Appliances,Reconnaissance
Port Scan,T1591,Gather Victim Org Information,Reconnaissance
Port Scan,T1591.001,Determine Physical Locations,Reconnaissance
Port Scan,T1591.002,Business Relationships,Reconnaissance
Port Scan,T1591.003,Identify Business Tempo,Reconnaissance
Port Scan,T1591.004,Identify Roles,Reconnaissance
Port Scan,T1592,Gather Victim Host Information,Reconnaissance
Port Scan,T1592.001,Hardware,Reconnaissance
Port Scan,T1592.004,Client Configurations,Reconnaissance
Port Scan,T1593,Search Open Websites/Domains,Reconnaissance
Port Scan,T1593.001,Social Media,Reconnaissance
Port Scan,T1593.002,Search Engines,Reconnaissance
Port Scan,T1593.003,Code Repositories,Reconnaissance
Port Scan,T1594,Search Victim-Owned Websites,Reconnaissance
Port Scan,T1595,Active Scanning,Reconnaissance
Port Scan,T1595.001,Scanning IP Blocks,Reconnaissance
Port Scan,T1595.002,Vulnerability Scanning,Reconnaissance
Port Scan,T1595.003,Wordlist Scanning,Reconnaissance
Port Scan,T1596,Search Open Technical Databases,Reconnaissance
Port Scan,T1596.001,DNS/Passive DNS,Reconnaissance
Port Scan,T1596.002,WHOIS,Reconnaissance
Port Scan,T1596.004,CDNs,Reconnaissance
Port Scan,T1597,Search Closed Sources,Reconnaissance
Port Scan,T1597.001,Threat Intel Vendors,Reconnaissance
Port Scan,T1597.002,Purchase Technical Data,Reconnaissance
Port Scan,T1598,Phishing for Information,Reconnaissance
Port Scan,T1598.001,Spearphishing Service,Reconnaissance
Port Scan,T1598.002,Spearphishing Attachment,Reconnaissance
Port Scan,T1598.003,Spearphishing Link,Reconnaissance
Port Scan,T1598.004,Spearphishing Voice,Reconnaissance
Port Scan,T1613,Container and Resource Discovery,Discovery
Port Scan,T1614,System Location Discovery,Discovery
Port Scan,T1614.001,System Language Discovery,Discovery
Port Scan,T1622,Debugger Evasion,Discovery
Port Scan,T1652,Device Driver Discovery,Discovery
Port Scan,T1654,Log Enumeration,Discovery
Port Scan,T1673,Virtual Machine Discovery,Discovery
Port Scan,T1680,Local Storage Discovery,Discovery
Port Scan,T1681,Search Threat Vendor Data,Reconnaissance
Port Scan,T1682,Query Public AI Services,Reconnaissance
Privilege Escalation,T1037,Boot or Logon Initialization Scripts,Privilege Escalation
Privilege Escalation,T1037.001,Logon Script (Windows),Privilege Escalation
Privilege Escalation,T1037.002,Login Hook,Privilege Escalation
Privilege Escalation,T1037.003,Network Logon Script,Privilege Escalation
Privilege Escalation,T1037.004,RC Scripts,Privilege Escalation
Privilege Escalation,T1037.005,Startup Items,Privilege Escalation
Privilege Escalation,T1053,Scheduled Task/Job,Privilege Escalation
Privilege Escalation,T1053.002,At,Privilege Escalation
Privilege Escalation,T1053.003,Cron,Privilege Escalation
Privilege Escalation,T1053.005,Scheduled Task,Privilege Escalation
Privilege Escalation,T1053.006,Systemd Timers,Privilege Escalation
Privilege Escalation,T1053.007,Container Orchestration Job,Privilege Escalation
Privilege Escalation,T1055,Process Injection,Privilege Escalation
Privilege Escalation,T1055.001,Dynamic-link Library Injection,Privilege Escalation
Privilege Escalation,T1055.002,Portable Executable Injection,Privilege Escalation
Privilege Escalation,T1055.003,Thread Execution Hijacking,Privilege Escalation
Privilege Escalation,T1055.004,Asynchronous Procedure Call,Privilege Escalation
Privilege Escalation,T1055.005,Thread Local Storage,Privilege Escalation
Privilege Escalation,T1055.008,Ptrace System Calls,Privilege Escalation
Privilege Escalation,T1055.009,Proc Memory,Privilege Escalation
Privilege Escalation,T1055.011,Extra Window Memory Injection,Privilege Escalation
Privilege Escalation,T1055.012,Process Hollowing,Privilege Escalation
Privilege Escalation,T1055.013,Process Doppelgänging,Privilege Escalation
Privilege Escalation,T1055.015,ListPlanting,Privilege Escalation
Privilege Escalation,T1068,Exploitation for Privilege Escalation,Privilege Escalation
Privilege Escalation,T1078,Valid Accounts,Privilege Escalation
Privilege Escalation,T1078.001,Default Accounts,Privilege Escalation
Privilege Escalation,T1098,Account Manipulation,Privilege Escalation
