rank,event_id,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,ml_prediction,ioc_status,asset_name,asset_criticality_label,asset_criticality_verified,status
18,EVT04441,0.7823,78.23,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.952780+00:00,Critical,78.33,Suspicious,9.0,No IOC Match,,FIN-MOB-0137,Unknown,False,,8,Suspicious,No IOC Match,FIN-MOB-0137,Unknown,False,Open
19,EVT05159,0.782,78.2,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.983604+00:00,Critical,71.05,Suspicious,9.9,No IOC Match,,LEG-PC-0047,Unknown,False,,0,Suspicious,No IOC Match,LEG-PC-0047,Unknown,False,Open
20,EVT03627,0.7809,78.09,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.921679+00:00,Critical,70.68,Normal,9.9,No IOC Match,,MKT-RTR-0066,Unknown,False,,6,Normal,No IOC Match,MKT-RTR-0066,Unknown,False,Open
21,EVT03635,0.7777,77.77,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.921953+00:00,High,95.45,Suspicious,9.8,No IOC Match,,LEG-FW-0055,Unknown,False,,7,Suspicious,No IOC Match,LEG-FW-0055,Unknown,False,Open
22,EVT09188,0.7777,77.77,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.149183+00:00,Critical,75.26,Suspicious,9.2,No IOC Match,,SAL-LAP-0004,Unknown,False,,6,Suspicious,No IOC Match,SAL-LAP-0004,Unknown,False,Open
23,EVT08813,0.7773,77.73,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.133585+00:00,Critical,72.74,Suspicious,9.5,No IOC Match,,LEG-MOB-0094,Unknown,False,,0,Suspicious,No IOC Match,LEG-MOB-0094,Unknown,False,Open
24,EVT03143,0.7756,77.56,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.902194+00:00,Critical,76.2,Suspicious,9.0,No IOC Match,,HR-MOB-0103,Unknown,False,,7,Suspicious,No IOC Match,HR-MOB-0103,Unknown,False,Open
25,EVT03392,0.7755,77.55,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.912783+00:00,Critical,72.15,Suspicious,9.5,No IOC Match,,LEG-LAP-0021,Unknown,False,,0,Suspicious,No IOC Match,LEG-LAP-0021,Unknown,False,Open
26,EVT08468,0.7747,77.47,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.120450+00:00,Critical,71.11,Normal,9.6,No IOC Match,,LEG-SRV-0094,Unknown,False,,5,Normal,No IOC Match,LEG-SRV-0094,Unknown,False,Open
27,EVT07593,0.7745,77.45,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.085034+00:00,High,94.44,Suspicious,9.8,No IOC Match,,LEG-MOB-0112,Unknown,False,,7,Suspicious,No IOC Match,LEG-MOB-0112,Unknown,False,Open
28,EVT00140,0.7741,77.41,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.779579+00:00,Critical,78.11,Suspicious,8.7,No IOC Match,,LEG-LAP-0003,Unknown,False,,8,Suspicious,No IOC Match,LEG-LAP-0003,Unknown,False,Open
29,EVT02042,0.774,77.4,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.853593+00:00,Critical,68.49,Normal,9.9,No IOC Match,,LEG-FW-0017,Unknown,False,,4,Normal,No IOC Match,LEG-FW-0017,Unknown,False,Open
30,EVT08320,0.7724,77.24,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.114793+00:00,High,92.98,Suspicious,9.9,No IOC Match,,SAL-SRV-0021,Unknown,False,,8,Suspicious,No IOC Match,SAL-SRV-0021,Unknown,False,Open
31,EVT06239,0.7721,77.21,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.031098+00:00,Critical,71.08,Suspicious,9.5,No IOC Match,,HR-LAP-0123,Unknown,False,,0,Suspicious,No IOC Match,HR-LAP-0123,Unknown,False,Open
32,EVT07805,0.7718,77.18,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.093137+00:00,Critical,71.77,Normal,9.4,No IOC Match,,SAL-DB-0017,Unknown,False,,6,Normal,No IOC Match,SAL-DB-0017,Unknown,False,Open
33,EVT09726,0.7717,77.17,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.169762+00:00,Critical,72.53,Suspicious,9.3,No IOC Match,,IT-DB-0090,Unknown,False,,0,Suspicious,No IOC Match,IT-DB-0090,Unknown,False,Open
34,EVT01758,0.7712,77.12,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.840578+00:00,Critical,72.37,Normal,9.3,No IOC Match,,OPS-DB-0021,Unknown,False,,7,Normal,No IOC Match,OPS-DB-0021,Unknown,False,Open
35,EVT09986,0.7702,77.02,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.180304+00:00,Critical,70.47,Normal,9.5,No IOC Match,,HR-SRV-0054,Unknown,False,,7,Normal,No IOC Match,HR-SRV-0054,Unknown,False,Open
36,EVT05775,0.7698,76.98,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.013820+00:00,Critical,73.54,Normal,9.1,No IOC Match,,MKT-FW-0108,Unknown,False,,7,Normal,No IOC Match,MKT-FW-0108,Unknown,False,Open
37,EVT02829,0.7697,76.97,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.888761+00:00,Critical,71.11,Normal,9.4,No IOC Match,,LEG-FW-0040,Unknown,False,,6,Normal,No IOC Match,LEG-FW-0040,Unknown,False,Open
38,EVT04931,0.7687,76.87,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.973725+00:00,Critical,66.0,Normal,10.0,No IOC Match,,LEG-IOT-0034,Unknown,False,,5,Normal,No IOC Match,LEG-IOT-0034,Unknown,False,Open
39,EVT08518,0.7683,76.83,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.122264+00:00,Critical,73.86,Normal,9.0,No IOC Match,,OPS-LAP-0016,Unknown,False,,7,Normal,No IOC Match,OPS-LAP-0016,Unknown,False,Open
40,EVT09078,0.7665,76.65,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.144798+00:00,Critical,72.47,Suspicious,9.1,No IOC Match,,FIN-DB-0041,Unknown,False,,2,Suspicious,No IOC Match,FIN-DB-0041,Unknown,False,Open
41,EVT06016,0.766,76.6,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.022730+00:00,Critical,69.12,Normal,9.5,No IOC Match,,FIN-PRT-0003,Unknown,False,,7,Normal,No IOC Match,FIN-PRT-0003,Unknown,False,Open
42,EVT08144,0.7647,76.47,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.107988+00:00,High,95.3,Suspicious,9.3,No IOC Match,,SAL-DB-0067,Unknown,False,,7,Suspicious,No IOC Match,SAL-DB-0067,Unknown,False,Open
43,EVT04881,0.7645,76.45,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.970942+00:00,Critical,71.05,Normal,9.2,No IOC Match,,FIN-PC-0072,Unknown,False,,6,Normal,No IOC Match,FIN-PC-0072,Unknown,False,Open
44,EVT02196,0.7642,76.42,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.860385+00:00,Critical,64.54,Normal,10.0,No IOC Match,,ENG-PRT-0100,Unknown,False,,0,Normal,No IOC Match,ENG-PRT-0100,Unknown,False,Open
45,EVT08839,0.7632,76.32,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.134660+00:00,Critical,65.03,Normal,9.9,No IOC Match,,FIN-SW-0036,Unknown,False,,0,Normal,No IOC Match,FIN-SW-0036,Unknown,False,Open
46,EVT08965,0.7626,76.26,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.140236+00:00,Critical,75.23,Normal,8.6,No IOC Match,,HR-IOT-0077,Unknown,False,,8,Normal,No IOC Match,HR-IOT-0077,Unknown,False,Open
47,EVT09533,0.7626,76.26,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.162345+00:00,Critical,64.84,Normal,9.9,No IOC Match,,FIN-RTR-0078,Unknown,False,,0,Normal,No IOC Match,FIN-RTR-0078,Unknown,False,Open
48,EVT06528,0.7619,76.19,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.042738+00:00,Critical,81.41,Suspicious,7.8,No IOC Match,,FIN-PC-0048,Unknown,False,,6,Suspicious,No IOC Match,FIN-PC-0048,Unknown,False,Open
49,EVT01148,0.7602,76.02,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.817801+00:00,Critical,67.25,Normal,9.5,No IOC Match,,IT-PRT-0073,Unknown,False,,4,Normal,No IOC Match,IT-PRT-0073,Unknown,False,Open
50,EVT00971,0.7601,76.01,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.811605+00:00,Critical,68.03,Normal,9.4,No IOC Match,,FIN-SW-0040,Unknown,False,,5,Normal,No IOC Match,FIN-SW-0040,Unknown,False,Open
51,EVT08668,0.7594,75.94,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.128024+00:00,Critical,68.6,Normal,9.3,No IOC Match,,IT-SRV-0085,Unknown,False,,5,Normal,No IOC Match,IT-SRV-0085,Unknown,False,Open
52,EVT01100,0.7576,75.76,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.816123+00:00,Critical,70.44,Normal,9.0,No IOC Match,,FIN-PRT-0123,Unknown,False,,5,Normal,No IOC Match,FIN-PRT-0123,Unknown,False,Open
53,EVT02716,0.7567,75.67,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.883696+00:00,Critical,82.95,Suspicious,7.4,No IOC Match,,LEG-PRT-0029,Unknown,False,,7,Suspicious,No IOC Match,LEG-PRT-0029,Unknown,False,Open
54,EVT01455,0.7566,75.66,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.829370+00:00,Critical,70.1,Normal,9.0,No IOC Match,,IT-LAP-0022,Unknown,False,,7,Normal,No IOC Match,IT-LAP-0022,Unknown,False,Open
55,EVT05928,0.7565,75.65,High,Investigate Soon,True,[],1.0,1.0,"['Critical asset', 'High CVSS vulnerability']",2026-09-02T05:58:32.019427+00:00,Critical,51.39,Normal,8.9,No IOC Match,,LEG-SRV-0037,Critical,True,1.0,3,Normal,No IOC Match,LEG-SRV-0037,Critical,True,Open
56,EVT04913,0.7563,75.63,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.972114+00:00,Critical,68.42,Suspicious,9.2,No IOC Match,,HR-FW-0146,Unknown,False,,0,Suspicious,No IOC Match,HR-FW-0146,Unknown,False,Open
57,EVT02279,0.7561,75.61,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.863510+00:00,Critical,73.15,Suspicious,8.6,No IOC Match,,HR-RTR-0057,Unknown,False,,0,Suspicious,No IOC Match,HR-RTR-0057,Unknown,False,Open
58,EVT03394,0.7556,75.56,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.912853+00:00,Critical,72.99,Normal,8.6,No IOC Match,,FIN-MOB-0109,Unknown,False,,8,Normal,No IOC Match,FIN-MOB-0109,Unknown,False,Open
59,EVT07584,0.7535,75.35,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.084721+00:00,Critical,68.32,Suspicious,9.1,No IOC Match,,ENG-SRV-0024,Unknown,False,,1,Suspicious,No IOC Match,ENG-SRV-0024,Unknown,False,Open
60,EVT03515,0.7534,75.34,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.917436+00:00,Critical,65.89,Normal,9.4,No IOC Match,,ENG-PRT-0016,Unknown,False,,0,Normal,No IOC Match,ENG-PRT-0016,Unknown,False,Open
61,EVT08310,0.7534,75.34,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.114436+00:00,Critical,73.88,Normal,8.4,No IOC Match,,OPS-SRV-0003,Unknown,False,,8,Normal,No IOC Match,OPS-SRV-0003,Unknown,False,Open
62,EVT08564,0.7521,75.21,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.123916+00:00,Critical,62.26,Normal,9.8,No IOC Match,,HR-DB-0097,Unknown,False,,2,Normal,No IOC Match,HR-DB-0097,Unknown,False,Open
63,EVT09982,0.7518,75.18,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:32.180160+00:00,Critical,79.78,Suspicious,7.6,No IOC Match,,MKT-DB-0052,Unknown,False,,4,Suspicious,No IOC Match,MKT-DB-0052,Unknown,False,Open
64,EVT05474,0.7517,75.17,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.001697+00:00,Critical,68.53,Normal,9.0,No IOC Match,,FIN-SRV-0029,Unknown,False,,6,Normal,No IOC Match,FIN-SRV-0029,Unknown,False,Open
65,EVT03345,0.7514,75.14,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.910666+00:00,Critical,61.25,Normal,9.9,No IOC Match,,FIN-RTR-0026,Unknown,False,,4,Normal,No IOC Match,FIN-RTR-0026,Unknown,False,Open
66,EVT00977,0.7513,75.13,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.811815+00:00,Critical,70.01,Normal,8.8,No IOC Match,,FIN-DB-0075,Unknown,False,,7,Normal,No IOC Match,FIN-DB-0075,Unknown,False,Open
67,EVT07416,0.7506,75.06,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.078509+00:00,Critical,64.18,Normal,9.5,No IOC Match,,ENG-SRV-0105,Unknown,False,,3,Normal,No IOC Match,ENG-SRV-0105,Unknown,False,Open
68,EVT09649,0.7503,75.03,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.166648+00:00,Critical,65.7,Normal,9.3,No IOC Match,,MKT-MOB-0017,Unknown,False,,0,Normal,No IOC Match,MKT-MOB-0017,Unknown,False,Open
69,EVT08125,0.7484,74.84,High,Investigate Soon,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:32.107268+00:00,Critical,76.29,Suspicious,7.9,No IOC Match,,SAL-PRT-0062,Unknown,False,,5,Suspicious,No IOC Match,SAL-PRT-0062,Unknown,False,Open
70,EVT06444,0.748,74.8,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.039250+00:00,Critical,61.76,Normal,9.7,No IOC Match,,ENG-LAP-0090,Unknown,False,,3,Normal,No IOC Match,ENG-LAP-0090,Unknown,False,Open
71,EVT09097,0.748,74.8,High,Investigate Soon,True,[],1.0,0.75,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.145503+00:00,Critical,72.8,Normal,8.3,No IOC Match,,HR-SW-0074,High,True,0.75,8,Normal,No IOC Match,HR-SW-0074,High,True,Open
72,EVT01535,0.7474,74.74,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.832211+00:00,Critical,63.96,Normal,9.4,No IOC Match,,SAL-MOB-0019,Unknown,False,,0,Normal,No IOC Match,SAL-MOB-0019,Unknown,False,Open
73,EVT08722,0.7474,74.74,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.129974+00:00,Critical,60.78,Normal,9.8,No IOC Match,,SAL-FW-0038,Unknown,False,,1,Normal,No IOC Match,SAL-FW-0038,Unknown,False,Open
74,EVT08176,0.7466,74.66,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.109143+00:00,Critical,74.1,Suspicious,8.1,No IOC Match,,FIN-SRV-0001,Unknown,False,,4,Suspicious,No IOC Match,FIN-SRV-0001,Unknown,False,Open
75,EVT00386,0.746,74.6,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.788681+00:00,Critical,65.91,Normal,9.1,No IOC Match,,ENG-SRV-0008,Unknown,False,,4,Normal,No IOC Match,ENG-SRV-0008,Unknown,False,Open
76,EVT09096,0.7459,74.59,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.145458+00:00,Critical,70.7,Suspicious,8.5,No IOC Match,,HR-IOT-0045,Unknown,False,,0,Suspicious,No IOC Match,HR-IOT-0045,Unknown,False,Open
77,EVT04458,0.745,74.5,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.953373+00:00,Critical,66.4,Suspicious,9.0,No IOC Match,,SAL-IOT-0075,Unknown,False,,0,Suspicious,No IOC Match,SAL-IOT-0075,Unknown,False,Open
78,EVT00329,0.7443,74.43,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.786585+00:00,Critical,66.17,Suspicious,9.0,No IOC Match,,IT-DB-0040,Unknown,False,,0,Suspicious,No IOC Match,IT-DB-0040,Unknown,False,Open
79,EVT02934,0.7439,74.39,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.893212+00:00,Critical,58.86,Normal,9.9,No IOC Match,,LEG-RTR-0041,Unknown,False,,0,Normal,No IOC Match,LEG-RTR-0041,Unknown,False,Open
80,EVT09067,0.7437,74.37,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.144357+00:00,Critical,69.97,Normal,8.5,No IOC Match,,ENG-LAP-0001,Unknown,False,,6,Normal,No IOC Match,ENG-LAP-0001,Unknown,False,Open
81,EVT01431,0.7426,74.26,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.828546+00:00,Critical,60.84,Normal,9.6,No IOC Match,,LEG-FW-0045,Unknown,False,,4,Normal,No IOC Match,LEG-FW-0045,Unknown,False,Open
82,EVT08309,0.7424,74.24,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.114376+00:00,High,90.58,Suspicious,9.0,No IOC Match,,LEG-PC-0071,Unknown,False,,7,Suspicious,No IOC Match,LEG-PC-0071,Unknown,False,Open
83,EVT06215,0.7421,74.21,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.030172+00:00,Critical,58.26,Normal,9.9,No IOC Match,,LEG-PC-0097,Unknown,False,,0,Normal,No IOC Match,LEG-PC-0097,Unknown,False,Open
84,EVT03453,0.7415,74.15,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.915109+00:00,Critical,67.67,Suspicious,8.7,No IOC Match,,OPS-SW-0114,Unknown,False,,0,Suspicious,No IOC Match,OPS-SW-0114,Unknown,False,Open
