indicator_id,indicator_type,indicator_value,threat_name,threat_actor,confidence,severity,malware_family,ioc_reputation,confidence_score
IOC00039,File Hash (SHA256),9111723852543ca1bc27e8c4faf1b4b84032b1c521d5079e62ef21ce22a5afdf,Malware,APT29,Low,High,CobaltStrike,Malicious,54
IOC00040,IP Address,64.242.47.30,DDoS,APT29,High,Medium,AgentTesla,Benign,67
IOC00041,Domain,holloway-torres.com,Brute Force,FIN7,Low,Medium,CobaltStrike,Malicious,71
IOC00042,Email Address,charlene61@example.org,Worm,APT29,High,Low,CobaltStrike,Malicious,95
IOC00043,URL,http://www.ramos.com/category/tagfaq.html,Ransomware,APT28,High,Low,CobaltStrike,Benign,61
IOC00044,File Hash (SHA256),3918448bb124b8e34f6fe9c5dc20cf5c92ab4755dc725cfa4d62eeab64e2535e,Botnet,Lazarus,Low,Medium,QakBot,Benign,93
IOC00045,IP Address,113.104.57.140,Ransomware,Unknown,Medium,Critical,QakBot,Benign,71
IOC00046,Email Address,reynoldschristina@example.net,Keylogger,Unknown,High,Medium,CobaltStrike,Suspicious,55
IOC00047,IP Address,201.126.151.118,Malware,APT28,Low,Medium,AgentTesla,Malicious,85
IOC00048,File Hash (SHA256),1c935db638ea202779e02ee9a831c55be01ef0063604d53ed87f6fd74bea0c3f,SQL Injection Campaign,Lazarus,High,Medium,CobaltStrike,Malicious,76
IOC00049,File Hash (SHA256),9ebf3875776132967a786762494f8733e6028ccab637213371f3894dea871ac8,Spyware,APT29,Medium,Critical,CobaltStrike,Suspicious,96
IOC00050,Email Address,alyssa17@example.net,Phishing,APT28,Medium,Medium,QakBot,Suspicious,64
IOC00051,Email Address,denise88@example.org,Botnet,APT29,High,Critical,CobaltStrike,Benign,66
IOC00052,File Hash (SHA256),4c1550b58a779e5b8f92f546d1768180c8f689b2d5d8aa7fd2531db16eb4b424,SQL Injection Campaign,FIN7,Low,Low,AgentTesla,Malicious,52
IOC00053,File Hash (SHA256),3e81fed4193d29a480e94c7d38836e529fd21bd7dedc22f4b4382b57c0bbce30,Worm,Lazarus,Low,High,AgentTesla,Suspicious,59
IOC00054,Domain,cunningham.net,Botnet,Unknown,Medium,Medium,CobaltStrike,Suspicious,74
IOC00055,Domain,aguilar.com,Worm,APT28,High,High,AgentTesla,Malicious,70
IOC00056,Email Address,gaillin@example.net,Worm,Unknown,Low,High,CobaltStrike,Malicious,89
IOC00057,Domain,jordan.com,Rootkit,APT29,High,Low,QakBot,Malicious,58
IOC00058,Domain,williams-jackson.com,Backdoor,APT29,Medium,Medium,CobaltStrike,Benign,73
IOC00059,Email Address,javier12@example.net,Phishing,FIN7,High,Critical,Emotet,Suspicious,81
IOC00060,IP Address,160.35.43.124,Adware,APT29,Medium,Medium,QakBot,Benign,52
IOC00061,URL,https://gardner.biz/posts/mainlogin.jsp,Spyware,APT29,Medium,Low,AgentTesla,Malicious,82
IOC00062,IP Address,83.8.214.131,Phishing,Unknown,High,Critical,AgentTesla,Malicious,92
IOC00063,File Hash (SHA256),c704269801e0421e7bf171fdc94617124a823007ec08b2b60eca5dcb67b6395a,Trojan,Unknown,High,Medium,QakBot,Suspicious,94
IOC00064,Domain,jackson-miller.biz,Brute Force,APT28,Low,Medium,Emotet,Benign,61
IOC00065,IP Address,26.217.29.175,Trojan,APT28,Medium,Medium,QakBot,Benign,78
IOC00066,URL,https://peterson.com/main/searchmain.php,Cryptojacking,APT29,Low,Critical,TrickBot,Benign,70
IOC00067,File Hash (SHA256),c175ef0fd3831ac6a6b0d87501658e2f1217681bb0bd7be64f62a65aca49828d,Trojan,Lazarus,Low,Low,Emotet,Malicious,88
IOC00068,File Hash (SHA256),5a788ef8c3f9b512fa1c60bf77516bf7e83e2c209a5a8f1f17471cc3c5e811ae,Rootkit,APT28,High,High,QakBot,Suspicious,83
IOC00069,Domain,martin-murphy.com,SQL Injection Campaign,APT29,Low,Medium,TrickBot,Benign,82
IOC00070,File Hash (SHA256),1bc0c96b1541d297ef4a67f010c5b3f349789da8da3e2d8a98ebafa51307ca3f,Keylogger,Unknown,High,Medium,CobaltStrike,Malicious,81
IOC00071,Domain,arnold-cooper.info,Spyware,FIN7,Low,High,Emotet,Malicious,69
IOC00072,IP Address,139.241.88.10,Brute Force,Unknown,Medium,High,CobaltStrike,Benign,52
IOC00073,File Hash (SHA256),5c0d59c720b1a862bcc2eb1a4ecbfd91822a9faa5d29866215bb6d84972a5bc4,Backdoor,Unknown,Medium,Medium,TrickBot,Suspicious,53
IOC00074,Domain,fry-johnson.com,Ransomware,FIN7,Low,Low,AgentTesla,Suspicious,66
IOC00075,URL,https://www.wilson.net/blog/categoriesabout.htm,Malware,Unknown,Medium,Medium,AgentTesla,Benign,99
IOC00076,URL,http://smith-james.com/tag/tagspost.htm,Adware,APT28,High,Medium,AgentTesla,Malicious,66
IOC00077,IP Address,192.53.21.82,Ransomware,Unknown,High,Medium,CobaltStrike,Malicious,68
IOC00078,Email Address,dwatson@example.org,Spyware,FIN7,Medium,High,Emotet,Benign,53
IOC00079,IP Address,32.177.197.248,Keylogger,APT29,Medium,High,CobaltStrike,Malicious,78
IOC00080,Email Address,tsmith@example.com,Cryptojacking,APT29,High,Medium,CobaltStrike,Malicious,66
IOC00081,Email Address,wschneider@example.com,Botnet,APT29,High,Critical,AgentTesla,Benign,71
IOC00082,File Hash (SHA256),c2ce9b836ba6022b3224d0bb3b9c67b3645a734b45a3e249ad8edd9d85878883,Malware,FIN7,Low,High,CobaltStrike,Malicious,51
IOC00083,Domain,harris-benson.info,DDoS,FIN7,Medium,High,TrickBot,Benign,91
IOC00084,File Hash (SHA256),11667c59dc494a2c9a593ff4046a3810baa45c97c53a3392a1ee408a88cf41ea,Rootkit,APT28,High,Medium,QakBot,Benign,61
IOC00085,Email Address,millerpaul@example.com,Adware,FIN7,Low,High,QakBot,Benign,94
IOC00086,Email Address,nicholasthompson@example.com,Brute Force,APT29,Medium,Medium,QakBot,Malicious,60
IOC00087,File Hash (SHA256),3518564eacb7c2f1389eed938a3758e8bd2c0d0c8c3a91f379ed4d8552086191,Adware,FIN7,Medium,Medium,AgentTesla,Benign,89
IOC00088,Domain,smith-sanchez.org,Cryptojacking,Lazarus,High,Medium,AgentTesla,Malicious,78
IOC00089,IP Address,200.3.35.207,Adware,Unknown,High,High,QakBot,Benign,69
IOC00090,URL,https://www.schwartz.com/blog/blog/apppost.asp,Worm,APT28,Medium,Medium,Emotet,Suspicious,54
IOC00091,File Hash (SHA256),bc0d95bfb17e43089112b7c409d8233d25c16adfa87d2cc9898e56e3113a5b43,Rootkit,APT29,High,Low,QakBot,Malicious,74
IOC00092,File Hash (SHA256),2c2d652909f39f44c09345f89f0c01b69c3b7319e621bd1e3efa70e1a2e9514c,SQL Injection Campaign,APT29,Medium,Low,CobaltStrike,Malicious,83
IOC00093,IP Address,185.113.180.186,Keylogger,Lazarus,Medium,Medium,QakBot,Malicious,61
IOC00094,File Hash (SHA256),8bb34e65be30f694ec348b21eb19b7a84c091cc1ac3e9ee8ad8fb5ff8d6ec55d,Ransomware,APT28,Medium,Medium,QakBot,Suspicious,77
IOC00095,File Hash (SHA256),e1a19d4756b444cd6b0d514b6d44c5ca479fc92557a3a918b6d472b19c31c3ff,DDoS,Unknown,Medium,Critical,Emotet,Benign,83
IOC00096,URL,http://mccarthy.org/wp-contentterms.htm,Keylogger,APT28,Medium,Medium,AgentTesla,Suspicious,55
IOC00097,URL,https://castro.org/category/blogsearch.html,Adware,APT28,Medium,Medium,AgentTesla,Benign,68
IOC00098,IP Address,111.72.169.16,Phishing,APT29,Low,High,CobaltStrike,Benign,61
IOC00099,File Hash (SHA256),814d3102d3b1a7dc67d3984d89fc2780632e45bbc5f491e03c07acbf72538553,Ransomware,FIN7,Low,High,QakBot,Benign,74
IOC00100,File Hash (SHA256),36a0962353fc13db8a195fce259f6cc7e5169c4ebba164c0f30adb05ba1432c8,SQL Injection Campaign,Unknown,Low,Medium,TrickBot,Benign,62
IOC00101,Email Address,zjohnson@example.net,Malware,APT28,High,Critical,CobaltStrike,Benign,66
IOC00102,Domain,adkins.com,Ransomware,Lazarus,Low,Low,AgentTesla,Suspicious,61
IOC00103,URL,https://thomas.com/list/tagslogin.html,Brute Force,APT29,High,Low,Emotet,Malicious,52
IOC00104,Domain,freeman-stevens.com,Rootkit,FIN7,High,Medium,AgentTesla,Suspicious,73
IOC00105,URL,http://buchanan.com/mainsearch.php,Phishing,FIN7,High,High,AgentTesla,Malicious,57
IOC00106,IP Address,19.57.231.134,Adware,APT29,Medium,Low,Emotet,Malicious,97
IOC00107,URL,https://www.lee.biz/list/mainindex.php,Trojan,APT28,Medium,Medium,QakBot,Malicious,85
IOC00108,URL,https://www.floyd.com/categories/blogmain.jsp,DDoS,APT29,Medium,Low,QakBot,Suspicious,75
IOC00109,IP Address,180.174.36.112,Botnet,FIN7,High,Medium,AgentTesla,Benign,94
IOC00110,IP Address,4.188.128.173,Adware,FIN7,Low,High,CobaltStrike,Benign,57
IOC00111,Email Address,zcarr@example.org,Botnet,Lazarus,Medium,High,TrickBot,Malicious,81
IOC00112,URL,http://allison.com/app/wp-contentterms.html,DDoS,Lazarus,Medium,Medium,CobaltStrike,Benign,81
IOC00113,File Hash (SHA256),d0b2313c445a647d4635adbaa2bb15080d8ee3002c86dcdae82616225a44b475,Ransomware,FIN7,Medium,Medium,CobaltStrike,Benign,50
IOC00114,IP Address,123.109.104.158,Malware,Lazarus,Medium,Medium,AgentTesla,Suspicious,52
IOC00115,Domain,williams-cole.com,Trojan,Lazarus,High,Low,AgentTesla,Benign,50
IOC00116,File Hash (SHA256),f09e8f5d69a0d8322f02391fb3ce3e9f5268649c967b32bcd824365500e71334,Phishing,Lazarus,High,High,TrickBot,Benign,64
IOC00117,File Hash (SHA256),1f0442e90c0af4b8647052399f4df675ca73337196a26202afd3c082e413ee1f,Malware,FIN7,High,Low,TrickBot,Suspicious,99
IOC00118,Domain,leblanc.org,Ransomware,APT28,High,High,TrickBot,Benign,69
IOC00119,File Hash (SHA256),1353388103e7aa2f46c97efd9f065b651269d4faac73bc247ef25d643d1133c6,Botnet,APT28,High,Low,AgentTesla,Malicious,52
IOC00120,File Hash (SHA256),28877274a8c126d9b6dd26237e6fa6edee8eb5ba7131334cb3381d546f904a36,Cryptojacking,Unknown,Medium,High,AgentTesla,Suspicious,64
IOC00121,Email Address,riverastephen@example.com,Malware,Lazarus,Medium,Medium,CobaltStrike,Benign,86
IOC00122,IP Address,172.51.112.191,Ransomware,APT28,High,Critical,AgentTesla,Benign,70
IOC00123,IP Address,171.5.177.9,Spyware,Unknown,Low,Medium,QakBot,Suspicious,91
IOC00124,IP Address,125.200.202.253,SQL Injection Campaign,APT29,High,High,QakBot,Malicious,88
IOC00125,URL,http://douglas-brown.info/list/main/mainabout.php,Rootkit,Lazarus,Low,Medium,TrickBot,Suspicious,72
IOC00126,IP Address,72.148.22.221,Worm,APT28,High,Low,AgentTesla,Malicious,89
IOC00127,Domain,stone.com,Cryptojacking,APT28,High,Low,QakBot,Suspicious,84
IOC00128,URL,http://krause-nelson.com/categories/exploremain.html,Keylogger,APT28,Low,Low,CobaltStrike,Benign,67
IOC00129,File Hash (SHA256),43ea581aa6046b736217898e73d7b2e9c34ae3e68d42a71eabe507382c8da07e,Rootkit,Unknown,High,High,Emotet,Suspicious,66
IOC00130,IP Address,23.161.145.88,Backdoor,APT29,Medium,High,CobaltStrike,Suspicious,80
IOC00131,IP Address,158.50.148.183,Backdoor,Lazarus,High,Medium,Emotet,Malicious,97
IOC00132,IP Address,193.6.71.173,Ransomware,APT28,High,Medium,CobaltStrike,Suspicious,75
IOC00133,IP Address,223.175.84.208,Backdoor,FIN7,Medium,Medium,QakBot,Malicious,71
IOC00134,Email Address,kevin40@example.com,Brute Force,Lazarus,Medium,Medium,AgentTesla,Suspicious,94
IOC00135,IP Address,220.221.229.168,Backdoor,FIN7,High,Low,Emotet,Benign,85
IOC00136,Email Address,sarahhall@example.org,SQL Injection Campaign,Unknown,Low,Medium,AgentTesla,Suspicious,84
IOC00137,File Hash (SHA256),2fac37f1d78fc6496f08c30e832f37689e0a5857122d881dbfcc703750d18913,Brute Force,APT28,Low,Low,AgentTesla,Benign,60
IOC00138,File Hash (SHA256),a343bf249d080ecb89e0de3eadb4acf896329a1db8506441178d3a796b37376a,Ransomware,Lazarus,Medium,Medium,QakBot,Malicious,76
IOC00139,IP Address,57.95.233.54,Brute Force,Lazarus,Medium,Medium,TrickBot,Malicious,83
IOC00140,Domain,davis-frank.com,SQL Injection Campaign,APT28,Low,Low,TrickBot,Malicious,67
IOC00141,URL,https://www.maxwell.com/searchcategory.html,Rootkit,APT29,High,High,Emotet,Malicious,76
IOC00142,File Hash (SHA256),d1deaa01b06bde1f67cd00233f985848c4593681af51ead8bd938537ae69409a,Rootkit,Unknown,Medium,High,QakBot,Suspicious,53
IOC00143,File Hash (SHA256),409d9378a57e6af45a379fe2bc2ff17e6fa37e9134456f872833b2131ef8ac5a,Phishing,APT28,High,Medium,AgentTesla,Suspicious,66
IOC00144,URL,https://www.james.net/blog/mainterms.html,SQL Injection Campaign,Lazarus,Medium,High,CobaltStrike,Suspicious,55
IOC00145,Domain,heath.com,Cryptojacking,APT29,High,Low,CobaltStrike,Benign,91
IOC00146,URL,https://www.sanders-james.biz/searchfaq.html,Cryptojacking,Lazarus,Low,Low,Emotet,Suspicious,60
IOC00147,IP Address,193.82.240.162,Rootkit,FIN7,Low,Medium,Emotet,Benign,54
IOC00148,URL,http://www.doyle-curry.biz/categories/category/tagindex.php,Backdoor,Lazarus,Medium,Low,Emotet,Benign,67
IOC00149,Domain,schroeder.biz,Cryptojacking,Unknown,Medium,High,QakBot,Suspicious,74
IOC00150,Domain,reeves-martin.org,Rootkit,APT28,Low,Medium,CobaltStrike,Benign,59
IOC00151,Email Address,vmorales@example.org,Ransomware,Lazarus,Medium,High,QakBot,Malicious,90
IOC00152,URL,http://www.fitzgerald-garcia.com/wp-contentauthor.asp,SQL Injection Campaign,FIN7,Low,Medium,QakBot,Suspicious,65
IOC00153,URL,http://anderson.com/mainauthor.html,Adware,FIN7,Low,High,AgentTesla,Suspicious,59
IOC00154,File Hash (SHA256),d68694d23e7ce0d1ceb16e0b1052e943be34c601c83a13d087bef62d8e39e770,Cryptojacking,APT28,Low,High,QakBot,Benign,59
IOC00155,Domain,harris.org,SQL Injection Campaign,FIN7,Medium,Medium,QakBot,Suspicious,85
IOC00156,File Hash (SHA256),942daa5e0e6c67978b317cce3b790960e445c5cb71ef81ab764c0b9afe474f42,Ransomware,APT28,Medium,Low,AgentTesla,Suspicious,70
IOC00157,File Hash (SHA256),1627b390cb35f731c231f3b45793094f5497dc348ef786c8c789906876f9519c,DDoS,Unknown,Medium,Medium,TrickBot,Benign,63
IOC00158,IP Address,185.115.24.56,Phishing,APT28,Medium,Medium,AgentTesla,Suspicious,57
IOC00159,Email Address,ulee@example.org,DDoS,APT29,Low,High,Emotet,Suspicious,50
IOC00160,Domain,whitney.com,DDoS,FIN7,Medium,Medium,TrickBot,Suspicious,65
IOC00161,URL,https://www.lloyd-king.com/app/categories/categoriesmain.php,Spyware,FIN7,Low,High,CobaltStrike,Benign,75
IOC00162,IP Address,130.60.155.134,Spyware,Lazarus,Medium,High,QakBot,Suspicious,98
IOC00163,URL,https://www.ellison-duncan.com/tag/search/tagsprivacy.html,Worm,APT29,Low,Critical,TrickBot,Suspicious,91
IOC00164,File Hash (SHA256),82310f32846da9c77b5104d870c5d2d2b3cf94f96b8b5ac66616629600df7eba,Phishing,Lazarus,High,Low,CobaltStrike,Suspicious,55
IOC00165,File Hash (SHA256),0e232e9cb8e15a9136eae27f58e15f2f0d2cda3cf5497cc7ab1d6fe859930b8d,Phishing,APT28,Medium,Medium,AgentTesla,Malicious,88
IOC00166,URL,https://fisher.com/tagpost.htm,SQL Injection Campaign,Unknown,High,High,AgentTesla,Suspicious,99
IOC00167,Email Address,byrdmatthew@example.org,Spyware,FIN7,Low,Medium,Emotet,Benign,51
IOC00168,URL,http://www.lara.org/category/tags/exploreauthor.htm,Spyware,Unknown,High,Low,Emotet,Malicious,58
IOC00169,Email Address,henryrodriguez@example.net,Spyware,APT28,High,Critical,TrickBot,Benign,54
IOC00170,IP Address,70.173.134.147,Botnet,APT28,High,Critical,QakBot,Suspicious,89
IOC00171,Domain,wagner.com,SQL Injection Campaign,APT29,Low,Medium,AgentTesla,Suspicious,54
IOC00172,File Hash (SHA256),243b5eaf7790c59b5ae648bb74826a9e15e7b5f1234c632cb2eee96cbcc68a09,Phishing,Lazarus,Low,Medium,TrickBot,Suspicious,96
IOC00173,Email Address,banderson@example.net,Ransomware,FIN7,High,Critical,TrickBot,Malicious,57
IOC00174,Email Address,atkinsonkayla@example.org,Botnet,FIN7,Medium,High,TrickBot,Suspicious,54
IOC00175,Domain,williams-schwartz.com,Trojan,Unknown,Medium,Medium,Emotet,Benign,54
IOC00176,File Hash (SHA256),f5ed4e60f9f65529fafa3afb7e371501c8f98e1802877b37592c62b4e136fe07,Spyware,APT29,Medium,High,AgentTesla,Malicious,66
IOC00177,Domain,simpson.com,Cryptojacking,APT28,Low,High,Emotet,Benign,58
IOC00178,Domain,martinez-daniel.com,Keylogger,APT29,Low,High,Emotet,Benign,83
IOC00179,IP Address,206.69.187.87,Phishing,FIN7,Medium,Low,TrickBot,Benign,82
IOC00180,IP Address,193.87.218.94,Malware,Lazarus,High,Low,CobaltStrike,Benign,71
IOC00181,URL,http://marshall.com/app/explore/tagcategory.php,Backdoor,Unknown,High,High,CobaltStrike,Benign,70
IOC00182,Email Address,vlopez@example.org,Malware,APT28,High,High,CobaltStrike,Suspicious,92
IOC00183,IP Address,196.128.240.243,Brute Force,APT28,High,Low,TrickBot,Benign,64
IOC00184,Email Address,parksashley@example.org,SQL Injection Campaign,APT28,Medium,Medium,QakBot,Benign,50
IOC00185,File Hash (SHA256),be2b29b35e2197972a8e130292c7d215fa25755a2c951b322d13e9cccfa33cdf,Cryptojacking,Lazarus,Low,Medium,AgentTesla,Suspicious,56
IOC00186,File Hash (SHA256),0d3a2d56fe7db36b9e553dc0bb063595973ae848d6c9b61d49ca3e662e0126cd,Brute Force,FIN7,Low,High,TrickBot,Malicious,72
IOC00187,Domain,duran-morris.com,Spyware,FIN7,Medium,Medium,TrickBot,Suspicious,96
IOC00188,Domain,gill-flores.biz,Backdoor,APT29,Low,Low,Emotet,Malicious,55
IOC00189,Email Address,tara49@example.net,Adware,APT29,Medium,Medium,CobaltStrike,Benign,69
IOC00190,URL,http://www.sandoval-robertson.biz/search/tagsindex.php,Ransomware,FIN7,Low,Low,TrickBot,Suspicious,75
IOC00191,IP Address,184.27.17.2,SQL Injection Campaign,APT28,High,Low,QakBot,Malicious,91
IOC00192,URL,https://www.christensen.com/explorelogin.jsp,Brute Force,Lazarus,Medium,Low,AgentTesla,Malicious,61
IOC00193,IP Address,215.84.163.5,SQL Injection Campaign,FIN7,Medium,High,QakBot,Suspicious,62
IOC00194,Email Address,thomastaylor@example.com,Rootkit,Lazarus,Medium,High,TrickBot,Suspicious,96
IOC00195,IP Address,203.186.165.44,Malware,Unknown,Low,Medium,TrickBot,Suspicious,98
IOC00196,IP Address,27.192.114.69,SQL Injection Campaign,APT28,High,Medium,Emotet,Suspicious,62
IOC00197,File Hash (SHA256),2d289dbf6db5091ddd0d14475e8bf06002e5f42645257e8c8aab4f8727016ba1,Ransomware,Unknown,High,Medium,QakBot,Suspicious,51
IOC00198,File Hash (SHA256),6b843b36d3b3fdb3c80cb8f83bcf006ba511d82a0e2f9016242dfe704f4f3f3e,Spyware,FIN7,High,High,Emotet,Benign,81
IOC00199,File Hash (SHA256),be83761da906f598a3e921584970032258cb1484918a02e895815eb7137c1434,Cryptojacking,APT29,High,Critical,QakBot,Benign,99
IOC00200,Domain,franklin.com,Malware,FIN7,Medium,Medium,CobaltStrike,Suspicious,80
IOC00201,File Hash (SHA256),ea85f995a65f3525b855d24310c697af7257c083e15244fc92679097cbd3473c,Botnet,Unknown,Low,Low,CobaltStrike,Suspicious,60
IOC00202,Email Address,carl28@example.com,Cryptojacking,Lazarus,Low,High,QakBot,Benign,86
IOC00203,Email Address,bsuarez@example.net,SQL Injection Campaign,FIN7,Medium,Medium,Emotet,Malicious,53
IOC00204,URL,http://www.watson.biz/app/tagcategory.php,Trojan,APT29,Low,Medium,CobaltStrike,Benign,83
IOC00205,IP Address,147.229.253.155,Cryptojacking,Unknown,High,Medium,TrickBot,Suspicious,65
IOC00206,URL,http://www.shields-gomez.com/searchsearch.htm,Spyware,FIN7,High,Low,AgentTesla,Malicious,80
IOC00207,IP Address,180.195.135.61,Malware,Unknown,Medium,High,Emotet,Suspicious,74
IOC00208,Domain,stevenson.com,Botnet,Unknown,High,Medium,QakBot,Malicious,88
IOC00209,Email Address,ufrench@example.com,Spyware,APT28,High,Medium,AgentTesla,Suspicious,57
IOC00210,File Hash (SHA256),6bb812e44b58e151378ce5920483846433eaf2e987b270cccafafd490ca1d64b,Adware,Lazarus,Medium,Low,AgentTesla,Benign,57
IOC00211,File Hash (SHA256),c00d1442bdae280fce33526143dbf63fad3c2f0abc72a566fb9800c0ba803b25,Cryptojacking,APT28,Medium,Low,TrickBot,Suspicious,83
IOC00212,File Hash (SHA256),9ea65ea4693ecbd3371ea09db187a5edaa720d290528e34d479f84a3d2f8aa03,Brute Force,Unknown,High,High,Emotet,Benign,64
IOC00213,Email Address,fordanthony@example.net,Adware,APT29,Low,High,AgentTesla,Malicious,54
IOC00214,Email Address,joshuarobinson@example.net,Malware,APT29,High,Medium,Emotet,Benign,68
IOC00215,IP Address,193.197.204.211,Trojan,APT28,High,Low,TrickBot,Malicious,59
IOC00216,IP Address,216.28.181.2,Spyware,APT29,Low,Medium,QakBot,Suspicious,58
IOC00217,URL,https://www.martin-webb.com/explore/searchcategory.html,Adware,Unknown,High,High,AgentTesla,Benign,78
IOC00218,Email Address,mary12@example.net,Trojan,FIN7,Medium,Low,AgentTesla,Malicious,89
IOC00219,URL,https://hendricks.org/wp-content/appindex.html,Phishing,Unknown,Low,Critical,AgentTesla,Malicious,86
IOC00220,URL,https://www.mcfarland-barnes.com/list/blog/apphomepage.php,Rootkit,FIN7,Medium,Medium,Emotet,Malicious,68
IOC00221,File Hash (SHA256),087ca12699dd911711af0a4b29196d7c242c447e70ad410a7e1ea1784330881b,Malware,APT29,Low,Medium,AgentTesla,Malicious,62
IOC00222,Email Address,jeffreyglenn@example.org,Cryptojacking,Lazarus,Medium,High,Emotet,Suspicious,95
IOC00223,File Hash (SHA256),26b7a7be2cfa0c6e2293ac5ae40026ac91457f78a89e3feeb76f3d2dd4b1d2be,Botnet,Lazarus,Medium,High,CobaltStrike,Suspicious,89
IOC00224,Email Address,joseph70@example.net,Keylogger,Unknown,Low,Critical,CobaltStrike,Suspicious,65
IOC00225,File Hash (SHA256),c9f2b132f462eaf0f434350507a64bc92ed7e3d18b1ed114b295031d42c39127,Spyware,Unknown,Low,Low,Emotet,Malicious,79
IOC00226,URL,https://www.mullins.com/applogin.asp,Ransomware,APT29,Medium,Medium,CobaltStrike,Suspicious,54
IOC00227,Email Address,michaelcarpenter@example.net,Brute Force,Lazarus,Medium,High,TrickBot,Malicious,82
IOC00228,URL,https://austin-white.info/explore/wp-contentterms.jsp,Adware,Lazarus,Medium,Low,TrickBot,Malicious,68
